ngram,sale,sle,sale,salle
1500,8.656044337840285e-05,0.0,8.656044337840285e-05,0.0
1501,6.924835470272228e-05,0.0,6.924835470272228e-05,0.0
1502,0.00011165019410933989,0.0,0.00011165019410933989,0.0
1503,9.570016637943419e-05,0.0,9.570016637943419e-05,0.0
1504,0.00011131822247989476,0.0,0.00011131822247989476,0.0
1505,0.00013052208981077586,0.0,0.00013052208981077586,0.0
1506,0.00013052208981077586,2.2807270787390216e-05,0.00013052208981077586,0.0
1507,0.00013052208981077586,2.2807270787390216e-05,0.00013052208981077586,0.0
1508,0.00013052208981077586,2.2807270787390216e-05,0.00013052208981077586,0.0
1509,8.428503393328615e-05,2.2807270787390216e-05,8.428503393328615e-05,0.0
1510,8.428503393328615e-05,2.2807270787390216e-05,8.428503393328615e-05,0.0
1511,5.6503827051658716e-05,2.2807270787390216e-05,5.6503827051658716e-05,0.0
1512,0.0,2.2807270787390216e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.5709502681690666e-06,0.0,2.5709502681690666e-06,0.0
1515,2.5709502681690666e-06,0.0,2.5709502681690666e-06,0.0
1516,2.5709502681690666e-06,0.0,2.5709502681690666e-06,0.0
1517,7.883718353696167e-06,0.0,7.883718353696167e-06,0.0
1518,7.883718353696167e-06,0.0,7.883718353696167e-06,0.0
1519,7.883718353696167e-06,0.0,7.883718353696167e-06,0.0
1520,1.3246123541778485e-05,0.0,1.3246123541778485e-05,0.0
1521,1.067517327360942e-05,0.0,1.067517327360942e-05,0.0
1522,1.3848930133722856e-05,0.0,1.3848930133722856e-05,0.0
1523,2.3705650164629333e-05,0.0,2.3705650164629333e-05,0.0
1524,1.839288207910223e-05,0.0,1.839288207910223e-05,0.0
1525,1.839288207910223e-05,0.0,1.839288207910223e-05,0.0
1526,1.839288207910223e-05,0.0,1.839288207910223e-05,0.0
1527,1.3030476891019913e-05,0.0,1.3030476891019913e-05,0.0
1528,1.5120941757881415e-05,0.0,1.5120941757881415e-05,0.0
1529,1.1947184897767979e-05,0.0,1.1947184897767979e-05,0.0
1530,5.006258886299163e-06,0.0,5.006258886299163e-06,0.0
1531,5.006258886299163e-06,0.0,5.006258886299163e-06,0.0
1532,5.9080920696682626e-06,0.0,5.9080920696682626e-06,0.0
1533,5.9080920696682626e-06,0.0,5.9080920696682626e-06,0.0
1534,7.312562762048661e-06,0.0,7.312562762048661e-06,0.0
1535,1.0869741410195794e-05,0.0,1.0869741410195794e-05,0.0
1536,4.7992687476445485e-05,0.0,4.7992687476445485e-05,0.0
1537,4.507689345700783e-05,0.0,4.507689345700783e-05,0.0
1538,5.142977059741887e-05,0.0,5.142977059741887e-05,0.0
1539,5.052793741404977e-05,0.0,5.052793741404977e-05,0.0
1540,5.052793741404977e-05,0.0,5.052793741404977e-05,0.0
1541,4.912346672166937e-05,0.0,4.912346672166937e-05,0.0
1542,6.153157976638925e-05,0.0,6.153157976638925e-05,0.0
1543,2.4408633700139554e-05,0.0,2.4408633700139554e-05,0.0
1544,2.4965053398773307e-05,0.0,2.4965053398773307e-05,0.0
1545,1.914801646307751e-05,0.0,1.914801646307751e-05,0.0
1546,2.1385666026877255e-05,0.0,2.1385666026877255e-05,0.0
1547,2.1385666026877255e-05,0.0,2.1385666026877255e-05,0.0
1548,5.943263376398785e-05,0.0,5.943263376398785e-05,2.972419354461765e-07
1549,4.258953494432457e-05,0.0,4.258953494432457e-05,2.972419354461765e-07
1550,5.123506632896481e-05,0.0,5.123506632896481e-05,2.972419354461765e-07
1551,5.067864663033106e-05,0.0,5.067864663033106e-05,2.972419354461765e-07
1552,5.663280522380124e-05,0.0,5.663280522380124e-05,2.972419354461765e-07
1553,5.4395155660001494e-05,0.0,5.4395155660001494e-05,2.972419354461765e-07
1554,5.4395155660001494e-05,0.0,5.4395155660001494e-05,2.972419354461765e-07
1555,3.07718280185197e-05,0.0,3.07718280185197e-05,0.0
1556,2.9559170278454466e-05,0.0,2.9559170278454466e-05,0.0
1557,2.0913638893814224e-05,0.0,2.0913638893814224e-05,0.0
1558,2.432388230642703e-05,0.0,2.432388230642703e-05,0.0
1559,2.1272330091700758e-05,0.0,2.1272330091700758e-05,0.0
1560,3.1592205362228144e-05,0.0,3.1592205362228144e-05,0.0
1561,3.1592205362228144e-05,0.0,3.1592205362228144e-05,0.0
1562,1.7168565266599346e-05,0.0,1.7168565266599346e-05,0.0
1563,2.3078647375638995e-05,0.0,2.3078647375638995e-05,0.0
1564,2.3078647375638995e-05,0.0,2.3078647375638995e-05,0.0
1565,1.9668403963026192e-05,0.0,1.9668403963026192e-05,0.0
1566,3.5266662702529826e-05,0.0,3.5266662702529826e-05,0.0
1567,2.767637670331169e-05,0.0,2.767637670331169e-05,0.0
1568,2.767637670331169e-05,0.0,2.767637670331169e-05,0.0
1569,5.144294716176644e-05,0.0,5.144294716176644e-05,7.427053268267108e-07
1570,4.553286505272679e-05,0.0,4.553286505272679e-05,7.427053268267108e-07
1571,5.043656840695933e-05,0.0,5.043656840695933e-05,7.427053268267108e-07
1572,5.2516411545054454e-05,0.0,5.2516411545054454e-05,7.427053268267108e-07
1573,3.85133436273983e-05,0.0,3.85133436273983e-05,7.427053268267108e-07
1574,3.63284659020532e-05,0.0,3.63284659020532e-05,7.427053268267108e-07
1575,3.884302516001169e-05,0.0,3.884302516001169e-05,7.427053268267108e-07
1576,1.8681898284609944e-05,0.0,1.8681898284609944e-05,0.0
1577,2.3784850100128097e-05,0.0,2.3784850100128097e-05,2.5514759077590758e-06
1578,2.0085712321815663e-05,0.0,2.0085712321815663e-05,2.5514759077590758e-06
1579,2.317990762484052e-05,0.0,2.317990762484052e-05,2.5514759077590758e-06
1580,1.8146270219533888e-05,0.0,1.8146270219533888e-05,2.5514759077590758e-06
1581,3.6587394658584215e-05,0.0,3.6587394658584215e-05,2.5514759077590758e-06
1582,3.4491816774919115e-05,4.189813742933828e-07,3.4491816774919115e-05,2.5514759077590758e-06
1583,4.3622872551298186e-05,4.189813742933828e-07,4.3622872551298186e-05,2.5514759077590758e-06
1584,3.851992073578003e-05,4.189813742933828e-07,3.851992073578003e-05,0.0
1585,3.807022751191523e-05,4.189813742933828e-07,3.807022751191523e-05,0.0
1586,7.171645805621145e-05,4.189813742933828e-07,7.171645805621145e-05,0.0
1587,8.452140130949764e-05,4.189813742933828e-07,8.452140130949764e-05,0.0
1588,6.6205071139588e-05,4.189813742933828e-07,6.6205071139588e-05,0.0
1589,8.50189174863252e-05,1.867264732676891e-07,8.50189174863252e-05,0.0
1590,7.254239377678979e-05,1.867264732676891e-07,7.254239377678979e-05,0.0
1591,7.440812808973922e-05,1.867264732676891e-07,7.440812808973922e-05,0.0
1592,7.604114291228013e-05,1.867264732676891e-07,7.604114291228013e-05,0.0
1593,3.811398083338905e-05,1.867264732676891e-07,3.811398083338905e-05,0.0
1594,3.134377451325625e-05,3.543580565487251e-07,3.134377451325625e-05,0.0
1595,3.428064542276843e-05,3.543580565487251e-07,3.428064542276843e-05,0.0
1596,1.9887437019860954e-05,5.884680344284529e-07,1.9887437019860954e-05,0.0
1597,2.3864634515900563e-05,5.884680344284529e-07,2.3864634515900563e-05,0.0
1598,2.7395437947624096e-05,5.884680344284529e-07,2.7395437947624096e-05,0.0
