ngram,service,servce,servce,serice
1500,0.00032965624995995313,0.0,0.0,0.0
1501,0.0002637249999679625,0.0,0.0,0.0
1502,0.0002463031729954916,0.0,0.0,0.0
1503,0.00021111700542470708,0.0,0.0,0.0
1504,0.00017147008267264546,0.0,0.0,0.0
1505,0.0001162148141052707,0.0,0.0,0.0
1506,0.0001162148141052707,0.0,0.0,0.0
1507,0.0001162148141052707,0.0,0.0,0.0
1508,0.0001162148141052707,0.0,0.0,0.0
1509,9.347280865767971e-05,0.0,0.0,0.0
1510,9.347280865767971e-05,0.0,0.0,0.0
1511,8.112560525270445e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8851774654218127e-05,0.0,0.0,0.0
1515,2.8851774654218127e-05,0.0,0.0,0.0
1516,2.8851774654218127e-05,0.0,0.0,0.0
1517,4.9571569044409057e-05,0.0,0.0,0.0
1518,4.9571569044409057e-05,0.0,0.0,0.0
1519,4.9571569044409057e-05,0.0,0.0,0.0
1520,7.429821458312549e-05,0.0,0.0,0.0
1521,4.544643992890737e-05,0.0,0.0,0.0
1522,5.814146736936111e-05,0.0,0.0,0.0
1523,9.387207787118054e-05,0.0,0.0,0.0
1524,7.315228348098961e-05,0.0,0.0,0.0
1525,7.315228348098961e-05,0.0,0.0,0.0
1526,7.315228348098961e-05,0.0,0.0,0.0
1527,4.842563794227317e-05,0.0,0.0,0.0
1528,5.783272977818602e-05,0.0,0.0,0.0
1529,4.5137702337732275e-05,0.0,0.0,0.0
1530,9.407091835912848e-06,0.0,0.0,0.0
1531,9.407091835912848e-06,0.0,0.0,0.0
1532,2.1130923414602876e-05,0.0,0.0,0.0
1533,2.1130923414602876e-05,0.0,0.0,0.0
1534,3.096221813133785e-05,0.0,0.0,0.0
1535,5.8453062333033555e-05,0.0,0.0,0.0
1536,7.187099358166702e-05,0.0,0.0,0.0
1537,7.187099358166702e-05,0.0,0.0,0.0
1538,0.00011634113512367808,0.0,0.0,0.0
1539,0.00015940464072627947,0.0,0.0,0.0
1540,0.00015940464072627947,0.0,0.0,0.0
1541,0.0001495733460095445,0.0,0.0,0.0
1542,0.00013374045894514502,0.0,0.0,0.0
1543,0.00012032252769651157,0.0,0.0,0.0
1544,0.00014967366587370634,0.0,0.0,0.0
1545,0.00018022115026334568,0.0,0.0,0.0
1546,0.00018948653346991966,0.0,0.0,0.0
1547,0.00018948653346991966,0.0,0.0,0.0
1548,0.00024923216135773273,0.0,0.0,0.0
1549,0.00023180508547479155,0.0,0.0,0.0
1550,0.0002604434084787499,0.0,0.0,0.0
