ngram,shower,shwer,showr,shoer
1500,2.429588050745224e-07,0.0,0.0,0.0
1501,1.9436704405961792e-07,0.0,0.0,0.0
1502,1.6197253671634826e-07,0.0,0.0,0.0
1503,1.3883360289972708e-07,0.0,0.0,0.0
1504,1.3883360289972708e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.8566114451678004e-07,0.0,0.0,0.0
1518,2.8566114451678004e-07,0.0,0.0,0.0
1519,2.8566114451678004e-07,0.0,0.0,0.0
1520,1.1793953425304998e-06,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,8.937341980137197e-07,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,8.937341980137197e-07,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,4.509165916845502e-07,0.0,0.0,0.0
1533,4.509165916845502e-07,0.0,0.0,0.0
1534,4.509165916845502e-07,0.0,0.0,0.0
1535,4.509165916845502e-07,0.0,0.0,0.0
1536,4.509165916845502e-07,0.0,0.0,0.0
1537,4.509165916845502e-07,0.0,0.0,0.0
1538,4.509165916845502e-07,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,0.0
1545,1.391049246584381e-07,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,4.3634686010461466e-07,0.0,0.0,0.0
1549,4.3634686010461466e-07,0.0,0.0,0.0
1550,4.3634686010461466e-07,0.0,0.0,0.0
1551,2.972419354461765e-07,0.0,0.0,0.0
1552,2.972419354461765e-07,0.0,0.0,0.0
1553,2.972419354461765e-07,0.0,0.0,0.0
1554,2.972419354461765e-07,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,4.4869024610047094e-07,0.0,0.0,0.0
1561,4.4869024610047094e-07,0.0,0.0,0.0
1562,4.4869024610047094e-07,0.0,0.0,0.0
1563,4.4869024610047094e-07,0.0,0.0,0.0
1564,4.4869024610047094e-07,0.0,0.0,0.0
1565,4.4869024610047094e-07,0.0,0.0,0.0
1566,4.4869024610047094e-07,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,3.7718387570099106e-06,0.0,0.0,0.0
1576,3.7718387570099106e-06,0.0,0.0,0.0
1577,3.7718387570099106e-06,0.0,0.0,0.0
1578,4.012751868945738e-06,0.0,0.0,0.0
1579,4.012751868945738e-06,0.0,0.0,0.0
1580,4.012751868945738e-06,0.0,0.0,0.0
1581,5.199366618009142e-06,0.0,0.0,0.0
1582,1.846509235292615e-06,0.0,0.0,0.0
1583,2.086820537832474e-06,0.0,0.0,0.0
1584,2.985932123270426e-06,0.0,0.0,0.0
1585,2.745019011334599e-06,0.0,0.0,0.0
1586,2.745019011334599e-06,0.0,0.0,0.0
1587,2.745019011334599e-06,0.0,0.0,0.0
1588,1.558404262271194e-06,0.0,0.0,0.0
1589,2.4465081358877276e-06,0.0,0.0,0.0
1590,4.286002032521148e-06,0.0,0.0,0.0
1591,3.653423911081128e-06,0.0,0.0,0.0
1592,3.653423911081128e-06,0.0,0.0,0.0
1593,3.653423911081128e-06,0.0,0.0,0.0
1594,4.3239502442052725e-06,0.0,0.0,0.0
1595,4.7747473347824e-06,0.0,0.0,0.0
1596,3.888498538019901e-06,0.0,0.0,0.0
1597,2.050817524182743e-06,0.0,0.0,0.0
1598,1.8285179765241213e-06,0.0,0.0,0.0
1599,2.3001625696191956e-06,0.0,0.0,0.0
1600,2.5131747390462678e-06,0.0,0.0,0.0
1601,2.0379722676417648e-06,0.0,0.0,0.0
1602,2.1091787516525073e-06,0.0,0.0,0.0
1603,2.1004524098446254e-06,0.0,0.0,0.0
1604,2.0285985442569654e-06,0.0,0.0,0.0
1605,2.2092384110042725e-06,0.0,0.0,0.0
1606,2.6184749718335558e-06,0.0,0.0,0.0
1607,2.4054628024064835e-06,0.0,0.0,0.0
