ngram,size,sze,szie,siize
1500,3.697729880514089e-05,0.0,0.0,0.0
1501,2.9581839044112712e-05,0.0,0.0,0.0
1502,2.5530086835109007e-05,0.0,0.0,0.0
1503,2.1882931572950577e-05,0.0,0.0,0.0
1504,2.127761659461872e-05,0.0,0.0,0.0
1505,2.0606345060514286e-05,0.0,0.0,0.0
1506,2.0606345060514286e-05,0.0,0.0,0.0
1507,2.0606345060514286e-05,0.0,0.0,0.0
1508,2.0606345060514286e-05,0.0,0.0,0.0
1509,1.9853298519072788e-05,0.0,0.0,0.0
1510,1.9853298519072788e-05,0.0,0.0,0.0
1511,4.419294002998088e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,2.8728991375308916e-05,0.0,0.0,0.0
1518,2.8728991375308916e-05,0.0,0.0,0.0
1519,2.8728991375308916e-05,0.0,0.0,0.0
1520,4.898696618381239e-05,0.0,0.0,0.0
1521,4.841564389477883e-05,0.0,0.0,0.0
1522,5.476315761500571e-05,0.0,0.0,0.0
1523,7.940495717256064e-05,0.0,0.0,0.0
1524,5.124728808628528e-05,0.0,0.0,0.0
1525,5.124728808628528e-05,0.0,0.0,0.0
1526,8.239411181421019e-05,0.0,0.0,0.0
1527,0.0001782329631428833,0.0,0.0,0.0
1528,0.00018868528786697425,0.0,0.0,0.0
1529,0.00018233777414674738,0.0,0.0,0.0
1530,0.00015769597458919243,0.0,0.0,0.0
1531,0.00016344082281908153,0.0,0.0,0.0
1532,0.00019996506567362564,0.0,0.0,0.0
1533,0.00016881824194570072,0.0,0.0,0.0
1534,5.412588650090454e-05,0.0,0.0,0.0
1535,4.40500713401499e-05,0.0,0.0,0.0
1536,4.494460011171343e-05,0.0,0.0,0.0
1537,4.494460011171343e-05,0.0,0.0,0.0
1538,3.919975188182434e-05,0.0,0.0,0.0
1539,0.00010145873251791013,0.0,0.0,0.0
1540,0.00010145873251791013,0.0,0.0,0.0
1541,0.00010005426182552972,0.0,0.0,0.0
1542,0.00010720098381560612,0.0,0.0,0.0
1543,0.00010630645504404259,0.0,0.0,0.0
1544,0.00010741929444131009,0.0,0.0,0.0
1545,0.00010741929444131009,0.0,0.0,0.0
1546,9.195483341630148e-06,0.0,0.0,0.0
1547,9.195483341630148e-06,0.0,0.0,0.0
1548,1.6923773728194647e-05,0.0,0.0,0.0
1549,1.0613199914847168e-05,0.0,0.0,0.0
1550,1.4395619993073134e-05,0.0,0.0,0.0
1551,1.328278059580563e-05,0.0,0.0,0.0
1552,2.6983890035938073e-05,0.0,0.0,0.0
1553,2.6424477644988137e-05,0.0,0.0,0.0
1554,2.6424477644988137e-05,0.0,0.0,0.0
1555,1.869618725842364e-05,0.0,0.0,0.0
1556,2.164703463287359e-05,0.0,0.0,0.0
1557,1.7864614554647623e-05,0.0,0.0,0.0
1558,2.673124721955641e-05,0.0,0.0,0.0
1559,1.4749361071153544e-05,0.0,0.0,0.0
1560,1.6992812171728084e-05,0.0,0.0,0.0
1561,1.6992812171728084e-05,0.0,0.0,0.0
1562,1.8770526756790268e-05,0.0,0.0,0.0
1563,1.55162650636547e-05,0.0,0.0,0.0
1564,2.1877911811835865e-05,0.0,0.0,0.0
1565,1.5034880431942708e-05,0.0,0.0,0.0
1566,1.7122998152834562e-05,0.0,0.0,0.0
1567,1.624434168791465e-05,0.0,0.0,0.0
1568,1.624434168791465e-05,0.0,0.0,0.0
1569,1.4466627102852467e-05,0.0,0.0,0.0
1570,1.3557383681472857e-05,0.0,0.0,0.0
1571,2.4358698153394342e-05,0.0,0.0,0.0
1572,2.2335096868378707e-05,0.0,0.0,0.0
1573,2.230298390973725e-05,0.0,0.0,0.0
1574,2.0938189274082625e-05,0.0,0.0,0.0
1575,2.0938189274082625e-05,0.0,0.0,0.0
1576,3.535996360629464e-05,0.0,0.0,0.0
