ngram,soup,sop,sup,soup
1500,0.0,0.0,8.90848923518206e-07,0.0
1501,0.0,0.0,7.126791388145648e-07,0.0
1502,0.0,0.0,7.69610134436031e-07,0.0
1503,0.0,0.0,6.59665829516598e-07,0.0
1504,0.0,0.0,6.59665829516598e-07,0.0
1505,0.0,0.0,1.506093017919089e-07,0.0
1506,0.0,0.0,1.506093017919089e-07,0.0
1507,0.0,0.0,1.506093017919089e-07,0.0
1508,0.0,0.0,1.506093017919089e-07,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,2.8566114451678004e-07,0.0
1515,0.0,0.0,2.8566114451678004e-07,0.0
1516,0.0,0.0,2.8566114451678004e-07,0.0
1517,0.0,0.0,2.8566114451678004e-07,0.0
1518,0.0,0.0,2.8566114451678004e-07,0.0
1519,0.0,0.0,2.8566114451678004e-07,0.0
1520,0.0,8.937341980137197e-07,1.1793953425304998e-06,0.0
1521,0.0,8.937341980137197e-07,8.937341980137197e-07,0.0
1522,0.0,8.937341980137197e-07,8.937341980137197e-07,0.0
1523,0.0,8.937341980137197e-07,1.5097791999453745e-06,0.0
1524,0.0,8.937341980137197e-07,1.5097791999453745e-06,0.0
1525,0.0,8.937341980137197e-07,1.5097791999453745e-06,0.0
1526,0.0,8.937341980137197e-07,2.1454286849932813e-06,0.0
1527,0.0,0.0,1.2516944869795615e-06,0.0
1528,0.0,0.0,1.2516944869795615e-06,0.0
1529,0.0,0.0,1.2516944869795615e-06,0.0
1530,0.0,0.0,6.356494850479066e-07,0.0
1531,0.0,0.0,6.356494850479066e-07,0.0
1532,0.0,0.0,1.0865660767324568e-06,0.0
1533,0.0,0.0,4.509165916845502e-07,0.0
1534,0.0,0.0,4.509165916845502e-07,0.0
1535,0.0,0.0,2.333464343402219e-06,0.0
1536,0.0,0.0,2.780728729183985e-06,0.0
1537,0.0,0.0,2.780728729183985e-06,0.0
1538,0.0,0.0,2.780728729183985e-06,0.0
1539,0.0,0.0,2.329812137499435e-06,0.0
1540,0.0,0.0,2.329812137499435e-06,0.0
1541,0.0,0.0,2.329812137499435e-06,0.0
1542,0.0,1.5046463366681046e-06,4.4726438578176643e-07,0.0
1543,0.0,1.5046463366681046e-06,0.0,0.0
1544,0.0,1.5046463366681046e-06,5.564196986337525e-07,0.0
