ngram,south,soth,soth,soouth
1500,8.584062243244261e-06,0.0,0.0,0.0
1501,6.867249794595409e-06,0.0,0.0,0.0
1502,1.5738226920802845e-05,0.0,0.0,0.0
1503,1.348990878925958e-05,0.0,0.0,0.0
1504,1.5373760626451777e-05,0.0,0.0,0.0
1505,1.70378165681281e-05,0.0,0.0,0.0
1506,1.70378165681281e-05,0.0,0.0,0.0
1507,1.70378165681281e-05,0.0,0.0,0.0
1508,1.70378165681281e-05,0.0,0.0,0.0
1509,8.453086203579524e-06,0.0,0.0,0.0
1510,8.453086203579524e-06,0.0,0.0,0.0
1511,5.3662853523357105e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,0.0,0.0,0.0
1515,1.999628044099414e-06,0.0,0.0,0.0
1516,1.999628044099414e-06,0.0,0.0,0.0
1517,2.5309048266665613e-06,0.0,0.0,0.0
1518,2.5309048266665613e-06,0.0,0.0,0.0
1519,2.5309048266665613e-06,0.0,0.0,0.0
1520,8.475444792566122e-05,0.0,0.0,0.0
1521,8.275481988156181e-05,0.0,0.0,0.0
1522,0.0002224001206871305,0.0,0.0,0.0
1523,0.00024334565062287896,6.160450019316548e-07,6.160450019316548e-07,0.0
1524,0.0002428143738403118,6.160450019316548e-07,6.160450019316548e-07,0.0
1525,0.0002428143738403118,6.160450019316548e-07,6.160450019316548e-07,0.0
1526,0.0002428143738403118,6.160450019316548e-07,6.160450019316548e-07,0.0
1527,0.00016059083074131713,6.160450019316548e-07,6.160450019316548e-07,0.0
1528,0.00017417885205109736,6.160450019316548e-07,6.160450019316548e-07,0.0
1529,3.453355124552867e-05,6.160450019316548e-07,6.160450019316548e-07,0.0
1530,1.3588021309780224e-05,7.289485048594153e-07,7.289485048594153e-07,0.0
1531,1.9332869539669317e-05,7.289485048594153e-07,7.289485048594153e-07,0.0
1532,1.9332869539669317e-05,7.289485048594153e-07,7.289485048594153e-07,0.0
1533,1.9332869539669317e-05,7.289485048594153e-07,7.289485048594153e-07,0.0
1534,1.9332869539669317e-05,7.289485048594153e-07,7.289485048594153e-07,0.0
1535,9.133434234952023e-06,7.289485048594153e-07,7.289485048594153e-07,0.0
1536,1.0475227359815367e-05,7.289485048594153e-07,7.289485048594153e-07,0.0
1537,1.0475227359815367e-05,0.0,0.0,0.0
1538,4.730379129926275e-06,0.0,0.0,0.0
1539,4.730379129926275e-06,0.0,0.0,0.0
1540,4.730379129926275e-06,0.0,0.0,0.0
1541,4.730379129926275e-06,0.0,0.0,0.0
1542,7.360378471535764e-06,0.0,0.0,0.0
1543,6.018585346672418e-06,0.0,0.0,0.0
1544,8.66157902886958e-06,0.0,0.0,0.0
1545,3.1166868471440724e-05,0.0,0.0,0.0
1546,6.053601984084318e-05,0.0,0.0,0.0
1547,6.053601984084318e-05,0.0,0.0,0.0
1548,7.45063906444037e-05,0.0,0.0,0.0
1549,6.848780529773129e-05,0.0,0.0,0.0
1550,7.497195370628365e-05,0.0,0.0,0.0
1551,7.232896002408649e-05,0.0,0.0,0.0
1552,6.28036681778862e-05,0.0,0.0,0.0
1553,3.343451680848375e-05,0.0,0.0,0.0
1554,3.343451680848375e-05,0.0,0.0,0.0
1555,2.126710101687682e-05,0.0,0.0,0.0
1556,2.126710101687682e-05,0.0,0.0,0.0
1557,1.4782952608324454e-05,0.0,0.0,0.0
1558,1.8193196020937258e-05,0.0,0.0,0.0
1559,6.932421716295981e-06,0.0,0.0,0.0
1560,1.0073253568927093e-05,0.0,0.0,0.0
1561,4.070628451050392e-05,0.0,0.0,0.0
1562,4.245875866867469e-05,0.0,0.0,0.0
1563,5.655203182998646e-05,0.0,0.0,0.0
1564,5.655203182998646e-05,0.0,0.0,0.0
1565,5.516538970238928e-05,0.0,0.0,0.0
1566,5.34461664106597e-05,0.0,0.0,0.0
1567,5.030533455802859e-05,0.0,0.0,0.0
1568,1.9672303616451764e-05,0.0,0.0,0.0
1569,1.61168744463274e-05,0.0,0.0,0.0
1570,2.023601285015632e-06,0.0,0.0,0.0
1571,2.023601285015632e-06,0.0,0.0,0.0
1572,5.199607845237811e-07,0.0,0.0,0.0
1573,5.199607845237811e-07,0.0,0.0,0.0
1574,5.199607845237811e-07,0.0,0.0,0.0
1575,5.199607845237811e-07,0.0,0.0,0.0
1576,9.706412324054066e-07,0.0,0.0,0.0
1577,9.706412324054066e-07,0.0,0.0,0.0
1578,1.6933805519719108e-06,0.0,0.0,0.0
1579,1.1734197674481299e-06,0.0,0.0,0.0
1580,1.1734197674481299e-06,0.0,0.0,0.0
1581,6.5131863331251746e-06,0.0,0.0,0.0
1582,6.932167707418557e-06,0.0,0.0,0.0
1583,8.884600414863339e-06,2.403113025398592e-07,2.403113025398592e-07,0.0
1584,8.884600414863339e-06,2.403113025398592e-07,2.403113025398592e-07,0.0
1585,8.350579183310661e-06,4.2902939055368604e-07,4.2902939055368604e-07,0.0
1586,9.069473029350255e-06,4.2902939055368604e-07,4.2902939055368604e-07,0.0
1587,9.069473029350255e-06,4.2902939055368604e-07,4.2902939055368604e-07,0.0
1588,4.399212278778057e-06,4.2902939055368604e-07,4.2902939055368604e-07,0.0
1589,5.847495637161566e-06,4.2902939055368604e-07,4.2902939055368604e-07,0.0
1590,4.484285081421799e-06,1.887180880138268e-07,1.887180880138268e-07,0.0
1591,5.550418937413529e-06,1.887180880138268e-07,1.887180880138268e-07,0.0
1592,5.361700849399702e-06,0.0,0.0,0.0
1593,4.86608372999139e-06,0.0,0.0,0.0
1594,5.201346896553462e-06,0.0,0.0,0.0
1595,4.9826381720257425e-06,0.0,0.0,0.0
1596,3.5362098904962683e-06,0.0,0.0,0.0
1597,1.3270833246029465e-05,0.0,0.0,0.0
1598,1.7512769285791103e-05,0.0,0.0,0.0
1599,1.786650273061241e-05,0.0,0.0,0.0
1600,2.2755518070230858e-05,0.0,0.0,0.0
1601,2.6522055999781253e-05,3.906477234392826e-07,3.906477234392826e-07,0.0
1602,3.0351688402723604e-05,3.906477234392826e-07,3.906477234392826e-07,0.0
1603,2.9930851951576187e-05,3.906477234392826e-07,3.906477234392826e-07,0.0
1604,1.9156325996456352e-05,3.906477234392826e-07,3.906477234392826e-07,0.0
1605,1.4972625032377046e-05,3.906477234392826e-07,3.906477234392826e-07,0.0
1606,6.907336410222342e-05,7.109681519068545e-07,7.109681519068545e-07,0.0
