ngram,strategy,strategy,stategy,stratgey
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1533,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1534,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1535,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1536,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1537,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1538,4.509165916845502e-07,4.509165916845502e-07,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,4.1731475773433756e-07,4.1731475773433756e-07,0.0,0.0
1545,4.1731475773433756e-07,4.1731475773433756e-07,0.0,0.0
1546,6.970209532093057e-07,6.970209532093057e-07,0.0,0.0
1547,6.970209532093057e-07,6.970209532093057e-07,0.0,0.0
1548,6.970209532093057e-07,6.970209532093057e-07,0.0,0.0
1549,6.970209532093057e-07,6.970209532093057e-07,0.0,0.0
1550,1.2373666647493207e-06,1.2373666647493207e-06,0.0,0.0
1551,8.200519070149832e-07,8.200519070149832e-07,0.0,0.0
1552,2.2622739054765717e-06,2.2622739054765717e-06,0.0,0.0
1553,1.9825677100016037e-06,1.9825677100016037e-06,0.0,0.0
1554,1.9825677100016037e-06,1.9825677100016037e-06,0.0,0.0
1555,1.9825677100016037e-06,1.9825677100016037e-06,0.0,0.0
1556,1.9825677100016037e-06,1.9825677100016037e-06,0.0,0.0
1557,1.4422219984615886e-06,1.4422219984615886e-06,0.0,0.0
1558,1.4422219984615886e-06,1.4422219984615886e-06,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,6.467548051399977e-07,6.467548051399977e-07,0.0,0.0
1580,6.467548051399977e-07,6.467548051399977e-07,0.0,0.0
1581,6.467548051399977e-07,6.467548051399977e-07,0.0,0.0
1582,6.467548051399977e-07,6.467548051399977e-07,0.0,0.0
1583,1.6080000152994347e-06,1.6080000152994347e-06,0.0,0.0
1584,1.6080000152994347e-06,1.6080000152994347e-06,0.0,0.0
1585,1.6080000152994347e-06,1.6080000152994347e-06,0.0,0.0
1586,9.61245210159437e-07,9.61245210159437e-07,0.0,0.0
1587,9.61245210159437e-07,9.61245210159437e-07,0.0,0.0
1588,9.61245210159437e-07,9.61245210159437e-07,0.0,0.0
1589,9.61245210159437e-07,9.61245210159437e-07,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,4.2083645114741687e-07,4.2083645114741687e-07,0.0,0.0
1597,5.418985438154778e-07,5.418985438154778e-07,0.0,0.0
1598,1.16117335632485e-06,1.16117335632485e-06,0.0,0.0
1599,1.16117335632485e-06,1.16117335632485e-06,0.0,0.0
1600,1.267679441038386e-06,1.267679441038386e-06,0.0,0.0
1601,1.267679441038386e-06,1.267679441038386e-06,0.0,0.0
1602,1.476480877369925e-06,1.476480877369925e-06,0.0,0.0
1603,1.055644426222508e-06,1.055644426222508e-06,0.0,0.0
1604,9.345823335544472e-07,9.345823335544472e-07,0.0,0.0
1605,3.1530752104507495e-07,3.1530752104507495e-07,0.0,0.0
1606,3.1530752104507495e-07,3.1530752104507495e-07,0.0,0.0
1607,2.0880143633153887e-07,2.0880143633153887e-07,0.0,0.0
1608,2.0880143633153887e-07,2.0880143633153887e-07,0.0,0.0
