ngram,string,strng,strng,strng
1500,2.3390674641632359e-07,0.0,0.0,0.0
1501,1.8712539713305886e-07,0.0,0.0,0.0
1502,1.5593783094421573e-07,0.0,0.0,0.0
1503,1.336609979521849e-07,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,0.0,0.0,0.0
1518,1.0625535651342943e-06,0.0,0.0,0.0
1519,1.0625535651342943e-06,0.0,0.0,0.0
1520,1.6583763421554716e-06,0.0,0.0,0.0
1521,1.6583763421554716e-06,0.0,0.0,0.0
1522,8.005890062382345e-06,0.0,0.0,0.0
1523,8.005890062382345e-06,0.0,0.0,0.0
1524,6.943336497248051e-06,0.0,0.0,0.0
1525,6.943336497248051e-06,0.0,0.0,0.0
1526,6.943336497248051e-06,0.0,0.0,0.0
1527,6.347513720226873e-06,0.0,0.0,0.0
1528,6.347513720226873e-06,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,4.1731475773433756e-07,0.0,0.0,0.0
1545,4.1731475773433756e-07,0.0,0.0,0.0
1546,6.970209532093057e-07,0.0,0.0,0.0
1547,6.970209532093057e-07,0.0,0.0,0.0
1548,6.970209532093057e-07,0.0,0.0,0.0
1549,6.970209532093057e-07,0.0,0.0,0.0
1550,1.7777123762893358e-06,0.0,0.0,0.0
1551,1.3603976185549982e-06,0.0,0.0,0.0
1552,2.0815086177857926e-06,0.0,0.0,0.0
1553,1.8018024223108244e-06,0.0,0.0,0.0
1554,1.8018024223108244e-06,0.0,0.0,0.0
1555,1.8018024223108244e-06,0.0,0.0,0.0
1556,1.8018024223108244e-06,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0
1558,1.4031596557677922e-06,0.0,0.0,0.0
1559,1.4435834990373614e-05,0.0,0.0,0.0
1560,1.4435834990373614e-05,0.0,0.0,0.0
1561,1.4435834990373614e-05,0.0,0.0,0.0
