ngram,student,stuent,studnt,studdent
1500,3.7520422893067007e-06,0.0,0.0,0.0
1501,3.0016338314453604e-06,0.0,0.0,0.0
1502,2.5013615262044673e-06,0.0,0.0,0.0
1503,2.1440241653181147e-06,0.0,0.0,0.0
1504,7.515659880092633e-06,0.0,0.0,0.0
1505,1.0277231662517547e-05,0.0,0.0,0.0
1506,1.0277231662517547e-05,0.0,0.0,0.0
1507,1.0277231662517547e-05,0.0,0.0,0.0
1508,1.0277231662517547e-05,0.0,0.0,0.0
1509,1.0277231662517547e-05,0.0,0.0,0.0
1510,1.0277231662517547e-05,0.0,0.0,0.0
1511,4.103629960029918e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,1.6338758541678544e-06,0.0,0.0,0.0
1518,1.6338758541678544e-06,0.0,0.0,0.0
1519,1.6338758541678544e-06,0.0,0.0,0.0
1520,7.294192008495364e-06,0.0,0.0,0.0
1521,6.722869719461804e-06,0.0,0.0,0.0
1522,9.89662657957524e-06,0.0,0.0,0.0
1523,2.0985436484417213e-05,0.0,0.0,0.0
1524,1.992288291928292e-05,0.0,0.0,0.0
1525,1.992288291928292e-05,0.0,0.0,0.0
1526,2.2465480859474546e-05,0.0,0.0,0.0
1527,1.6805164705147035e-05,0.0,0.0,0.0
1528,1.6805164705147035e-05,0.0,0.0,0.0
1529,1.36314078450336e-05,0.0,0.0,0.0
1530,2.5425979401916265e-06,0.0,0.0,0.0
1531,2.5425979401916265e-06,0.0,0.0,0.0
1532,2.5425979401916265e-06,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,1.8825477517176686e-06,0.0,0.0,0.0
1536,1.8825477517176686e-06,0.0,0.0,0.0
1537,1.8825477517176686e-06,0.0,0.0,0.0
1538,1.8825477517176686e-06,0.0,0.0,0.0
1539,1.8825477517176686e-06,0.0,0.0,0.0
1540,1.8825477517176686e-06,0.0,0.0,0.0
1541,1.8825477517176686e-06,0.0,0.0,0.0
1542,9.027878279864257e-06,0.0,0.0,0.0
1543,9.027878279864257e-06,0.0,0.0,0.0
1544,9.445193037598593e-06,0.0,0.0,0.0
1545,1.0248953328430486e-05,0.0,0.0,0.0
1546,1.0248953328430486e-05,0.0,0.0,0.0
1547,1.0248953328430486e-05,0.0,0.0,0.0
1548,1.084343719932284e-05,0.0,0.0,0.0
1549,1.8155589194585836e-06,0.0,0.0,0.0
1550,3.976941765618644e-06,0.0,0.0,0.0
1551,3.5596270078843062e-06,0.0,0.0,0.0
1552,4.919199649780889e-06,0.0,0.0,0.0
1553,4.919199649780889e-06,0.0,0.0,0.0
1554,4.919199649780889e-06,0.0,0.0,0.0
1555,4.925700782873069e-06,0.0,0.0,0.0
1556,4.925700782873069e-06,0.0,0.0,0.0
1557,2.764317936713009e-06,0.0,0.0,0.0
1558,1.7769388120671336e-05,0.0,0.0,0.0
1559,1.560605518794286e-05,0.0,0.0,0.0
1560,2.009295738909194e-05,0.0,0.0,0.0
1561,2.009295738909194e-05,0.0,0.0,0.0
1562,1.9491972385107408e-05,0.0,0.0,0.0
1563,1.9491972385107408e-05,0.0,0.0,0.0
1564,1.9491972385107408e-05,0.0,0.0,0.0
1565,4.48690220114908e-06,0.0,0.0,0.0
1566,4.48690220114908e-06,0.0,0.0,0.0
1567,3.4119865241726596e-06,0.0,0.0,0.0
1568,3.4119865241726596e-06,0.0,0.0,0.0
1569,5.6401025046527915e-06,0.0,0.0,0.0
1570,5.6401025046527915e-06,0.0,0.0,0.0
1571,1.7899361409945413e-05,0.0,0.0,0.0
1572,1.8419322194469195e-05,0.0,0.0,0.0
1573,1.9677731545795852e-05,0.0,0.0,0.0
1574,1.6810456567587346e-05,0.0,0.0,0.0
1575,1.6810456567587346e-05,0.0,0.0,0.0
1576,1.818778417016022e-05,0.0,0.0,0.0
1577,3.3496640136425935e-05,0.0,0.0,0.0
1578,2.3646512382973534e-05,0.0,0.0,0.0
1579,2.3126551598449752e-05,0.0,0.0,0.0
1580,2.384906393412426e-05,0.0,0.0,0.0
1581,2.4490967137223508e-05,0.0,0.0,0.0
1582,2.4490967137223508e-05,0.0,0.0,0.0
1583,2.2087080131833708e-05,0.0,0.0,0.0
1584,6.778224165567995e-06,0.0,0.0,0.0
1585,5.123965365783079e-06,0.0,0.0,0.0
1586,8.718434466053232e-06,0.0,0.0,0.0
1587,6.73751277905207e-06,0.0,0.0,0.0
1588,6.2204038450935125e-06,0.0,0.0,0.0
1589,8.647848062537378e-06,0.0,0.0,0.0
1590,8.2262184020822e-06,0.0,0.0,0.0
1591,1.1957687027981073e-05,0.0,0.0,0.0
1592,1.1799786469574819e-05,0.0,0.0,0.0
1593,8.428594095935946e-06,0.0,0.0,0.0
1594,8.596225679216982e-06,0.0,0.0,0.0
1595,8.82831404526639e-06,0.0,0.0,0.0
1596,6.821706278969941e-06,0.0,0.0,0.0
1597,7.1313381632925096e-06,0.0,0.0,0.0
1598,4.284547896661804e-06,0.0,0.0,0.0
1599,4.512954108447177e-06,0.0,0.0,0.0
1600,5.674256515573818e-06,0.0,0.0,0.0
1601,8.045835134648119e-06,0.0,0.0,0.0
1602,8.083847400744812e-06,0.0,0.0,0.0
1603,7.663010949597395e-06,0.0,0.0,0.0
1604,8.446425649058906e-06,0.0,0.0,0.0
1605,8.236368622809615e-06,0.0,0.0,0.0
1606,1.1655236253968074e-05,0.0,0.0,0.0
1607,1.1017154195412462e-05,0.0,0.0,0.0
1608,8.477943993057124e-06,0.0,0.0,0.0
1609,8.104359494609525e-06,0.0,0.0,0.0
1610,8.104359494609525e-06,0.0,0.0,0.0
1611,7.665157876804837e-06,0.0,0.0,0.0
1612,7.259537272018081e-06,0.0,0.0,0.0
1613,4.613396478297156e-06,0.0,0.0,0.0
1614,3.866899403094846e-06,0.0,0.0,0.0
1615,4.6287859082180404e-06,0.0,0.0,0.0
1616,4.423188491793033e-06,0.0,0.0,0.0
1617,4.423188491793033e-06,0.0,0.0,0.0
1618,3.1863708857469774e-06,0.0,0.0,0.0
1619,3.2549736488363123e-06,0.0,0.0,0.0
1620,1.8583466336557258e-06,0.0,0.0,0.0
1621,2.036764629208067e-06,0.0,0.0,0.0
1622,1.2748781240848724e-06,0.0,0.0,0.0
1623,5.225080648025531e-06,0.0,0.0,0.0
1624,5.3744128406054055e-06,0.0,0.0,0.0
1625,5.177458563464045e-06,0.0,0.0,0.0
1626,6.217585970651791e-06,0.0,0.0,0.0
