ngram,tea,te,t,aet
1500,6.297860295489954e-07,6.514145070468658e-06,7.521561747125816e-05,0.0
1501,5.038288236391964e-07,5.211316056374926e-06,6.017249397700652e-05,0.0
1502,3.2312309864816293e-06,4.342763380312438e-06,5.3482251132663805e-05,1.7571085209056037e-07
1503,2.769626559841397e-06,3.7223686116963757e-06,4.5841929542283264e-05,1.506093017919089e-07
1504,2.5023045639370267e-06,8.024716407817323e-06,2.609789511812518e-05,1.506093017919089e-07
1505,2.7254126767469903e-06,1.4380861622547464e-05,3.390278470760677e-05,1.506093017919089e-07
1506,2.7254126767469903e-06,3.718813240993768e-05,0.00025437306482802214,1.506093017919089e-07
1507,2.7254126767469903e-06,3.718813240993768e-05,0.00025437306482802214,1.506093017919089e-07
1508,2.7254126767469903e-06,3.718813240993768e-05,0.00025437306482802214,1.506093017919089e-07
1509,3.156638480764481e-07,3.718813240993768e-05,0.0002515114881264578,0.0
1510,3.156638480764481e-07,3.718813240993768e-05,0.0002515114881264578,0.0
1511,3.156638480764481e-07,3.101453070745005e-05,0.00024225108583258198,0.0
1512,0.0,2.2807270787390216e-05,0.00022047028012041534,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,1.1426445780671202e-06,4.284917200233654e-06,0.0
1515,0.0,1.1426445780671202e-06,4.284917200233654e-06,0.0
1516,0.0,1.1426445780671202e-06,4.284917200233654e-06,0.0
1517,0.0,3.267751708335709e-06,5.369365862861741e-05,0.0
1518,0.0,3.267751708335709e-06,5.369365862861741e-05,0.0
1519,0.0,3.267751708335709e-06,5.369365862861741e-05,0.0
1520,1.7874683960274394e-06,5.9489543023768676e-06,7.275998749329509e-05,0.0
1521,1.7874683960274394e-06,4.806309724309747e-06,6.847507029306144e-05,0.0
1522,1.7874683960274394e-06,4.806309724309747e-06,7.164882715317487e-05,0.0
1523,1.6572548962098415e-05,4.806309724309747e-06,7.349696222393374e-05,0.0
1524,1.8637227055608362e-05,8.320365174898013e-05,4.4735001990505096e-05,0.0
1525,1.8637227055608362e-05,8.320365174898013e-05,4.4735001990505096e-05,0.0
1526,1.8637227055608362e-05,8.320365174898013e-05,0.00014643891959817016,0.0
1527,1.684975865958092e-05,8.052244915493898e-05,0.00012737259073349248,0.0
1528,1.684975865958092e-05,8.052244915493898e-05,0.0001315535204672155,0.0
1529,1.684975865958092e-05,8.052244915493898e-05,0.00012837976360710205,0.0
1530,2.064678093509948e-06,0.00010749354467926813,0.00023077126310714187,0.0
1531,0.0,2.697109552432916e-05,0.00021012448191218676,0.0
1532,0.0,2.697109552432916e-05,0.00021328089808646058,0.0
1533,0.0,3.4952833500158575e-05,0.00011157698047879552,0.0
1534,0.0,3.776177488491937e-05,0.0001551155707732375,0.0
1535,0.0,3.8514794011592e-05,0.00017390172511763273,0.0
1536,0.0,3.8514794011592e-05,0.00017479625388919625,0.0
1537,0.0,1.154369848726284e-05,0.00014170061688543813,0.0
1538,0.0,1.7896575627673883e-05,0.00014487705545564365,0.0
1539,0.0,1.7896575627673883e-05,0.00015168197303085305,0.0
1540,0.0,9.914837651844469e-06,0.00015168197303085305,0.0
1541,0.0,4.122510875147002e-05,0.00010814338273641104,0.0
1542,0.0,4.1976735961465496e-05,0.00010624134763150193,0.0
1543,0.0,6.479372119169316e-05,0.0001623892829749301,0.0
1544,0.0,6.52110359494275e-05,0.00010153904934538462,0.0
1545,0.0,5.93939990137317e-05,0.00010506061309050503,0.0
1546,0.0,6.023311760015661e-05,0.00010013399098949906,0.0
1547,3.277141201708998e-06,6.678740000357461e-05,0.00012307397940146205,0.0
