ngram,teacher,techer,techer,teachr
1500,6.838572517153807e-06,0.0,0.0,0.0
1501,5.470858013723046e-06,0.0,0.0,0.0
1502,4.559048344769205e-06,0.0,0.0,0.0
1503,3.90775572408789e-06,0.0,0.0,0.0
1504,6.326251553088826e-06,0.0,0.0,0.0
1505,1.571335425459048e-05,0.0,0.0,0.0
1506,1.571335425459048e-05,0.0,0.0,0.0
1507,1.571335425459048e-05,0.0,0.0,0.0
1508,1.571335425459048e-05,0.0,0.0,0.0
1509,1.571335425459048e-05,0.0,0.0,0.0
1510,1.571335425459048e-05,0.0,0.0,0.0
1511,1.2626553403346666e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.4107682747853687e-06,0.0,0.0,0.0
1518,2.4107682747853687e-06,0.0,0.0,0.0
1519,2.4107682747853687e-06,0.0,0.0,0.0
1520,5.985705066840248e-06,0.0,0.0,0.0
1521,5.700043922323468e-06,0.0,0.0,0.0
1522,8.873800782436905e-06,0.0,0.0,0.0
1523,1.441820573485789e-05,0.0,0.0,0.0
1524,1.22930986045893e-05,0.0,0.0,0.0
1525,1.22930986045893e-05,0.0,0.0,0.0
1526,1.22930986045893e-05,0.0,0.0,0.0
1527,8.718161812534423e-06,0.0,0.0,0.0
1528,8.718161812534423e-06,0.0,0.0,0.0
1529,5.544404952420986e-06,0.0,0.0,0.0
1530,8.747381798457354e-06,0.0,0.0,0.0
1531,8.747381798457354e-06,0.0,0.0,0.0
1532,8.747381798457354e-06,0.0,0.0,0.0
1533,8.747381798457354e-06,0.0,0.0,0.0
1534,8.747381798457354e-06,0.0,0.0,0.0
1535,9.12389136179367e-06,0.0,0.0,0.0
1536,1.1807477611520361e-05,0.0,0.0,0.0
1537,3.0600958130630066e-06,0.0,0.0,0.0
1538,3.0600958130630066e-06,0.0,0.0,0.0
1539,3.0600958130630066e-06,0.0,0.0,0.0
