ngram,understanding,understadning,understading,uderstanding
1500,1.358758925107395e-05,0.0,0.0,0.0
1501,1.087007140085916e-05,0.0,0.0,0.0
1502,1.3626875064195096e-05,0.0,0.0,0.0
1503,2.060484536871497e-05,0.0,0.0,0.0
1504,2.03375233728106e-05,0.0,0.0,0.0
1505,1.5365819438427154e-05,0.0,0.0,0.0
1506,1.5365819438427154e-05,0.0,0.0,0.0
1507,1.5365819438427154e-05,0.0,0.0,0.0
1508,1.5365819438427154e-05,0.0,0.0,0.0
1509,1.1449977526873617e-05,0.0,0.0,0.0
1510,2.525310784611585e-06,0.0,0.0,0.0
1511,2.525310784611585e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.5709502681690666e-06,0.0,0.0,0.0
1515,2.5709502681690666e-06,0.0,0.0,0.0
1516,2.5709502681690666e-06,0.0,0.0,0.0
1517,7.883718353696167e-06,0.0,0.0,0.0
1518,7.883718353696167e-06,0.0,0.0,0.0
1519,7.883718353696167e-06,0.0,0.0,0.0
1520,1.0862832173838147e-05,0.0,0.0,0.0
1521,8.29188190566908e-06,0.0,0.0,0.0
1522,1.1465638765782518e-05,0.0,0.0,0.0
1523,1.4545863710476884e-05,0.0,0.0,0.0
1524,9.233095624949783e-06,0.0,0.0,0.0
1525,9.233095624949783e-06,0.0,0.0,0.0
1526,1.558959047542885e-05,0.0,0.0,0.0
1527,1.261047665528687e-05,0.0,0.0,0.0
1528,1.4700941522148372e-05,0.0,0.0,0.0
1529,1.1527184662034934e-05,0.0,0.0,0.0
1530,8.446959717340568e-06,0.0,0.0,0.0
1531,8.446959717340568e-06,0.0,0.0,0.0
1532,2.1523540453927126e-05,0.0,0.0,0.0
1533,1.516704560344806e-05,0.0,0.0,0.0
1534,1.7975986988208854e-05,0.0,0.0,0.0
1535,1.814457963129306e-05,0.0,0.0,0.0
1536,1.8591844017074826e-05,0.0,0.0,0.0
