ngram,variation,variation,varition,varation
1500,2.9064535169709416e-06,2.9064535169709416e-06,0.0,0.0
1501,2.325162813576753e-06,2.325162813576753e-06,0.0,0.0
1502,2.6404790863428693e-06,2.6404790863428693e-06,0.0,0.0
1503,4.688659942075901e-05,4.688659942075901e-05,0.0,0.0
1504,4.6752938422806824e-05,4.6752938422806824e-05,0.0,0.0
1505,4.522576883963276e-05,4.522576883963276e-05,0.0,0.0
1506,4.522576883963276e-05,4.522576883963276e-05,0.0,0.0
1507,4.522576883963276e-05,4.522576883963276e-05,0.0,0.0
1508,4.522576883963276e-05,4.522576883963276e-05,0.0,0.0
1509,4.4623331632465124e-05,4.4623331632465124e-05,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.5407026304663824e-05,1.5407026304663824e-05,0.0,0.0
1518,1.5407026304663824e-05,1.5407026304663824e-05,0.0,0.0
1519,1.5407026304663824e-05,1.5407026304663824e-05,0.0,0.0
1520,1.5407026304663824e-05,1.5407026304663824e-05,0.0,0.0
1521,1.5407026304663824e-05,1.5407026304663824e-05,0.0,0.0
1522,1.5407026304663824e-05,1.5407026304663824e-05,0.0,0.0
1523,1.848725124935819e-05,1.848725124935819e-05,0.0,0.0
1524,3.0802249446943667e-06,3.0802249446943667e-06,0.0,0.0
1525,3.0802249446943667e-06,3.0802249446943667e-06,0.0,0.0
1526,4.503308887901117e-05,4.503308887901117e-05,0.0,0.0
1527,4.503308887901117e-05,4.503308887901117e-05,0.0,0.0
1528,4.8168786244267335e-05,4.8168786244267335e-05,0.0,0.0
1529,4.8168786244267335e-05,4.8168786244267335e-05,0.0,0.0
1530,4.508856129957296e-05,4.508856129957296e-05,0.0,0.0
1531,4.508856129957296e-05,4.508856129957296e-05,0.0,0.0
1532,4.9146810592251965e-05,4.9146810592251965e-05,0.0,0.0
1533,7.193946657935157e-06,7.193946657935157e-06,0.0,0.0
1534,7.193946657935157e-06,7.193946657935157e-06,0.0,0.0
1535,4.811268419351629e-06,4.811268419351629e-06,0.0,0.0
1536,4.811268419351629e-06,4.811268419351629e-06,0.0,0.0
1537,4.811268419351629e-06,4.811268419351629e-06,0.0,0.0
1538,4.811268419351629e-06,4.811268419351629e-06,0.0,0.0
1539,1.2374575687447629e-05,1.2374575687447629e-05,0.0,0.0
1540,1.2374575687447629e-05,1.2374575687447629e-05,0.0,0.0
1541,1.2374575687447629e-05,1.2374575687447629e-05,0.0,0.0
1542,1.1621556560774999e-05,1.1621556560774999e-05,0.0,0.0
1543,1.1621556560774999e-05,1.1621556560774999e-05,0.0,0.0
1544,1.2038871318509337e-05,1.2038871318509337e-05,0.0,0.0
1545,1.230679142086696e-05,1.230679142086696e-05,0.0,0.0
1546,9.64941055566929e-07,9.64941055566929e-07,0.0,0.0
1547,7.519223458984925e-06,7.519223458984925e-06,0.0,0.0
1548,7.519223458984925e-06,7.519223458984925e-06,0.0,0.0
1549,7.519223458984925e-06,7.519223458984925e-06,0.0,0.0
1550,8.599914882064955e-06,8.599914882064955e-06,0.0,0.0
1551,8.182600124330617e-06,8.182600124330617e-06,0.0,0.0
1552,8.63579102120379e-06,8.63579102120379e-06,0.0,0.0
1553,8.356084825728821e-06,8.356084825728821e-06,0.0,0.0
1554,1.8018024223108244e-06,1.8018024223108244e-06,0.0,0.0
1555,3.0037724302798907e-06,3.0037724302798907e-06,0.0,0.0
1556,8.20815369349605e-06,8.20815369349605e-06,0.0,0.0
