ngram,warning,warng,warng,warng
1500,1.3767665905106696e-06,0.0,0.0,0.0
1501,1.1014132724085357e-06,0.0,0.0,0.0
1502,1.2692660978549004e-06,0.0,0.0,0.0
1503,1.0879423695899147e-06,0.0,0.0,0.0
1504,1.0879423695899147e-06,0.0,0.0,0.0
1505,6.168824516602658e-07,0.0,0.0,0.0
1506,6.168824516602658e-07,0.0,0.0,0.0
1507,6.168824516602658e-07,0.0,0.0,0.0
1508,6.168824516602658e-07,0.0,0.0,0.0
1509,3.156638480764481e-07,0.0,0.0,0.0
1510,3.156638480764481e-07,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.1422724922387194e-06,0.0,0.0,0.0
1515,3.1422724922387194e-06,0.0,0.0,0.0
1516,3.1422724922387194e-06,0.0,0.0,0.0
1517,3.1422724922387194e-06,0.0,0.0,0.0
1518,3.1422724922387194e-06,0.0,0.0,0.0
1519,3.1422724922387194e-06,0.0,0.0,0.0
1520,6.419297798337149e-06,0.0,0.0,0.0
1521,3.2770253060984293e-06,0.0,0.0,0.0
1522,3.2770253060984293e-06,0.0,0.0,0.0
1523,5.7412053138250485e-06,0.0,0.0,0.0
1524,5.7412053138250485e-06,0.0,0.0,0.0
1525,5.7412053138250485e-06,0.0,0.0,0.0
1526,6.376854798872955e-06,0.0,0.0,0.0
1527,3.099829492774526e-06,0.0,0.0,0.0
1528,3.099829492774526e-06,0.0,0.0,0.0
1529,3.099829492774526e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,1.7870193655003925e-05,0.0,0.0,0.0
1532,2.012477671087254e-05,0.0,0.0,0.0
1533,1.9489127225824632e-05,0.0,0.0,0.0
1534,2.791595112025139e-05,0.0,0.0,0.0
1535,3.2057556381914765e-05,0.0,0.0,0.0
1536,3.2057556381914765e-05,0.0,0.0,0.0
1537,3.2057556381914765e-05,0.0,0.0,0.0
1538,1.4823012211958744e-05,0.0,0.0,0.0
1539,1.8379207436477634e-05,0.0,0.0,0.0
1540,1.8379207436477634e-05,0.0,0.0,0.0
1541,9.952383542050874e-06,0.0,0.0,0.0
1542,8.820070953723708e-06,0.0,0.0,0.0
1543,8.820070953723708e-06,0.0,0.0,0.0
1544,1.1880379263727394e-05,0.0,0.0,0.0
1545,1.2952059673157887e-05,0.0,0.0,0.0
1546,7.420987588245355e-06,0.0,0.0,0.0
1547,7.420987588245355e-06,0.0,0.0,0.0
1548,8.907197297958191e-06,0.0,0.0,0.0
1549,7.110562364687212e-06,0.0,0.0,0.0
1550,7.650908076227228e-06,0.0,0.0,0.0
1551,4.590599766223542e-06,0.0,0.0,0.0
1552,3.518919356793049e-06,0.0,0.0,0.0
1553,3.239213161318081e-06,0.0,0.0,0.0
1554,1.2495815326474258e-05,0.0,0.0,0.0
1555,1.5817485648637686e-05,0.0,0.0,0.0
1556,1.5645704187201253e-05,0.0,0.0,0.0
1557,1.5105358475661238e-05,0.0,0.0,0.0
1558,1.5105358475661238e-05,0.0,0.0,0.0
1559,4.605137824650488e-05,0.0,0.0,0.0
1560,4.829482934707942e-05,0.0,0.0,0.0
1561,3.9038227181923245e-05,0.0,0.0,0.0
1562,3.600806173510916e-05,0.0,0.0,0.0
1563,3.7694915720619194e-05,0.0,0.0,0.0
1564,3.7694915720619194e-05,0.0,0.0,0.0
1565,5.388372600074425e-05,0.0,0.0,0.0
1566,2.674504724252204e-05,0.0,0.0,0.0
1567,2.654878816039335e-05,0.0,0.0,0.0
1568,2.654878816039335e-05,0.0,0.0,0.0
1569,2.6999189555811298e-05,0.0,0.0,0.0
1570,2.4271459291672466e-05,0.0,0.0,0.0
1571,3.1627014323021285e-05,0.0,0.0,0.0
1572,1.647812561194379e-05,0.0,0.0,0.0
1573,2.2738059409935625e-05,0.0,0.0,0.0
1574,2.668269436461352e-05,0.0,0.0,0.0
1575,2.7939973993592764e-05,0.0,0.0,0.0
1576,2.6162538460994256e-05,0.0,0.0,0.0
1577,2.6162538460994256e-05,0.0,0.0,0.0
1578,2.0252462068778448e-05,0.0,0.0,0.0
1579,2.1799559720290874e-05,0.0,0.0,0.0
1580,1.272274575317819e-05,0.0,0.0,0.0
1581,9.104148278181259e-06,0.0,0.0,0.0
1582,1.3712607954273284e-05,0.0,0.0,0.0
1583,1.686659697952564e-05,0.0,0.0,0.0
1584,2.0463043321277447e-05,0.0,0.0,0.0
1585,2.128218180327427e-05,0.0,0.0,0.0
1586,2.157073796687265e-05,0.0,0.0,0.0
1587,2.2656754481431562e-05,0.0,0.0,0.0
1588,2.2292042428619296e-05,0.0,0.0,0.0
1589,1.9787379772294245e-05,0.0,0.0,0.0
1590,1.9042442545469385e-05,0.0,0.0,0.0
1591,1.8644397771692767e-05,0.0,0.0,0.0
1592,1.637978065056294e-05,0.0,0.0,0.0
1593,1.5290419079454815e-05,0.0,0.0,0.0
1594,1.8075257425412667e-05,0.0,0.0,0.0
1595,1.922231967910193e-05,0.0,0.0,0.0
1596,1.7965425286092795e-05,0.0,0.0,0.0
1597,1.704268652247265e-05,0.0,0.0,0.0
1598,1.592327901432457e-05,0.0,0.0,0.0
1599,1.722030161285407e-05,0.0,0.0,0.0
1600,1.671216081636625e-05,0.0,0.0,0.0
1601,1.3999407591264962e-05,0.0,0.0,0.0
1602,1.2827441553651755e-05,0.0,0.0,0.0
1603,1.1135369407254205e-05,0.0,0.0,0.0
1604,1.1411890097536212e-05,0.0,0.0,0.0
1605,1.2930876567094987e-05,0.0,0.0,0.0
1606,1.5397619011179942e-05,0.0,0.0,0.0
1607,2.158451687656842e-05,0.0,0.0,0.0
1608,2.0034987171259543e-05,0.0,0.0,0.0
1609,1.9749439356278993e-05,0.0,0.0,0.0
1610,2.1886294429610382e-05,0.0,0.0,0.0
1611,2.2437911801327054e-05,0.0,0.0,0.0
1612,1.8839931271941168e-05,0.0,0.0,0.0
1613,1.971067006577089e-05,0.0,0.0,0.0
1614,1.6530625998711912e-05,0.0,0.0,0.0
1615,1.7836309520394673e-05,0.0,0.0,0.0
1616,1.72195172386377e-05,0.0,0.0,0.0
1617,1.6153048038956642e-05,0.0,0.0,0.0
1618,1.4963550711399876e-05,0.0,0.0,0.0
1619,1.721424061023364e-05,0.0,0.0,0.0
1620,1.6710032338908475e-05,0.0,0.0,0.0
1621,1.5458211367201458e-05,0.0,0.0,0.0
1622,1.5663947384122628e-05,0.0,0.0,0.0
1623,1.7007401506167037e-05,0.0,0.0,0.0
1624,1.6868895207673112e-05,0.0,0.0,0.0
1625,2.8583611440678525e-05,0.0,0.0,0.0
1626,4.470266685530078e-05,0.0,0.0,0.0
1627,4.3927569484886977e-05,0.0,0.0,0.0
1628,4.285981244070821e-05,0.0,0.0,0.0
1629,4.297765229109375e-05,0.0,0.0,0.0
1630,4.132916559943364e-05,0.0,0.0,0.0
1631,4.281917517801048e-05,0.0,0.0,0.0
1632,3.154459968105324e-05,0.0,0.0,0.0
1633,1.6465081379075336e-05,0.0,0.0,0.0
1634,1.471431927971675e-05,0.0,0.0,0.0
