x_sums,y_sums,x_ture,y_ture
1,3.373106746299268e-07,1,1.0905104350708175e-05
2,3.1670342650613745e-07,2,1.1962281827696385e-05
3,6.153412262695687e-07,3,1.2066379635403532e-05
4,6.160450019316548e-07,4,1.1999909474980086e-05
5,6.313276961528962e-07,5,1.26976029670394e-05
6,6.467548051399977e-07,6,1.2706996390729078e-05
7,6.467548051399977e-07,7,1.3295141180995934e-05
8,2.3468331684333477e-07,8,9.812070597295784e-06
9,2.3468331684333477e-07,9,9.469248262965783e-06
10,1.3709279755858006e-07,10,8.818769921552822e-06
11,1.2354133462265188e-07,11,8.221215856402913e-06
12,1.2106209266806089e-07,12,6.673479902019608e-06
13,1.0152063266234889e-07,13,6.40944092213301e-06
14,5.81030446612983e-08,14,6.025819045264923e-06
15,1.0650608471353604e-07,15,7.427189952328003e-06
16,1.0241227853059952e-07,16,7.830089657545614e-06
17,8.252934386681382e-08,17,7.663074159479169e-06
18,1.310232521843448e-07,18,8.49508614919614e-06
19,1.4069681648314664e-07,19,9.633746003601118e-06
20,1.4069681648314664e-07,20,9.777500638717489e-06
21,1.507400010528467e-07,21,1.1201539824209508e-05
22,1.0241227853059952e-07,22,1.1731908362630098e-05
23,1.1243689154330893e-07,23,1.2441393794558413e-05
24,1.1253449981398133e-07,24,1.3287586008508308e-05
25,1.8064489332963219e-07,25,1.3391648605777717e-05
26,3.196209620780012e-07,26,1.295848577293717e-05
27,4.26546827319336e-07,27,1.2260233363901665e-05
28,4.173147577343376e-07,28,1.1585948413994627e-05
29,4.686511861759105e-07,29,1.0713833940404324e-05
30,5.036945692284332e-07,30,1.019467656858199e-05
31,5.036945692284332e-07,31,9.600922209886318e-06
32,3.473523487887828e-07,32,9.945993172420589e-06
33,1.1243689154330893e-07,33,1.0636577014468329e-05
34,1.1243689154330893e-07,34,1.057329369099794e-05
35,1.408153025295178e-07,35,1.0907360287352016e-05
36,1.987051884303323e-07,36,1.077043504795126e-05
37,2.380081696173875e-07,37,1.1397821968525282e-05
38,2.665334639979327e-07,38,1.132249040633074e-05
39,3.345529730073135e-07,39,1.0800250428084318e-05
40,3.565053085757037e-07,40,1.1689267401899478e-05
41,2.909524953663224e-07,41,1.391795577936656e-05
42,2.795494700486805e-07,42,1.431259559987146e-05
43,2.47809331150555e-07,43,1.4519213534315765e-05
44,2.679201023576232e-07,44,1.266803662604486e-05
45,2.4683632610893777e-07,45,1.3847121083797124e-05
46,2.242448431388766e-07,46,1.4228796187256065e-05
47,2.163148654485017e-07,47,1.3919438125802636e-05
48,2.4683632610893777e-07,48,1.034317704449807e-05
49,2.110116383846617e-07,49,1.2085550646848528e-05
50,2.403113025398592e-07,50,1.1960561096202582e-05
51,2.2131941282818203e-07,51,1.2351094093381626e-05
52,2.7970619547496814e-07,52,1.2120334304199789e-05
53,2.603715521282928e-07,53,1.2744265144907071e-05
54,2.403113025398592e-07,54,1.248507552580642e-05
55,2.1889638901484437e-07,55,1.206214684706148e-05
56,2.1941251101712365e-07,56,1.1076811720808367e-05
57,2.1941251101712365e-07,57,1.2168788941835372e-05
58,2.40913111935827e-07,58,1.1167040221542785e-05
59,2.10757889362867e-07,59,1.1938695414366e-05
60,2.10757889362867e-07,60,1.1303052815492263e-05
61,2.754039688365343e-07,61,1.1267011359450407e-05
62,2.944610011062261e-07,62,1.1460090978029516e-05
63,2.897977294326536e-07,63,1.1083216772281698e-05
64,2.553003192978005e-07,64,1.0103257864102488e-05
65,2.6257249276438544e-07,65,1.0892578562301685e-05
66,2.6257249276438544e-07,66,1.0428381431535985e-05
67,4.017197251674328e-07,67,1.0288435597820872e-05
68,3.906477234392826e-07,68,1.0324071029442297e-05
69,3.774361760276536e-07,69,1.2420023397550852e-05
70,3.191148120354878e-07,70,1.2638311480779002e-05
71,3.900146379822088e-07,71,1.223600403526299e-05
72,3.906477234392826e-07,72,1.1942593898441244e-05
73,3.6278731840866396e-07,73,1.1868879612718176e-05
74,3.158708149645203e-07,74,1.1541901845443397e-05
75,2.746710379142314e-07,75,1.143846696192798e-05
76,2.9888605825232973e-07,76,9.344844962860016e-06
77,2.9888605825232973e-07,77,9.479957936621628e-06
78,2.9888605825232973e-07,78,1.1096442124523622e-05
79,3.8245354565853125e-07,79,1.086951877888558e-05
80,2.9888605825232973e-07,80,1.0964987333344262e-05
81,3.243505009972329e-07,81,1.1165048558073716e-05
82,2.687416359289533e-07,82,1.1624542269471152e-05
83,2.855427315548046e-07,83,1.1531478841269357e-05
84,2.855427315548046e-07,84,1.2058340546770654e-05
85,2.0482455706119905e-07,85,1.0529648729321447e-05
86,2.0482455706119905e-07,86,1.0918069165199997e-05
87,2.147845553476405e-07,87,1.0879495610944497e-05
88,1.887180880138268e-07,88,1.1157398538281476e-05
89,1.887180880138268e-07,89,1.106347567006846e-05
90,1.887180880138268e-07,90,1.121377239802054e-05
91,1.887180880138268e-07,91,1.0969620104463373e-05
92,1.9191914394208918e-07,92,1.1523714549964228e-05
93,2.408015831179e-07,93,1.213722030765244e-05
94,2.382365583538818e-07,94,1.1646536413374114e-05
95,2.3831476677774586e-07,95,1.1629390038641369e-05
96,2.3410581815954045e-07,96,1.1483756549880906e-05
97,2.4212418533612177e-07,97,1.1708814586849515e-05
98,2.4212418533612177e-07,98,1.203254643249758e-05
99,2.2327672663128133e-07,99,1.2637783454140714e-05
100,1.7108732208725996e-07,100,1.255778132807401e-05
101,1.7108732208725996e-07,101,1.280529210946822e-05
102,2.1589966893640978e-07,102,1.2913718754654318e-05
103,2.074637157940223e-07,103,1.2714909644273575e-05
104,2.2754888310113798e-07,104,1.2677825111495622e-05
105,2.2754888310113798e-07,105,1.2821989701348817e-05
106,2.6108395445589855e-07,106,1.203735876385638e-05
107,2.741855951171601e-07,107,1.2554817366045815e-05
108,2.839125719284701e-07,108,1.22254679938903e-05
109,2.741855951171601e-07,109,1.224999745578056e-05
110,2.741855951171601e-07,110,1.25525093608303e-05
111,2.717242832009756e-07,111,1.271920828977662e-05
112,2.717242832009756e-07,112,1.2811657135054184e-05
113,2.6900072823212084e-07,113,1.2640414362457314e-05
114,2.6046553866113496e-07,114,1.1906414524024251e-05
115,2.3545859509762786e-07,115,1.190086751583814e-05
116,2.469591403756308e-07,116,1.2098941039896869e-05
117,2.490288457985506e-07,117,1.1988797983316804e-05
118,2.8564034896102654e-07,118,1.1967142719575869e-05
119,2.4761722577133174e-07,119,1.1856156886226796e-05
120,2.470826692453037e-07,120,1.224272026385214e-05
121,2.3172190870874534e-07,121,1.1907474150315723e-05
122,2.5246280545486245e-07,122,1.1974501571135729e-05
123,2.4876640379391445e-07,123,1.2125597144014529e-05
124,2.374987165662138e-07,124,1.215622121110625e-05
125,2.175488751683069e-07,125,1.278237004953553e-05
126,2.4155625461779504e-07,126,1.2918124152097984e-05
127,2.324121786451932e-07,127,1.296628215641249e-05
128,2.669576458304489e-07,128,1.36082354791662e-05
129,2.324121786451932e-07,129,1.3601049691455304e-05
130,2.605109606130489e-07,130,1.3523440494671896e-05
131,2.605109606130489e-07,131,1.3912492379729105e-05
132,2.605109606130489e-07,132,1.3413944673499958e-05
133,2.6166609196869625e-07,133,1.3463549878776706e-05
134,2.957810392802328e-07,134,1.3450558071781415e-05
135,2.701361958250865e-07,135,1.3563678424231642e-05
136,2.997051313156719e-07,136,1.3735494966178002e-05
137,2.9453642014232173e-07,137,1.4168749398127795e-05
138,2.9453642014232173e-07,138,1.4310713952779357e-05
139,2.741855951171601e-07,139,1.4081214430916589e-05
140,2.5600363885912104e-07,140,1.4481474993642354e-05
141,2.400141941702064e-07,141,1.392654017503706e-05
142,2.59617540418081e-07,142,1.3340193163458023e-05
143,2.460629064314292e-07,143,1.3533791194017145e-05
144,2.602116881332352e-07,144,1.3524490506305093e-05
145,2.704799767018683e-07,145,1.3042447790212464e-05
146,2.474982352396182e-07,146,1.3150843967326051e-05
147,2.526269327063347e-07,147,1.285186928206323e-05
148,2.434848300124161e-07,148,1.3206170089168671e-05
149,2.2802633127737085e-07,149,1.338483902405382e-05
150,2.5972236983307084e-07,150,1.3560344346582756e-05
151,2.385781284276943e-07,151,1.3392145807042004e-05
152,2.4720715227236466e-07,152,1.323413256873859e-05
153,2.35877312856506e-07,153,1.3899497779285802e-05
154,2.534198070439483e-07,154,1.3615247033677796e-05
155,2.493025894929295e-07,155,1.3893739898256693e-05
156,2.5227503134114417e-07,156,1.3856898833962208e-05
157,2.484872863663311e-07,157,1.3879561265639497e-05
158,2.372155185932051e-07,158,1.3947268338857352e-05
159,2.3371451618459105e-07,159,1.4096841888593707e-05
160,2.0838386762177053e-07,160,1.4215591883320096e-05
161,2.1908073526739305e-07,161,1.4436159939837775e-05
162,2.265695623496608e-07,162,1.484077438362874e-05
163,1.9501802179482705e-07,163,1.5101672878310118e-05
164,1.8376736526144157e-07,164,1.527137380565234e-05
165,1.749852103216654e-07,165,1.562697064270781e-05
166,1.7281503314084796e-07,166,1.548109386411462e-05
167,1.6165029949531477e-07,167,1.5436539927447613e-05
168,1.6108746235334236e-07,168,1.5490223761714462e-05
169,1.6928487868637732e-07,169,1.5053857428678644e-05
170,1.8210366015125606e-07,170,1.494487683625526e-05
171,1.702974198484039e-07,171,1.4680260522124756e-05
172,1.7684958614998844e-07,172,1.457808515884348e-05
173,1.857964235796317e-07,173,1.4525265864254574e-05
174,1.8369316074589346e-07,174,1.458323133972174e-05
175,1.821343391026988e-07,175,1.4362914953380825e-05
176,1.9285591637948786e-07,176,1.4291573669262495e-05
177,1.8381901765808705e-07,177,1.4201042826503649e-05
178,1.8225944892995882e-07,178,1.4219416958180125e-05
179,1.8225944892995882e-07,179,1.422856478581837e-05
180,1.774886685877521e-07,180,1.4210909804595368e-05
181,1.8303053853482458e-07,181,1.4305850917090928e-05
182,1.7119955535755645e-07,182,1.4403868720234772e-05
183,1.7088539802248957e-07,183,1.4300636134326591e-05
184,1.676669794749484e-07,184,1.4022692604547566e-05
185,1.6190970240716398e-07,185,1.4600666613010356e-05
186,1.603922125273779e-07,186,1.486942034846704e-05
187,1.6303526351180158e-07,187,1.515470366289914e-05
188,1.708109841505997e-07,188,1.5102097677299753e-05
189,1.6981721984166145e-07,189,1.511383067866388e-05
190,1.7649170455261555e-07,190,1.527741525413668e-05
191,1.6827472900818717e-07,191,1.5630686123456273e-05
192,1.610589553787837e-07,192,1.559717670066415e-05
193,1.673328589341899e-07,193,1.618883093864757e-05
194,1.6262217883422636e-07,194,1.6057080756581854e-05
195,1.6196287942550826e-07,195,1.635168337088544e-05
196,1.552807157777027e-07,196,1.6528857226408684e-05
197,1.4159843380363262e-07,197,1.678768941409154e-05
198,1.4973572604048968e-07,198,1.684044270535066e-05
199,1.574237674820519e-07,199,1.724549682486603e-05
200,1.5046584803509892e-07,200,1.717240684229182e-05
201,1.5131137079801458e-07,201,1.7403905336063224e-05
202,1.5840107841264788e-07,202,1.7252604915743825e-05
203,1.54018965961963e-07,203,1.7399136205702754e-05
204,1.6677371052407714e-07,204,1.7172354091599118e-05
205,1.694995229887095e-07,205,1.703818582297702e-05
206,1.6635017883816418e-07,206,1.6495804110101225e-05
207,1.645068619739375e-07,207,1.6560947967393857e-05
208,1.593939081041234e-07,208,1.668573090033273e-05
209,1.59283086783749e-07,209,1.6694759324309416e-05
210,1.5474491630941758e-07,210,1.6775643806405632e-05
211,1.542490011274822e-07,211,1.6821837432092123e-05
212,1.5088703264609649e-07,212,1.6952994493684465e-05
213,1.5086176473135184e-07,213,1.696753783367707e-05
214,1.458508919987318e-07,214,1.6826829648510155e-05
215,1.4492828292229328e-07,215,1.6952332641397205e-05
216,1.3112270888119125e-07,216,1.708673101217885e-05
217,1.4315259530154177e-07,217,1.706229198004751e-05
218,1.4233349787673433e-07,218,1.7072097502282952e-05
219,1.4455046125151837e-07,219,1.7121462795850156e-05
220,1.5742627620543968e-07,220,1.7122079433257958e-05
221,1.584410997322396e-07,221,1.7427829464265544e-05
222,1.5414778228465105e-07,222,1.7335974916932173e-05
223,1.572606781305045e-07,223,1.7770036980177144e-05
224,1.5289460719714048e-07,224,1.806406141570603e-05
225,1.4942493109515453e-07,225,1.814489847414994e-05
226,1.399873923446649e-07,226,1.8337262580254385e-05
227,1.505976499061035e-07,227,1.8327870878108244e-05
228,1.5197785074860806e-07,228,1.832518916801616e-05
229,1.5305006988748054e-07,229,1.83889738504409e-05
230,1.4946705054593885e-07,230,1.8624350299692844e-05
231,1.440393742058177e-07,231,1.8848136928032284e-05
232,1.5266277943380505e-07,232,1.888341856621472e-05
233,1.560868813247193e-07,233,1.883353382124499e-05
234,1.5141715589298397e-07,234,1.898876014040849e-05
235,1.568762054863068e-07,235,1.910775297022025e-05
236,1.6679890687701774e-07,236,1.9456927215547432e-05
