ngram,Flowchart
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,3.4010521383314493e-09
1767,3.4010521383314493e-09
1768,3.4010521383314493e-09
1769,3.4010521383314493e-09
1770,3.4010521383314493e-09
1771,3.4010521383314493e-09
1772,3.4010521383314493e-09
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,2.809255368012893e-10
1824,2.809255368012893e-10
1825,2.809255368012893e-10
1826,2.809255368012893e-10
1827,2.809255368012893e-10
1828,2.809255368012893e-10
1829,2.809255368012893e-10
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,1.0500349796010206e-10
1856,1.0500349796010206e-10
1857,1.0500349796010206e-10
1858,1.0500349796010206e-10
1859,1.6593288647876696e-10
1860,1.6593288647876696e-10
1861,1.6593288647876696e-10
1862,6.09293885186649e-11
1863,6.09293885186649e-11
1864,6.09293885186649e-11
1865,6.09293885186649e-11
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,7.948142937459174e-11
1875,7.948142937459174e-11
1876,7.948142937459174e-11
1877,7.948142937459174e-11
1878,7.948142937459174e-11
1879,1.1439524327805373e-10
1880,1.1439524327805373e-10
1881,3.4913813903461997e-11
1882,3.4913813903461997e-11
1883,3.4913813903461997e-11
1884,3.4913813903461997e-11
1885,9.29603695608096e-11
1886,5.80465556573476e-11
1887,5.80465556573476e-11
1888,5.80465556573476e-11
1889,5.80465556573476e-11
1890,5.80465556573476e-11
1891,5.80465556573476e-11
1892,2.247158213476906e-11
1893,2.247158213476906e-11
1894,2.247158213476906e-11
1895,2.247158213476906e-11
1896,4.185200797035549e-11
1897,4.3196385555800884e-10
1898,4.3196385555800884e-10
1899,4.6413399314358475e-10
1900,4.6413399314358475e-10
1901,4.6413399314358475e-10
1902,4.6413399314358475e-10
1903,4.447535673079983e-10
1904,5.4641719720344946e-11
1905,5.4641719720344946e-11
1906,1.5514986121242405e-11
1907,1.5514986121242405e-11
1908,1.5514986121242405e-11
1909,1.5514986121242405e-11
1910,2.9288875888092545e-11
1911,2.9288875888092545e-11
1912,2.9288875888092545e-11
1913,2.807180876640558e-11
1914,2.807180876640558e-11
1915,5.994925389440908e-11
1916,1.0510483951429807e-10
1917,1.4719388703930492e-10
1918,1.4719388703930492e-10
1919,1.4719388703930492e-10
1920,1.328959680397495e-10
1921,1.328959680397495e-10
1922,5.11590543737585e-10
1923,4.66434958117696e-10
1924,4.10572020825839e-10
1925,4.10572020825839e-10
1926,4.10572020825839e-10
1927,4.787871527816329e-10
1928,5.244061256665893e-10
1929,2.1497729390291502e-10
1930,3.511142527517259e-10
1931,4.560462919998644e-10
1932,6.215490146375759e-10
1933,6.447161733052248e-10
1934,5.765010413494309e-10
1935,5.53104401565133e-10
1936,5.566483762026969e-10
1937,4.653962512987267e-10
1938,4.4747321522756577e-10
1939,3.0686451792303973e-10
1940,3.09490621622618e-10
1941,3.370691920023816e-10
1942,3.89570998476125e-10
1943,4.779637677706664e-10
1944,1.874899438084451e-09
1945,1.8066598554490808e-09
1946,1.9637949837709404e-09
1947,1.971115673460311e-09
1948,1.943537103080547e-09
1949,1.885819125857502e-09
1950,1.7942590488769942e-09
1951,5.179295306126771e-10
1952,7.030514424601262e-10
1953,8.66185488414471e-10
1954,1.0798427905824225e-09
1955,1.2392795559598317e-09
1956,2.0707577240232565e-09
1957,2.912273549300031e-09
1958,5.960270705556476e-09
1959,9.551142987618277e-09
1960,1.1990587126372735e-08
1961,1.4051207483259783e-08
1962,2.208378083575927e-08
1963,2.4374818925159454e-08
1964,3.3108584572362684e-08
1965,3.832231446462434e-08
1966,4.383062091051215e-08
1967,5.2393736333604986e-08
1968,6.272462930009429e-08
1969,6.917391967168182e-08
1970,8.526593069697291e-08
1971,9.398322932595096e-08
1972,1.0676420154303351e-07
1973,1.149350542358921e-07
1974,1.2272581630311053e-07
1975,1.341403087654466e-07
1976,1.4823728682651044e-07
1977,1.5647213201321263e-07
1978,1.644509219594121e-07
1979,1.6704063909855904e-07
1980,1.760551932810423e-07
1981,1.8988506716206238e-07
1982,1.948334694848849e-07
1983,1.9492795136752e-07
1984,1.95459983436714e-07
1985,1.922506019777107e-07
1986,1.9375182245896993e-07
1987,1.934380934796666e-07
1988,1.8456331523403996e-07
1989,1.7951602972386483e-07
1990,1.7247980110823846e-07
1991,1.752649824636267e-07
1992,1.784797620172997e-07
1993,1.7649835472509169e-07
1994,1.7305854831712558e-07
1995,1.744751715802652e-07
1996,1.7447532789966707e-07
1997,1.7766776189936146e-07
1998,1.7111621072477386e-07
1999,1.7145282324041285e-07
2000,1.7347415694400426e-07
2001,1.7987562931206673e-07
2002,1.8337172085531555e-07
2003,1.858789155611313e-07
2004,1.8990254245311788e-07
2005,1.9398154701580746e-07
2006,1.9935037747537925e-07
2007,2.0865097992230274e-07
2008,2.1750980749857263e-07
2009,2.2207877188001085e-07
2010,2.2720602999015682e-07
2011,2.2644242392289016e-07
2012,2.303040206795361e-07
2013,2.3652291198621761e-07
2014,2.425244117278323e-07
2015,2.4521576083965814e-07
2016,2.602251275415516e-07
2017,2.6674272864587084e-07
2018,2.805426930763133e-07
2019,2.9437624249339933e-07
