ngram,Java,Ja,Jva,Java
1500,0.0,1.5744651307159074e-06,0.0,0.0
1501,0.0,1.259572104572726e-06,0.0,0.0
1502,0.0,1.0496434204772716e-06,0.0,0.0
1503,0.0,8.996943604090899e-07,0.0,0.0
1504,0.0,2.313893381662118e-07,0.0,0.0
1505,0.0,3.156638480764481e-07,0.0,0.0
1506,0.0,3.156638480764481e-07,0.0,0.0
1507,0.0,3.156638480764481e-07,0.0,0.0
1508,0.0,3.156638480764481e-07,0.0,0.0
1509,0.0,3.156638480764481e-07,0.0,0.0
1510,0.0,3.156638480764481e-07,0.0,0.0
1511,0.0,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,5.958227770211774e-07,0.0,0.0,5.958227770211774e-07
1521,5.958227770211774e-07,0.0,0.0,5.958227770211774e-07
1522,4.185466013950645e-05,0.0,0.0,4.185466013950645e-05
1523,4.185466013950645e-05,0.0,0.0,4.185466013950645e-05
1524,4.185466013950645e-05,2.064678093509948e-06,0.0,4.185466013950645e-05
1525,4.185466013950645e-05,2.064678093509948e-06,0.0,4.185466013950645e-05
1526,4.185466013950645e-05,2.064678093509948e-06,0.0,4.185466013950645e-05
1527,4.125883736248527e-05,2.064678093509948e-06,0.0,4.125883736248527e-05
1528,4.125883736248527e-05,2.064678093509948e-06,0.0,4.125883736248527e-05
1529,0.0,2.064678093509948e-06,0.0,0.0
1530,0.0,2.064678093509948e-06,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,1.4044706923803979e-06,0.0,0.0
1535,0.0,1.4044706923803979e-06,0.0,0.0
1536,0.0,1.4044706923803979e-06,0.0,0.0
1537,0.0,1.4044706923803979e-06,0.0,0.0
1538,0.0,1.4044706923803979e-06,0.0,0.0
1539,0.0,1.4044706923803979e-06,0.0,0.0
1540,0.0,1.4044706923803979e-06,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,1.5046463366681046e-06,0.0,0.0
1543,0.0,1.5046463366681046e-06,0.0,0.0
1544,0.0,1.5046463366681046e-06,0.0,0.0
1545,0.0,1.7725664390257277e-06,0.0,0.0
1546,0.0,1.7725664390257277e-06,0.0,0.0
1547,0.0,1.7725664390257277e-06,0.0,0.0
1548,0.0,1.7725664390257277e-06,0.0,0.0
1549,0.0,2.679201023576232e-07,0.0,0.0
1550,0.0,2.679201023576232e-07,0.0,0.0
1551,0.0,2.6291172454356067e-06,0.0,0.0
1552,0.0,2.361197143077983e-06,0.0,0.0
1553,0.0,2.361197143077983e-06,0.0,0.0
1554,0.0,2.361197143077983e-06,0.0,0.0
1555,0.0,2.361197143077983e-06,0.0,0.0
1556,0.0,4.442949700335573e-06,0.0,0.0
1557,0.0,2.313296603720768e-05,0.0,0.0
1558,6.820486565369979e-07,2.07717688941297e-05,0.0,6.820486565369979e-07
1559,6.820486565369979e-07,2.07717688941297e-05,0.0,6.820486565369979e-07
1560,6.820486565369979e-07,2.166914938633064e-05,0.0,6.820486565369979e-07
1561,6.820486565369979e-07,2.166914938633064e-05,0.0,6.820486565369979e-07
1562,6.820486565369979e-07,2.166914938633064e-05,0.0,6.820486565369979e-07
1563,6.820486565369979e-07,1.958739682907305e-05,0.0,6.820486565369979e-07
1564,6.820486565369979e-07,8.973804922009419e-07,0.0,6.820486565369979e-07
1565,0.0,4.944583062232206e-06,0.0,0.0
1566,0.0,4.944583062232206e-06,0.0,0.0
1567,1.3647946356546266e-06,5.411997205685891e-06,0.0,1.3647946356546266e-06
1568,1.3647946356546266e-06,5.411997205685891e-06,0.0,1.3647946356546266e-06
1569,1.3647946356546266e-06,5.411997205685891e-06,0.0,1.3647946356546266e-06
1570,1.3647946356546266e-06,5.411997205685891e-06,0.0,1.3647946356546266e-06
1571,1.3647946356546266e-06,5.411997205685891e-06,0.0,1.3647946356546266e-06
1572,1.3647946356546266e-06,1.3647946356546266e-06,0.0,1.3647946356546266e-06
1573,1.3647946356546266e-06,1.3647946356546266e-06,0.0,1.3647946356546266e-06
1574,0.0,0.0,0.0,0.0
1575,0.0,2.5145592579584834e-06,0.0,0.0
1576,0.0,2.9652397058401092e-06,0.0,0.0
1577,0.0,2.9652397058401092e-06,0.0,0.0
1578,4.81826223871654e-07,2.9652397058401092e-06,0.0,4.81826223871654e-07
1579,4.81826223871654e-07,4.258749316120104e-06,0.0,4.81826223871654e-07
1580,4.81826223871654e-07,4.258749316120104e-06,0.0,4.81826223871654e-07
1581,4.81826223871654e-07,4.852056690651807e-06,0.0,4.81826223871654e-07
1582,4.81826223871654e-07,2.3374974326933236e-06,0.0,4.81826223871654e-07
1583,4.81826223871654e-07,1.886816984811698e-06,0.0,4.81826223871654e-07
1584,4.81826223871654e-07,1.886816984811698e-06,0.0,4.81826223871654e-07
1585,0.0,2.641689336867005e-06,0.0,0.0
1586,7.188938460395937e-07,2.0670735726266036e-06,0.0,7.188938460395937e-07
1587,7.188938460395937e-07,2.0670735726266036e-06,0.0,7.188938460395937e-07
1588,7.188938460395937e-07,2.1432720131997485e-06,0.0,7.188938460395937e-07
1589,7.188938460395937e-07,2.1432720131997485e-06,0.0,7.188938460395937e-07
1590,7.188938460395937e-07,2.1432720131997485e-06,0.0,7.188938460395937e-07
1591,7.188938460395937e-07,2.409805477197681e-06,0.0,7.188938460395937e-07
1592,7.188938460395937e-07,2.2519049187914268e-06,0.0,7.188938460395937e-07
1593,0.0,1.5330110727518331e-06,0.0,0.0
1594,0.0,1.5330110727518331e-06,0.0,0.0
1595,0.0,8.635052576469857e-07,0.0,0.0
1596,0.0,1.073923483220694e-06,0.0,0.0
1597,0.0,1.073923483220694e-06,0.0,0.0
1598,2.654034980358639e-07,8.073900192227614e-07,0.0,2.654034980358639e-07
1599,2.654034980358639e-07,7.999739994245049e-07,0.0,2.654034980358639e-07
1600,2.654034980358639e-07,9.06480084138041e-07,0.0,2.654034980358639e-07
