ngram,Planking
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,2.687416359289533e-07
1662,2.687416359289533e-07
1663,2.687416359289533e-07
1664,2.687416359289533e-07
1665,2.687416359289533e-07
1666,2.687416359289533e-07
1667,2.687416359289533e-07
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,3.135119389493671e-08
1694,3.135119389493671e-08
1695,3.135119389493671e-08
1696,4.709713964855057e-08
1697,4.709713964855057e-08
1698,4.709713964855057e-08
1699,4.709713964855057e-08
1700,2.874379845252406e-08
1701,2.874379845252406e-08
1702,2.874379845252406e-08
1703,1.29978526989102e-08
1704,3.898315169083487e-08
1705,3.898315169083487e-08
1706,3.898315169083487e-08
1707,2.5985298991924666e-08
1708,2.5985298991924666e-08
1709,2.5985298991924666e-08
1710,2.5985298991924666e-08
1711,0.0
1712,0.0
1713,0.0
1714,9.571610551769742e-09
1715,9.571610551769742e-09
1716,1.8426568715312897e-08
1717,2.6067974191944032e-08
1718,2.6067974191944032e-08
1719,3.923771631418406e-08
1720,3.923771631418406e-08
1721,2.966610576241432e-08
1722,2.966610576241432e-08
1723,7.638773372572619e-08
1724,6.874632824909505e-08
1725,6.874632824909505e-08
1726,9.390157223216583e-08
1727,9.390157223216583e-08
1728,9.390157223216583e-08
1729,9.390157223216583e-08
1730,7.105793794640444e-08
1731,7.105793794640444e-08
1732,7.105793794640444e-08
1733,3.273295184109364e-08
1734,3.7894683454656585e-08
1735,3.7894683454656585e-08
1736,6.545630932513242e-08
1737,3.272335748403878e-08
1738,3.272335748403878e-08
1739,3.272335748403878e-08
1740,4.0210636090673036e-08
1741,3.5048904477110095e-08
1742,3.5048904477110095e-08
1743,7.48727860663426e-09
1744,7.48727860663426e-09
1745,1.3798854630359919e-08
1746,1.3798854630359919e-08
1747,6.311576023725658e-09
1748,2.8149966928887286e-08
1749,2.8149966928887286e-08
1750,2.8149966928887286e-08
1751,2.8149966928887286e-08
1752,2.183839090516163e-08
1753,2.183839090516163e-08
1754,2.183839090516163e-08
1755,7.70661553620552e-09
1756,1.0742086077795778e-08
1757,1.0742086077795778e-08
1758,1.0742086077795778e-08
1759,1.0742086077795778e-08
1760,1.0742086077795778e-08
1761,1.0742086077795778e-08
1762,3.035470541590257e-09
1763,2.8386745652499356e-09
1764,2.8386745652499356e-09
1765,2.8386745652499356e-09
1766,2.8386745652499356e-09
1767,2.8386745652499356e-09
1768,2.8386745652499356e-09
1769,2.8386745652499356e-09
1770,1.1531686335989174e-08
1771,1.4164330153221272e-08
1772,1.4164330153221272e-08
1773,1.4164330153221272e-08
1774,1.4164330153221272e-08
1775,1.4164330153221272e-08
1776,1.4164330153221272e-08
1777,2.6326438172320975e-09
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,2.6131041457639573e-09
1789,2.6131041457639573e-09
1790,2.6131041457639573e-09
1791,2.6131041457639573e-09
1792,3.7013661976662402e-09
1793,5.673410439856395e-09
1794,9.665352708663834e-09
1795,7.0522485628998766e-09
1796,7.0522485628998766e-09
1797,7.61917221378131e-09
1798,8.197828891910928e-09
1799,7.710336432812222e-09
1800,8.208275773366073e-09
1801,4.216333504558634e-09
1802,9.425855207467748e-09
1803,1.1882854890542051e-08
1804,1.1621008790184208e-08
1805,1.104235211205459e-08
1806,1.0958682723176999e-08
1807,9.116362839226407e-09
1808,9.587089217737749e-09
1809,8.538838207934013e-09
1810,8.261214950217827e-09
1811,8.659289222176118e-09
1812,9.136705741192536e-09
1813,8.619605537266547e-09
1814,8.4098581114895e-09
1815,8.325413152527566e-09
1816,4.3543151782645035e-09
1817,2.860329037116368e-09
1818,3.41042132629659e-09
1819,5.938953567025911e-09
1820,6.233747438878976e-09
1821,6.2014939374220395e-09
1822,9.18397277275115e-09
1823,9.555651127511413e-09
1824,9.809100960061251e-09
1825,9.18894084632273e-09
1826,6.656985058433358e-09
1827,7.30332661014188e-09
1828,9.234579260005863e-09
1829,6.849658935286535e-09
1830,7.3361578399401745e-09
1831,6.861791008410429e-09
1832,7.931696252175665e-09
1833,9.27222501953143e-09
1834,9.992293468842815e-09
1835,1.2367248558575739e-08
1836,1.2284142782346765e-08
1837,1.4410890576093444e-08
1838,1.5854561029117675e-08
1839,1.589454479145047e-08
1840,1.521381249552129e-08
1841,1.5442004183289067e-08
1842,1.3061120375722015e-08
1843,1.412762211978296e-08
1844,1.5360192990548123e-08
1845,1.64552936356342e-08
1846,1.745158164011075e-08
1847,1.868140524814115e-08
1848,2.0838897718533644e-08
1849,2.234341816326995e-08
1850,2.393642541319098e-08
1851,2.9510904704060133e-08
1852,3.176606381113548e-08
1853,3.404577419985344e-08
1854,3.587381566408762e-08
1855,3.4767025575937234e-08
1856,3.766085728987686e-08
1857,3.862523152114201e-08
1858,3.054399958354484e-08
1859,2.8332065582503674e-08
1860,2.8070720351333226e-08
1861,2.8623946895273937e-08
1862,3.064277492066074e-08
1863,2.8277583195647693e-08
1864,3.1900421859631933e-08
1865,3.482019980286363e-08
1866,3.526866037313019e-08
1867,3.236916982071339e-08
1868,3.098516605198094e-08
1869,3.133074866212837e-08
1870,3.066117353662483e-08
1871,2.5597498343188363e-08
1872,2.7329078301972587e-08
1873,2.9919513850578435e-08
1874,3.38635225257836e-08
1875,3.455426319679386e-08
1876,3.1741333624982615e-08
1877,3.2750285784897774e-08
1878,3.383932118643835e-08
1879,3.1895670612617066e-08
1880,3.297960203342752e-08
1881,3.396406051641472e-08
1882,3.4028459034678756e-08
1883,3.407456767539381e-08
1884,3.2503155976217254e-08
1885,3.372866938125948e-08
1886,3.9024359109264747e-08
1887,3.5143504360592356e-08
1888,3.454055251341158e-08
1889,3.602510746856881e-08
1890,3.576403198987269e-08
1891,3.6799937827173123e-08
1892,3.477234551090598e-08
1893,2.657459636472887e-08
1894,2.8367261936271656e-08
1895,2.7116502186532087e-08
1896,2.5062548734768242e-08
1897,2.7281511526057656e-08
1898,2.6524668810574374e-08
1899,2.7853119556807216e-08
1900,3.060999479284224e-08
1901,2.9521734897944692e-08
1902,3.287084154075208e-08
1903,3.3420583887634944e-08
1904,3.406162082545247e-08
1905,3.6479499548087395e-08
1906,3.6543412359638494e-08
1907,3.755913827571281e-08
1908,3.849336925400491e-08
1909,3.546193611774535e-08
1910,3.892744108010707e-08
1911,4.379902865788868e-08
1912,4.470694849244085e-08
1913,4.549143994836413e-08
1914,4.7218204457522006e-08
1915,5.202968519516357e-08
1916,5.609622379308478e-08
1917,5.635516992746099e-08
1918,5.198402419637205e-08
1919,5.124766947314388e-08
1920,5.1106062873681624e-08
1921,4.834176741448053e-08
1922,4.3723282264604025e-08
1923,3.9046779777761135e-08
1924,3.689176354880276e-08
1925,3.5326625688217716e-08
1926,3.8102578616060005e-08
1927,3.7949158228554684e-08
1928,3.790975508114311e-08
1929,3.655726439027214e-08
1930,3.6926504013276174e-08
1931,3.4828398197207985e-08
1932,3.475219096620614e-08
1933,2.954019378315869e-08
1934,2.8241974346445075e-08
1935,2.8706434308998852e-08
1936,2.9754459975249248e-08
1937,2.9637066642099593e-08
1938,3.124641294911206e-08
1939,3.332484637447968e-08
1940,3.617700018919225e-08
1941,3.680069683907407e-08
1942,3.676616699976876e-08
1943,3.636994248625212e-08
1944,3.599267017762031e-08
1945,3.730985399995136e-08
1946,3.5190708759712056e-08
1947,3.237028651475222e-08
1948,3.285384383592113e-08
1949,3.186507540371102e-08
1950,3.306312201800665e-08
1951,3.3744364001466106e-08
1952,3.2425847911505505e-08
1953,3.4668099756020506e-08
1954,3.5461095900960315e-08
1955,3.64001161910567e-08
1956,3.678567723446642e-08
1957,3.398460890480237e-08
1958,3.234683276787109e-08
1959,3.048025349577139e-08
1960,2.80311075938146e-08
1961,2.5676551551612192e-08
1962,2.2083545785684626e-08
1963,2.0439498601579738e-08
1964,1.961065684444715e-08
1965,1.8141190518049044e-08
1966,1.7232574859146358e-08
1967,1.6049429087315403e-08
1968,1.634623966343237e-08
1969,1.666759860289143e-08
1970,1.647676814034834e-08
1971,1.711186037312018e-08
1972,1.8161741824737225e-08
1973,2.0185429201140844e-08
1974,2.068393329628699e-08
1975,2.1835132559187642e-08
1976,2.1854618686185338e-08
1977,2.388309512062798e-08
1978,2.4793730497257068e-08
1979,2.5173969321810674e-08
1980,2.4229324832195483e-08
1981,2.3988889097381616e-08
1982,2.3209093567645922e-08
1983,2.2740605842841433e-08
1984,2.2537293935848927e-08
1985,2.230278311239025e-08
1986,2.1609087598660282e-08
1987,2.0637336664971632e-08
1988,2.0871063100003084e-08
1989,2.0117185377850026e-08
1990,2.034041938056167e-08
1991,1.905764181385296e-08
1992,1.785211534155451e-08
1993,1.7628825510485058e-08
1994,1.7280064236656145e-08
1995,1.6612099505510158e-08
1996,1.692654207273238e-08
1997,1.637344203077516e-08
1998,1.5360982200515342e-08
1999,1.539368213851081e-08
2000,1.4671032388946514e-08
2001,1.5057499628109587e-08
2002,1.4638971812530599e-08
2003,1.4360696124323828e-08
2004,1.4237440052308362e-08
2005,1.3635082777138256e-08
2006,1.3058289180126588e-08
2007,1.3760234221901361e-08
2008,1.3077187840540968e-08
2009,1.2409613781017015e-08
2010,1.1541527606644714e-08
2011,1.1307020209017082e-08
2012,1.1245580720599589e-08
2013,1.1162642746650623e-08
2014,9.812430994721971e-09
2015,8.9111997780833e-09
2016,8.422117733378594e-09
2017,8.545779195401337e-09
2018,8.02565587321169e-09
2019,7.826708614544486e-09
