ngram,Platform,Platorm
1500,0.0,0.0
1501,0.0,0.0
1502,0.0,0.0
1503,0.0,0.0
1504,0.0,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,0.0,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,8.301111457902672e-07,0.0
1540,8.301111457902672e-07,0.0
1541,8.301111457902672e-07,0.0
1542,5.344050285722395e-06,0.0
1543,5.344050285722395e-06,0.0
1544,5.344050285722395e-06,0.0
1545,5.344050285722395e-06,0.0
1546,4.513939139932128e-06,0.0
1547,4.513939139932128e-06,0.0
1548,4.513939139932128e-06,0.0
1549,0.0,0.0
1550,0.0,0.0
1551,0.0,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,0.0,0.0
1580,0.0,0.0
1581,0.0,0.0
1582,0.0,0.0
1583,0.0,0.0
1584,0.0,0.0
1585,0.0,0.0
1586,0.0,0.0
1587,0.0,0.0
1588,0.0,0.0
1589,0.0,0.0
1590,0.0,0.0
1591,0.0,0.0
1592,0.0,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,0.0,0.0
1598,0.0,0.0
1599,0.0,0.0
1600,0.0,0.0
1601,0.0,0.0
1602,0.0,0.0
1603,0.0,0.0
1604,0.0,0.0
1605,0.0,0.0
1606,0.0,0.0
1607,0.0,0.0
1608,0.0,0.0
1609,0.0,0.0
1610,0.0,0.0
1611,0.0,0.0
1612,0.0,0.0
1613,0.0,0.0
1614,0.0,0.0
1615,3.809432525615973e-07,0.0
1616,3.809432525615973e-07,0.0
1617,3.809432525615973e-07,0.0
1618,3.809432525615973e-07,0.0
1619,3.809432525615973e-07,0.0
1620,3.809432525615973e-07,0.0
1621,3.809432525615973e-07,0.0
1622,0.0,0.0
1623,0.0,0.0
1624,0.0,0.0
1625,0.0,0.0
1626,0.0,0.0
1627,0.0,0.0
1628,0.0,0.0
1629,3.301173754672553e-07,0.0
1630,3.301173754672553e-07,0.0
1631,3.301173754672553e-07,0.0
1632,3.301173754672553e-07,0.0
1633,3.301173754672553e-07,0.0
1634,3.301173754672553e-07,0.0
1635,9.063553534360835e-07,0.0
1636,1.3578376508251364e-06,0.0
1637,1.3578376508251364e-06,0.0
1638,1.4251726879267932e-06,0.0
1639,1.5809131476934063e-06,0.0
1640,1.5809131476934063e-06,0.0
1641,1.5809131476934063e-06,0.0
1642,1.4364745075973978e-06,0.0
1643,7.451972814059056e-07,0.0
1644,9.285202143668617e-07,0.0
1645,8.611851772652049e-07,0.0
1646,7.054447174985918e-07,0.0
1647,7.054447174985918e-07,0.0
1648,7.054447174985918e-07,0.0
1649,7.430120133124416e-07,0.0
1650,1.0040506595032639e-06,0.0
1651,1.078728213802346e-06,0.0
1652,1.2457423963496694e-06,0.0
1653,1.3211181746035955e-06,0.0
1654,1.404084546915588e-06,0.0
1655,1.4621875915768863e-06,0.0
1656,1.4005869307506406e-06,0.0
1657,1.1048347029632817e-06,0.0
1658,8.468342157032436e-07,0.0
1659,7.441544036217757e-07,0.0
1660,1.0696526422699598e-06,0.0
