ngram,Replication,Replicaton
1500,0.0,0.0
1501,0.0,0.0
1502,1.405686816724483e-06,0.0
1503,1.2048744143352711e-06,0.0
1504,1.2048744143352711e-06,0.0
1505,1.2048744143352711e-06,0.0
1506,1.2048744143352711e-06,0.0
1507,1.2048744143352711e-06,0.0
1508,1.2048744143352711e-06,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,0.0,0.0
1524,0.0,0.0
1525,0.0,0.0
1526,0.0,0.0
1527,0.0,0.0
1528,0.0,0.0
1529,0.0,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,0.0,0.0
1536,0.0,0.0
1537,0.0,0.0
1538,0.0,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,1.391049246584381e-07,0.0
1545,1.391049246584381e-07,0.0
1546,1.391049246584381e-07,0.0
1547,1.391049246584381e-07,0.0
1548,1.391049246584381e-07,0.0
1549,1.391049246584381e-07,0.0
1550,1.391049246584381e-07,0.0
1551,0.0,0.0
1552,0.0,0.0
1553,0.0,0.0
1554,0.0,0.0
1555,0.0,0.0
1556,0.0,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,1.2572796289792417e-06,0.0
1576,1.2572796289792417e-06,0.0
1577,1.2572796289792417e-06,0.0
1578,1.2572796289792417e-06,0.0
1579,1.2572796289792417e-06,0.0
1580,1.2572796289792417e-06,0.0
1581,1.2572796289792417e-06,0.0
1582,0.0,0.0
1583,0.0,0.0
1584,0.0,0.0
1585,0.0,0.0
1586,0.0,0.0
1587,0.0,0.0
1588,0.0,0.0
1589,0.0,0.0
1590,0.0,0.0
1591,0.0,0.0
1592,0.0,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,0.0,0.0
1597,0.0,0.0
1598,1.1058478516393474e-06,0.0
1599,1.1058478516393474e-06,0.0
1600,1.1058478516393474e-06,0.0
1601,1.1058478516393474e-06,0.0
1602,1.1058478516393474e-06,0.0
1603,1.1058478516393474e-06,0.0
1604,1.1058478516393474e-06,0.0
1605,0.0,0.0
1606,0.0,0.0
1607,0.0,0.0
1608,0.0,0.0
1609,0.0,0.0
1610,0.0,0.0
1611,1.0241227853059951e-07,0.0
1612,3.7141300676272036e-07,0.0
1613,3.7141300676272036e-07,0.0
1614,3.7141300676272036e-07,0.0
1615,3.7141300676272036e-07,0.0
1616,3.7141300676272036e-07,0.0
1617,3.7141300676272036e-07,0.0
1618,2.6900072823212084e-07,0.0
1619,0.0,0.0
1620,0.0,0.0
1621,0.0,0.0
1622,0.0,0.0
1623,0.0,0.0
1624,0.0,0.0
1625,0.0,0.0
1626,0.0,0.0
1627,3.1954268056974146e-07,0.0
1628,3.1954268056974146e-07,0.0
1629,3.1954268056974146e-07,0.0
1630,4.057916791160616e-07,0.0
1631,4.057916791160616e-07,0.0
1632,5.890439475868854e-07,0.0
1633,5.890439475868854e-07,0.0
1634,2.6950126701714386e-07,0.0
1635,2.6950126701714386e-07,0.0
1636,2.6950126701714386e-07,0.0
1637,1.8325226847082376e-07,0.0
1638,1.8325226847082376e-07,0.0
1639,7.787022988330656e-08,0.0
1640,7.787022988330656e-08,0.0
1641,7.787022988330656e-08,0.0
1642,7.787022988330656e-08,0.0
1643,7.787022988330656e-08,0.0
1644,8.111619617271312e-07,0.0
1645,8.111619617271312e-07,0.0
1646,7.332917318438246e-07,0.0
1647,8.373372842080633e-07,0.0
1648,1.6167743085913701e-06,0.0
1649,1.6950020835793111e-06,0.0
1650,1.7828423567932208e-06,0.0
