ngram,Ubuntu
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,3.715351042694286e-11
1898,3.715351042694286e-11
1899,3.715351042694286e-11
1900,3.715351042694286e-11
1901,3.715351042694286e-11
1902,3.715351042694286e-11
1903,3.715351042694286e-11
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,2.876047812603945e-11
1919,2.876047812603945e-11
1920,2.876047812603945e-11
1921,8.498369468463401e-11
1922,6.404634838348094e-10
1923,7.386772622146915e-10
1924,7.875203227631594e-10
1925,7.587598446371199e-10
1926,7.816828077679614e-10
1927,8.95374704934504e-10
1928,8.391514883759094e-10
1929,2.8367169922573407e-10
1930,2.399127067644256e-10
1931,1.910696462159578e-10
1932,1.910696462159578e-10
1933,2.1448100042041419e-10
1934,1.9066060238540469e-10
1935,2.1288293548606318e-10
1936,2.3382036782950063e-10
1937,1.7936558191092696e-10
1938,1.7936558191092696e-10
1939,2.789416832436688e-10
1940,2.3260736590837083e-10
1941,1.427358667768378e-10
1942,1.205135336761793e-10
1943,9.957610133274183e-11
1944,1.5649006693660032e-10
1945,2.1279832657888116e-10
1946,1.9596274603017605e-10
1947,2.78747628154211e-10
1948,2.9584762814164177e-10
1949,3.128537904929983e-10
1950,5.497334492383337e-10
1951,5.093685820356519e-10
1952,6.726356168480179e-10
1953,6.840305177438896e-10
1954,6.738254190730153e-10
1955,6.567254190855845e-10
1956,7.070592871115191e-10
1957,4.95667079801278e-10
1958,4.791179814001012e-10
1959,2.7083662594375365e-10
1960,1.7670120426384527e-10
1961,1.1537698970823636e-10
1962,1.357805019213438e-10
1963,7.834432804879451e-11
1964,1.1581004706804978e-10
1965,1.1581004706804978e-10
1966,1.3968839378859192e-10
1967,1.662224306610481e-10
1968,1.9924957021601386e-10
1969,2.4168425693289157e-10
1970,2.843974539994727e-10
1971,2.9305148783821874e-10
1972,3.7131049029121803e-10
1973,3.9391688323929333e-10
1974,4.1626786541547137e-10
1975,5.098466569565727e-10
1976,5.112999071751493e-10
1977,6.352638891117732e-10
1978,6.778956840314265e-10
1979,6.890413874392567e-10
1980,7.331414681693055e-10
1981,7.987034248265904e-10
1982,9.202442498499965e-10
1983,1.3741282080457852e-09
1984,2.3662915119412477e-09
1985,2.5341814361265082e-09
1986,2.7211189174940794e-09
1987,2.987050860627148e-09
1988,3.246900002830598e-09
1989,3.286838198438399e-09
1990,3.301259741763017e-09
1991,2.953673972072579e-09
1992,4.014000084698718e-09
1993,7.98251379282736e-09
1994,1.090528689573489e-08
1995,1.636882867345995e-08
1996,2.1419919615794925e-08
1997,2.486231696709394e-08
1998,2.9524278640938713e-08
1999,3.5839444174306275e-08
2000,3.701029222773806e-08
2001,4.1919078747858814e-08
2002,4.951873070321458e-08
2003,9.895287383138956e-08
2004,1.7596485030984305e-07
2005,2.864834835390541e-07
2006,5.067778308744307e-07
2007,6.927067869152584e-07
2008,8.315518077292186e-07
2009,9.191429545093602e-07
2010,9.311216371900497e-07
2011,9.672623418412383e-07
2012,9.609679645044317e-07
2013,8.553350271865514e-07
2014,7.554719404976952e-07
2015,7.166228174680458e-07
2016,7.261628484554552e-07
2017,7.692995230475693e-07
2018,7.591806820528291e-07
2019,7.569879443281025e-07
