ngram,Work Flow
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,4.70744554448288e-10
1830,4.70744554448288e-10
1831,4.70744554448288e-10
1832,4.70744554448288e-10
1833,4.70744554448288e-10
1834,4.70744554448288e-10
1835,4.70744554448288e-10
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,2.5673893566668937e-11
1889,2.5673893566668937e-11
1890,2.5673893566668937e-11
1891,2.5673893566668937e-11
1892,2.5673893566668937e-11
1893,2.5673893566668937e-11
1894,2.5673893566668937e-11
1895,0.0
1896,0.0
1897,1.7647633354656023e-11
1898,1.7647633354656023e-11
1899,1.7647633354656023e-11
1900,1.7647633354656023e-11
1901,1.7647633354656023e-11
1902,1.7647633354656023e-11
1903,1.7647633354656023e-11
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,1.30773854047282e-11
1911,1.30773854047282e-11
1912,1.30773854047282e-11
1913,4.023030618955608e-11
1914,4.023030618955608e-11
1915,4.023030618955608e-11
1916,8.31449343898148e-11
1917,7.00675489850866e-11
1918,9.738960233501054e-11
1919,9.738960233501054e-11
1920,2.023835464294775e-10
1921,9.495166319872794e-10
1922,1.293390386855212e-09
1923,1.3204443292748535e-09
1924,1.3204443292748535e-09
1925,1.2931222759249295e-09
1926,1.2931222759249295e-09
1927,1.1609754110456345e-09
1928,5.870053173698661e-10
1929,3.1517480688795073e-10
1930,2.710675057431595e-10
1931,3.209104331476047e-10
1932,3.4337558193645433e-10
1933,4.974292565153502e-10
1934,6.894963647649125e-10
1935,7.06363269463241e-10
1936,6.542139865553917e-10
1937,1.182534496911382e-09
1938,1.1740158944213113e-09
1939,1.2461960055157713e-09
1940,1.435421228308214e-09
1941,1.558025393223948e-09
1942,1.7234592820341327e-09
1943,2.152415547383514e-09
1944,1.977302829406621e-09
1945,2.4890800690410433e-09
1946,3.244068442447607e-09
1947,3.4517695051456646e-09
1948,4.242244809406413e-09
1949,4.6628920090187515e-09
1950,6.996408880815303e-09
1951,8.537157139950783e-09
1952,8.878723090077756e-09
1953,8.894191478552621e-09
1954,9.28180662488184e-09
1955,9.182875222129333e-09
1956,9.355066245473966e-09
1957,7.190951580225504e-09
1958,6.414678312337076e-09
1959,6.283120436632674e-09
1960,7.241060195894988e-09
1961,8.111830952982148e-09
1962,9.153565905251071e-09
1963,9.817030490109703e-09
1964,1.0697001950887852e-08
1965,1.1398935826991062e-08
1966,1.2360272043971626e-08
1967,1.2658535679983224e-08
1968,1.2147625635553335e-08
1969,1.2595221120039111e-08
1970,1.3078271291330371e-08
1971,1.3275819047261654e-08
1972,1.3698762759060758e-08
1973,1.3624376801349821e-08
1974,1.3356268091513357e-08
1975,1.353833439005874e-08
1976,1.3412485090823014e-08
1977,1.34404996338893e-08
1978,1.3366937525103952e-08
1979,1.2961551578070742e-08
1980,1.3301870208489878e-08
1981,1.355336262268533e-08
1982,1.3637653292367498e-08
1983,1.2978582018620597e-08
1984,1.2261115932078935e-08
1985,1.1788287171806847e-08
1986,1.2428532869535047e-08
1987,1.174243331141562e-08
1988,1.1754502514195662e-08
1989,1.2500070692819269e-08
1990,1.3095502967733604e-08
1991,1.4072741067699163e-08
1992,1.5533596123670383e-08
1993,1.517011671836599e-08
1994,1.6423168349076278e-08
1995,1.720243503200436e-08
1996,1.6770758876865395e-08
1997,1.6825205736584588e-08
1998,1.6241296180956917e-08
1999,1.6124630900346152e-08
2000,1.6224798901224143e-08
2001,1.6034320918631043e-08
2002,1.60076758198053e-08
2003,1.632105650628546e-08
2004,1.6840728177060427e-08
2005,1.71436557648365e-08
2006,1.65613029322133e-08
2007,1.6891138138979452e-08
2008,1.6718016685298868e-08
2009,1.5573433590329192e-08
2010,1.5100136252499397e-08
2011,1.4424696104242685e-08
2012,1.6058322544714495e-08
2013,1.580158708642492e-08
2014,1.4066541772653603e-08
2015,1.3128123667525772e-08
2016,1.24920238597781e-08
2017,1.2568774983752936e-08
2018,1.199590000666717e-08
2019,8.458191369520307e-09
