ngram,Xerography
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,9.256602165156177e-06
1555,9.256602165156177e-06
1556,9.256602165156177e-06
1557,9.256602165156177e-06
1558,9.256602165156177e-06
1559,9.256602165156177e-06
1560,9.256602165156177e-06
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,7.034840824157332e-08
1623,7.034840824157332e-08
1624,7.034840824157332e-08
1625,7.034840824157332e-08
1626,7.034840824157332e-08
1627,7.034840824157332e-08
1628,7.034840824157332e-08
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,1.2341816305446889e-07
1635,1.2341816305446889e-07
1636,1.2341816305446889e-07
1637,1.2341816305446889e-07
1638,1.2341816305446889e-07
1639,1.2341816305446889e-07
1640,1.2341816305446889e-07
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,3.2167185232927816e-08
1660,3.2167185232927816e-08
1661,3.2167185232927816e-08
1662,3.2167185232927816e-08
1663,3.2167185232927816e-08
1664,3.2167185232927816e-08
1665,3.2167185232927816e-08
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,3.35861979497817e-08
1678,3.35861979497817e-08
1679,3.35861979497817e-08
1680,3.35861979497817e-08
1681,3.35861979497817e-08
1682,3.35861979497817e-08
1683,3.35861979497817e-08
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,1.3069540370582087e-08
1700,1.3069540370582087e-08
1701,1.3069540370582087e-08
1702,3.703985994109514e-08
1703,3.703985994109514e-08
1704,3.703985994109514e-08
1705,3.703985994109514e-08
1706,2.397031957051305e-08
1707,2.397031957051305e-08
1708,2.397031957051305e-08
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,2.1636030364139255e-08
1714,2.1636030364139255e-08
1715,3.2958383704746145e-08
1716,3.2958383704746145e-08
1717,4.0599789181377284e-08
1718,4.0599789181377284e-08
1719,4.0599789181377284e-08
1720,1.896375881723803e-08
1721,1.896375881723803e-08
1722,7.641405476631137e-09
1723,7.641405476631137e-09
1724,0.0
1725,0.0
1726,0.0
1727,6.842715854255792e-09
1728,6.842715854255792e-09
1729,6.842715854255792e-09
1730,6.842715854255792e-09
1731,6.842715854255792e-09
1732,1.3101239712146447e-08
1733,1.3101239712146447e-08
1734,6.258523857890655e-09
1735,6.258523857890655e-09
1736,6.258523857890655e-09
1737,6.258523857890655e-09
1738,6.258523857890655e-09
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,3.898590149122226e-09
1753,3.898590149122226e-09
1754,3.898590149122226e-09
1755,3.898590149122226e-09
1756,3.898590149122226e-09
1757,3.898590149122226e-09
1758,3.898590149122226e-09
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,8.833506878350557e-09
1768,8.833506878350557e-09
1769,8.833506878350557e-09
1770,1.1716428462347852e-08
1771,1.1716428462347852e-08
1772,1.1716428462347852e-08
1773,1.431161931821277e-08
1774,5.478112439862213e-09
1775,5.478112439862213e-09
1776,5.478112439862213e-09
1777,2.5951908558649197e-09
1778,2.5951908558649197e-09
1779,2.5951908558649197e-09
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,2.6131041457639573e-09
1789,2.6131041457639573e-09
1790,2.6131041457639573e-09
1791,3.6990703833339467e-09
1792,3.6990703833339467e-09
1793,3.6990703833339467e-09
1794,3.6990703833339467e-09
1795,1.0859662375699892e-09
1796,1.0859662375699892e-09
1797,1.0859662375699892e-09
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,4.184424552887224e-10
1808,4.184424552887224e-10
1809,5.99367270101173e-10
1810,5.99367270101173e-10
1811,5.99367270101173e-10
1812,5.99367270101173e-10
1813,9.873260780374998e-10
1814,5.688836227487773e-10
1815,5.688836227487773e-10
1816,3.8795880793632675e-10
1817,3.8795880793632675e-10
1818,3.8795880793632675e-10
1819,3.8795880793632675e-10
1820,1.4739693592653273e-10
1821,1.4739693592653273e-10
1822,2.7216583748617447e-10
1823,4.126286058868191e-10
1824,4.126286058868191e-10
1825,4.126286058868191e-10
1826,4.126286058868191e-10
1827,2.6523166996028635e-10
1828,2.6523166996028635e-10
1829,9.134798473198202e-10
1830,7.730170789191756e-10
1831,7.730170789191756e-10
1832,8.581665378315506e-10
1833,8.581665378315506e-10
1834,9.412267314751993e-10
1835,9.412267314751993e-10
1836,1.682096525560236e-10
1837,1.682096525560236e-10
1838,4.735126417949281e-10
1839,4.641446195639633e-10
1840,6.153165516791554e-10
1841,6.022339690428932e-10
1842,7.238648490139252e-10
1843,7.238648490139252e-10
1844,7.238648490139252e-10
1845,5.520393903906446e-10
1846,4.762579537092343e-10
1847,4.462969517758454e-10
1848,6.497577238156233e-10
1849,6.893454537352081e-10
1850,7.842852716472797e-10
1851,8.307138667427796e-10
1852,7.983594777335615e-10
1853,1.039656174642697e-09
1854,1.0194489657206723e-09
1855,8.5101408063361e-10
1856,8.885906891250731e-10
1857,8.417850979761507e-10
1858,8.529600161098574e-10
1859,7.518368745034515e-10
1860,5.715353864780123e-10
1861,6.399916985255771e-10
1862,5.907064718321412e-10
1863,3.919112534500613e-10
1864,3.437770266869121e-10
1865,2.861735134577056e-10
1866,2.861735134577056e-10
1867,2.6839076199587046e-10
1868,1.437424266916208e-10
1869,1.6719592773764954e-10
1870,2.0943238809856268e-10
1871,3.311605711875387e-10
1872,4.949674122948064e-10
1873,7.680286684408344e-10
1874,7.645569257062692e-10
1875,7.59860258048306e-10
1876,7.573524545596249e-10
1877,7.500676667073134e-10
1878,6.646248432559279e-10
1879,5.008180021486603e-10
1880,2.935301129142991e-10
1881,4.747485698215164e-10
1882,4.346335394763859e-10
1883,3.9009219862265864e-10
1884,3.856514334067894e-10
1885,3.7838935159787267e-10
1886,5.163324371234726e-10
1887,5.334609777728008e-10
1888,4.205131758678553e-10
1889,4.990258642819814e-10
1890,5.427903107138984e-10
1891,6.403046604835134e-10
1892,6.562245469243777e-10
1893,6.335898274288456e-10
1894,5.94871465578858e-10
1895,5.292025111775749e-10
1896,4.894506744346216e-10
1897,4.87870620886304e-10
1898,4.319980365493795e-10
1899,4.963383117205313e-10
1900,4.1717115476355305e-10
1901,4.75807726552091e-10
1902,4.5068360154942866e-10
1903,4.756793292592931e-10
1904,4.3307978830104636e-10
1905,4.676551546805336e-10
1906,4.0491667360357097e-10
1907,5.885280774624896e-10
1908,5.406057764144125e-10
1909,5.647305143360473e-10
1910,5.422956032642898e-10
1911,6.084336487014294e-10
1912,5.161197174006839e-10
1913,4.981705970360676e-10
1914,4.099663911920943e-10
1915,4.825783552526402e-10
1916,4.4123532704538297e-10
1917,4.837080666564297e-10
1918,4.433834975757302e-10
1919,4.999981202878447e-10
1920,5.642089018209617e-10
1921,4.888837112915212e-10
1922,6.511894674281799e-10
1923,7.739566923855737e-10
1924,9.34377583242504e-10
1925,1.0148876739002333e-09
1926,1.2647804232506538e-09
1927,1.2856657008849685e-09
1928,1.5259657981658847e-09
1929,1.3625792478449178e-09
1930,1.7843598582827675e-09
1931,2.0123387480173805e-09
1932,2.299886130747402e-09
1933,2.0716332855512984e-09
1934,2.160152255483082e-09
1935,1.9969629362824394e-09
1936,2.121783130145819e-09
1937,2.3402774956033615e-09
1938,2.0856058150339354e-09
1939,2.3321660475821612e-09
1940,2.7295693959063426e-09
1941,2.941037080539388e-09
1942,3.2311398636051892e-09
1943,3.25878390938783e-09
1944,3.425336522358943e-09
1945,7.168161746713102e-09
1946,1.2486436836870292e-08
1947,1.7443609794704732e-08
1948,2.152723129914388e-08
1949,2.630768009786217e-08
1950,3.4133455046563606e-08
1951,4.48544254437268e-08
1952,4.944182967798432e-08
1953,5.496731603216176e-08
1954,5.994252713240453e-08
1955,6.882342213592502e-08
1956,7.672390570486901e-08
1957,8.295592936389897e-08
1958,8.225502767800208e-08
1959,1.0144518926478798e-07
1960,2.1819063330700113e-07
1961,3.8198187114955674e-07
1962,4.532068384069784e-07
1963,5.400719993125287e-07
1964,5.529400703656912e-07
1965,5.555568175655676e-07
1966,5.49704858648121e-07
1967,4.392655422894417e-07
1968,2.881142831613813e-07
1969,2.1924760115358106e-07
1970,1.4199109951310414e-07
1971,1.3847041913095381e-07
1972,1.5176423927089543e-07
1973,1.576450665246349e-07
1974,1.6126726722274854e-07
1975,1.5016634539019185e-07
1976,1.4356728732829132e-07
1977,1.2885659066747784e-07
1978,1.09317751803165e-07
1979,8.810627326129503e-08
1980,6.423439456528155e-08
1981,4.6650844203505974e-08
1982,3.80615615215772e-08
1983,3.4342773196678015e-08
1984,3.028771011770459e-08
1985,3.0396102650749006e-08
1986,2.8913209096767138e-08
1987,2.8355352098076636e-08
1988,2.7558357120126076e-08
1989,2.683362763735074e-08
1990,2.4024718976128108e-08
1991,2.3033620978805758e-08
1992,2.139490895558538e-08
1993,1.9419112413337255e-08
1994,1.880687757907903e-08
1995,1.8285272724532272e-08
1996,1.7616612295918392e-08
1997,1.7054785774104986e-08
1998,1.5843506950830033e-08
1999,1.5088755514877254e-08
2000,1.4617387427457679e-08
2001,1.3819453518034867e-08
2002,1.327447726343475e-08
2003,1.2837919933466374e-08
2004,1.2142495517001147e-08
2005,1.138635376461496e-08
2006,1.058122833796915e-08
2007,9.64077256122258e-09
2008,9.126613306368166e-09
2009,8.461237234667709e-09
2010,8.482822507919049e-09
2011,7.794210990904763e-09
2012,7.51566193406867e-09
2013,7.59503139745123e-09
2014,7.476653264758073e-09
2015,7.0903319406210946e-09
2016,6.5596921545412505e-09
2017,5.8284611951601546e-09
2018,6.0647455057960545e-09
2019,6.3380800607859555e-09
