ngram,Zope,Zop
1500,0,0
1501,0,0
1502,0,0
1503,0,0
1504,0,0
1505,0,0
1506,0,0
1507,0,0
1508,0,0
1509,0,0
1510,0,0
1511,0,0
1512,0,0
1513,0,0
1514,0,0
1515,0,0
1516,0,0
1517,0,0
1518,0,0
1519,0,0
1520,0,0
1521,0,0
1522,0,0
1523,0,0
1524,2.06E-06,0
1525,2.06E-06,0
1526,2.06E-06,0
1527,2.06E-06,0
1528,2.06E-06,0
1529,2.06E-06,0
1530,2.06E-06,0
1531,0,0
1532,0,0
1533,0,0
1534,0,0
1535,0,0
1536,0,0
1537,0,0
1538,3.18E-06,0
1539,3.18E-06,0
1540,3.18E-06,0
1541,3.18E-06,0
1542,3.18E-06,0
1543,3.18E-06,0
1544,3.18E-06,0
1545,0,0
1546,0,0
1547,0,0
1548,0,0
1549,0,0
1550,0,0
1551,0,0
1552,0,0
1553,0,0
1554,0,0
1555,0,0
1556,0,0
1557,0,0
1558,0,0
1559,0,0
1560,0,0
1561,0,0
1562,0,0
1563,0,0
1564,0,0
1565,0,0
1566,0,0
1567,0,0
1568,0,0
1569,0,0
1570,0,0
1571,0,0
1572,0,0
1573,0,0
1574,5.45E-07,0
1575,5.45E-07,0
1576,9.95E-07,0
1577,9.95E-07,0
1578,9.95E-07,0
1579,9.95E-07,0
1580,9.95E-07,0
1581,4.51E-07,0
1582,4.51E-07,0
1583,0,0
1584,0,0
1585,0,0
1586,0,0
1587,3.46E-07,0
1588,3.46E-07,0
1589,3.46E-07,0
1590,3.46E-07,0
1591,3.46E-07,0
1592,3.46E-07,0
1593,3.46E-07,0
1594,0,0
1595,0,0
1596,0,0
1597,0,0
1598,0,0
1599,0,0
1600,0,0
1601,0,0
1602,1.04E-07,0
1603,5.17E-07,4.12E-07
1604,5.17E-07,4.12E-07
1605,5.17E-07,4.12E-07
1606,5.17E-07,4.12E-07
1607,5.17E-07,4.12E-07
1608,5.17E-07,4.12E-07
1609,4.12E-07,4.12E-07
1610,0,1.27E-07
1611,0,1.27E-07
1612,0,1.27E-07
1613,0,1.27E-07
1614,0,1.27E-07
1615,0,1.27E-07
1616,0,1.27E-07
1617,0,0
1618,0,0
1619,0,0
1620,0,0
1621,0,0
1622,0,0
1623,0,0
1624,0,0
1625,0,0
1626,0,0
1627,0,0
1628,0,0
1629,0,0
1630,0,0
1631,0,1.13E-07
1632,0,1.13E-07
1633,0,1.13E-07
1634,0,1.13E-07
1635,0,1.13E-07
1636,0,1.13E-07
1637,0,1.13E-07
1638,0,0
1639,0,0
1640,0,0
1641,0,0
1642,0,0
1643,0,0
1644,0,0
1645,0,0
1646,0,0
1647,0,0
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,0,5.81E-08
1656,0,5.81E-08
1657,0,5.81E-08
1658,0,5.81E-08
1659,0,1.22E-07
1660,0,1.22E-07
1661,0,1.22E-07
1662,0,6.43E-08
1663,0,6.43E-08
1664,0,6.43E-08
1665,0,6.43E-08
1666,0,0
1667,0,3.25E-08
1668,0,3.25E-08
1669,0,3.25E-08
1670,0,3.25E-08
1671,0,3.25E-08
1672,0,3.25E-08
1673,0,3.25E-08
1674,0,0
1675,0,0
1676,0,4.29E-08
1677,0,4.29E-08
1678,0,4.29E-08
1679,0,4.29E-08
1680,0,4.29E-08
1681,0,6.53E-08
1682,0,6.53E-08
1683,0,2.24E-08
1684,0,2.24E-08
1685,0,2.24E-08
1686,0,2.24E-08
1687,0,2.24E-08
1688,0,0
1689,0,0
1690,0,0
1691,0,0
1692,0,0
1693,0,0
1694,0,0
1695,0,1.55E-08
1696,0,1.55E-08
1697,0,1.55E-08
1698,0,1.55E-08
1699,0,1.55E-08
1700,0,1.55E-08
1701,0,1.55E-08
1702,0,0
1703,0,0
1704,0,8.66E-09
1705,0,8.66E-09
1706,0,8.66E-09
1707,0,8.66E-09
1708,0,8.66E-09
1709,0,8.66E-09
1710,0,8.66E-09
1711,0,0
1712,0,0
1713,0,0
1714,0,0
1715,0,0
1716,8.85E-09,0
1717,8.85E-09,0
1718,8.85E-09,0
1719,8.85E-09,0
1720,8.85E-09,0
1721,8.85E-09,0
1722,8.85E-09,0
1723,0,0
1724,0,0
1725,0,0
1726,0,1.28E-08
1727,0,1.28E-08
1728,0,1.28E-08
1729,0,1.28E-08
1730,0,1.28E-08
1731,0,1.28E-08
1732,0,1.28E-08
1733,0,0
1734,0,0
1735,0,0
1736,0,0
1737,0,0
1738,0,0
1739,0,0
1740,0,0
1741,0,0
1742,0,0
1743,0,0
1744,0,0
1745,0,6.31E-09
1746,0,6.31E-09
1747,0,6.31E-09
1748,0,6.31E-09
1749,0,6.31E-09
1750,0,6.31E-09
1751,0,6.31E-09
1752,0,3.90E-09
1753,0,3.90E-09
1754,0,3.90E-09
1755,0,3.90E-09
1756,0,3.90E-09
1757,0,3.90E-09
1758,0,3.90E-09
1759,0,0
1760,0,0
1761,0,0
1762,0,0
1763,0,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,0,0
1769,0,0
1770,0,0
1771,0,0
1772,0,0
1773,0,0
1774,0,0
1775,0,2.89E-09
1776,0,2.89E-09
1777,0,2.89E-09
1778,0,2.89E-09
1779,0,5.45E-09
1780,0,7.80E-09
1781,0,7.80E-09
1782,0,4.91E-09
1783,0,4.91E-09
1784,0,4.91E-09
1785,0,4.91E-09
1786,0,2.35E-09
1787,0,0
1788,0,1.31E-09
1789,0,2.46E-08
1790,0,2.46E-08
1791,0,2.46E-08
1792,0,5.29E-08
1793,0,5.68E-08
1794,0,1.01E-07
1795,0,9.94E-08
1796,0,7.62E-08
1797,0,1.33E-07
1798,0,1.33E-07
1799,6.01E-10,1.05E-07
1800,1.01E-09,1.02E-07
1801,2.41E-09,1.08E-07
1802,2.84E-09,1.08E-07
1803,2.84E-09,1.09E-07
1804,2.84E-09,5.22E-08
1805,3.62E-09,5.22E-08
1806,3.02E-09,5.19E-08
1807,2.61E-09,5.15E-08
1808,1.21E-09,6.25E-09
1809,7.79E-10,6.44E-09
1810,1.43E-09,6.04E-09
1811,1.43E-09,6.04E-09
1812,8.93E-10,6.04E-09
1813,8.93E-10,5.78E-09
1814,8.93E-10,6.82E-09
1815,8.93E-10,1.88E-09
1816,8.93E-10,1.70E-09
1817,2.39E-10,1.04E-09
1818,2.39E-10,1.04E-09
1819,3.01E-10,1.20E-09
1820,3.01E-10,1.34E-09
1821,4.29E-10,4.26E-10
1822,4.29E-10,4.26E-10
1823,5.70E-10,4.26E-10
1824,5.70E-10,5.60E-10
1825,8.23E-10,5.60E-10
1826,5.22E-10,5.29E-10
1827,5.22E-10,3.81E-10
1828,3.94E-10,2.53E-10
1829,3.94E-10,3.23E-10
1830,2.53E-10,3.23E-10
1831,2.53E-10,2.82E-10
1832,0,4.52E-10
1833,0,4.16E-10
1834,0,6.65E-10
1835,0,9.16E-10
1836,0,8.46E-10
1837,0,8.46E-10
1838,7.63E-11,7.53E-10
1839,7.63E-11,5.83E-10
1840,7.63E-11,5.01E-10
1841,7.63E-11,4.61E-10
1842,7.63E-11,2.10E-10
1843,1.42E-10,3.41E-10
1844,1.42E-10,3.41E-10
1845,6.56E-11,3.41E-10
1846,2.61E-10,3.41E-10
1847,2.61E-10,1.80E-09
1848,2.61E-10,1.59E-09
1849,3.15E-10,1.64E-09
1850,2.49E-10,1.60E-09
1851,2.49E-10,1.70E-09
1852,4.52E-10,1.80E-09
1853,2.56E-10,1.80E-09
1854,3.06E-10,3.43E-10
1855,3.06E-10,5.00E-10
1856,2.53E-10,7.45E-10
1857,3.49E-10,8.42E-10
1858,4.64E-10,8.07E-10
1859,3.23E-10,1.01E-09
1860,3.23E-10,1.07E-09
1861,3.29E-10,1.13E-09
1862,3.29E-10,1.42E-09
1863,3.29E-10,1.26E-09
1864,2.80E-10,1.26E-09
1865,1.65E-10,1.24E-09
1866,1.48E-10,9.83E-10
1867,1.91E-10,1.14E-09
1868,1.35E-10,1.49E-09
1869,1.74E-10,1.44E-09
1870,2.16E-10,1.71E-09
1871,2.50E-10,1.65E-09
1872,3.73E-10,1.97E-09
1873,3.29E-10,1.93E-09
1874,4.45E-10,1.91E-09
1875,4.85E-10,1.63E-09
1876,5.22E-10,1.31E-09
1877,7.24E-10,1.13E-09
1878,7.88E-10,1.12E-09
1879,7.70E-10,8.89E-10
1880,9.35E-10,1.02E-09
1881,8.07E-10,1.17E-09
1882,8.64E-10,1.21E-09
1883,8.20E-10,1.42E-09
1884,1.19E-09,3.47E-09
1885,1.13E-09,3.62E-09
1886,1.02E-09,3.76E-09
1887,9.96E-10,3.76E-09
1888,9.92E-10,3.68E-09
1889,9.21E-10,3.73E-09
1890,1.02E-09,5.24E-09
1891,4.05E-10,3.10E-09
1892,8.57E-10,3.11E-09
1893,1.04E-09,2.86E-09
1894,9.03E-10,3.01E-09
1895,1.00E-09,2.93E-09
1896,9.97E-10,3.69E-09
1897,8.70E-10,2.12E-09
1898,9.42E-10,2.11E-09
1899,4.39E-10,2.29E-09
1900,3.27E-10,3.12E-09
1901,3.79E-10,2.97E-09
1902,2.86E-10,2.86E-09
1903,3.62E-10,2.36E-09
1904,3.62E-10,2.78E-09
1905,3.97E-10,2.88E-09
1906,3.76E-10,2.52E-09
1907,3.33E-10,1.83E-09
1908,2.95E-10,1.79E-09
1909,2.88E-10,1.79E-09
1910,2.34E-10,1.41E-09
1911,2.76E-10,8.29E-10
1912,1.84E-10,6.43E-10
1913,2.97E-10,5.64E-10
1914,3.26E-10,4.32E-10
1915,3.76E-10,4.48E-10
1916,3.64E-10,1.19E-09
1917,3.64E-10,1.26E-09
1918,3.65E-10,1.41E-09
1919,3.65E-10,1.38E-09
1920,2.37E-10,1.48E-09
1921,2.62E-10,1.48E-09
1922,3.19E-10,1.47E-09
1923,4.52E-10,7.61E-10
1924,4.10E-10,3.05E-09
1925,3.67E-10,3.23E-09
1926,4.21E-10,3.33E-09
1927,4.44E-10,3.40E-09
1928,5.65E-10,3.62E-09
1929,5.45E-10,3.58E-09
1930,3.98E-10,3.48E-09
1931,4.50E-10,1.04E-09
1932,4.74E-10,7.43E-10
1933,4.05E-10,7.44E-10
1934,4.27E-10,7.42E-10
1935,3.33E-10,6.47E-10
1936,2.95E-10,7.43E-10
1937,4.75E-10,8.95E-10
1938,6.18E-10,9.17E-10
1939,6.69E-10,9.96E-10
1940,7.20E-10,1.14E-09
1941,7.58E-10,1.10E-09
1942,7.22E-10,1.12E-09
1943,6.80E-10,9.72E-10
1944,5.39E-10,9.06E-10
1945,4.18E-10,1.13E-09
1946,4.10E-10,1.02E-09
1947,4.24E-10,8.02E-10
1948,4.10E-10,8.36E-10
1949,4.03E-10,7.80E-10
1950,4.83E-10,8.14E-10
1951,6.27E-10,8.99E-10
1952,5.68E-10,7.80E-10
1953,6.27E-10,8.08E-10
1954,6.77E-10,8.15E-10
1955,6.52E-10,1.15E-09
1956,1.12E-09,1.18E-09
1957,1.09E-09,1.26E-09
1958,9.63E-10,1.24E-09
1959,1.39E-09,1.28E-09
1960,1.70E-09,1.46E-09
1961,2.00E-09,1.52E-09
1962,2.50E-09,1.18E-09
1963,2.29E-09,1.17E-09
1964,2.53E-09,1.21E-09
1965,2.96E-09,1.36E-09
1966,3.06E-09,1.54E-09
1967,3.05E-09,1.56E-09
1968,2.91E-09,1.67E-09
1969,2.68E-09,1.66E-09
1970,2.81E-09,1.67E-09
1971,3.04E-09,1.63E-09
1972,2.94E-09,1.36E-09
1973,2.78E-09,1.10E-09
1974,2.54E-09,9.15E-10
1975,4.08E-09,8.13E-10
1976,4.00E-09,7.89E-10
1977,3.71E-09,7.36E-10
1978,3.65E-09,8.16E-10
1979,3.55E-09,8.69E-10
1980,3.59E-09,1.12E-09
1981,3.69E-09,1.19E-09
1982,2.15E-09,1.10E-09
1983,2.26E-09,1.18E-09
1984,2.35E-09,1.17E-09
1985,2.12E-09,1.10E-09
1986,2.03E-09,1.18E-09
1987,1.78E-09,1.27E-09
1988,1.73E-09,1.33E-09
1989,1.63E-09,1.51E-09
1990,1.44E-09,1.46E-09
1991,1.56E-09,1.69E-09
1992,1.43E-09,1.89E-09
1993,1.39E-09,2.08E-09
1994,1.52E-09,2.08E-09
1995,1.67E-09,2.18E-09
1996,2.03E-09,2.32E-09
1997,4.23E-09,2.28E-09
1998,1.66E-08,2.47E-09
1999,5.37E-08,2.78E-09
2000,5.84E-08,2.70E-09
2001,6.85E-08,2.61E-09
2002,8.58E-08,2.62E-09
2003,8.86E-08,2.48E-09
2004,9.51E-08,2.69E-09
2005,8.91E-08,2.76E-09
2006,6.88E-08,2.27E-09
2007,7.06E-08,2.22E-09
2008,6.45E-08,2.17E-09
2009,4.81E-08,2.12E-09
2010,4.57E-08,2.01E-09
2011,3.90E-08,1.85E-09
2012,3.28E-08,1.42E-09
2013,1.72E-08,1.56E-09
2014,1.13E-08,1.56E-09
2015,8.21E-09,1.75E-09
2016,7.93E-09,1.89E-09
2017,8.10E-09,2.04E-09
2018,6.76E-09,2.22E-09
2019,7.53E-09,2.51E-09
