ngram,Bug,Bugn,Byug,Boug,Brug
1500,0.0,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0,0.0
1520,2.979113885105887e-07,0.0,0.0,0.0,0.0
1521,2.979113885105887e-07,0.0,0.0,0.0,0.0
1522,2.979113885105887e-07,0.0,0.0,0.0,0.0
1523,2.979113885105887e-07,0.0,0.0,0.0,0.0
1524,2.979113885105887e-07,0.0,0.0,0.0,0.0
1525,2.979113885105887e-07,0.0,0.0,0.0,0.0
1526,2.979113885105887e-07,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0,0.0
1543,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1544,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1545,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1546,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1547,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1548,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1549,1.1408492615113833e-05,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0,0.0
1599,0.0,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0,0.0
1601,0.0,0.0,0.0,0.0,0.0
1602,1.0440071816576944e-07,0.0,0.0,0.0,0.0
1603,5.165108275053041e-07,0.0,0.0,0.0,0.0
1604,5.165108275053041e-07,0.0,0.0,0.0,0.0
1605,5.165108275053041e-07,0.0,0.0,0.0,1.1243689154330891e-07
1606,5.165108275053041e-07,0.0,0.0,0.0,1.1243689154330891e-07
1607,5.165108275053041e-07,0.0,0.0,0.0,1.1243689154330891e-07
1608,5.165108275053041e-07,0.0,0.0,0.0,1.1243689154330891e-07
1609,4.121101093395347e-07,0.0,0.0,0.0,1.1243689154330891e-07
1610,0.0,0.0,0.0,0.0,1.1243689154330891e-07
1611,0.0,0.0,0.0,0.0,1.1243689154330891e-07
1612,2.6900072823212084e-07,0.0,0.0,0.0,0.0
1613,2.6900072823212084e-07,0.0,0.0,0.0,0.0
1614,2.6900072823212084e-07,0.0,0.0,0.0,0.0
1615,2.6900072823212084e-07,0.0,0.0,0.0,0.0
1616,2.6900072823212084e-07,0.0,0.0,0.0,0.0
1617,5.160833974774245e-07,0.0,0.0,0.0,0.0
1618,5.160833974774245e-07,0.0,0.0,0.0,0.0
1619,2.4708266924530366e-07,0.0,0.0,0.0,0.0
1620,2.4708266924530366e-07,0.0,0.0,0.0,0.0
1621,6.03918660349986e-07,0.0,0.0,0.0,0.0
1622,6.742670685915593e-07,0.0,0.0,0.0,0.0
1623,6.742670685915593e-07,0.0,0.0,0.0,0.0
1624,4.2718439934625554e-07,0.0,0.0,0.0,0.0
1625,4.2718439934625554e-07,0.0,0.0,0.0,0.0
1626,4.2718439934625554e-07,0.0,0.0,0.0,0.0
1627,4.2718439934625554e-07,0.0,0.0,0.0,0.0
1628,7.034840824157332e-08,0.0,0.0,0.0,0.0
1629,8.252934386681382e-08,0.0,0.0,0.0,0.0
1630,8.252934386681382e-08,0.0,0.0,0.0,0.0
1631,8.252934386681382e-08,0.0,0.0,0.0,0.0
1632,8.252934386681382e-08,0.0,0.0,0.0,0.0
1633,8.252934386681382e-08,0.0,0.0,0.0,0.0
1634,2.059475069212827e-07,0.0,0.0,0.0,0.0
1635,2.882672203798263e-07,0.0,0.0,0.0,8.231971345854358e-08
1636,2.0573787651301245e-07,0.0,0.0,0.0,8.231971345854358e-08
1637,2.0573787651301245e-07,0.0,0.0,0.0,1.5547984081162474e-07
1638,2.0573787651301245e-07,0.0,0.0,0.0,1.5547984081162474e-07
1639,2.8360810639631903e-07,0.0,0.0,0.0,1.5547984081162474e-07
1640,3.864161612909811e-07,0.0,0.0,0.0,1.5547984081162474e-07
1641,2.6299799823651225e-07,0.0,0.0,0.0,1.5547984081162474e-07
1642,1.8067828477796866e-07,0.0,0.0,0.0,7.316012735308114e-08
1643,1.8067828477796866e-07,0.0,0.0,0.0,7.316012735308114e-08
1644,1.8067828477796866e-07,0.0,0.0,0.0,0.0
1645,2.2979511576133e-07,0.0,0.0,0.0,0.0
1646,1.5192488587802343e-07,0.0,0.0,0.0,0.0
1647,2.5720793571183874e-07,0.0,0.0,0.0,0.0
1648,2.5720793571183874e-07,0.0,0.0,0.0,0.0
1649,2.5720793571183874e-07,0.0,0.0,0.0,0.0
1650,2.5720793571183874e-07,0.0,0.0,0.0,0.0
1651,2.5720793571183874e-07,0.0,0.0,0.0,0.0
1652,3.1943389850701873e-07,0.0,0.0,0.0,0.0
1653,3.948096767609448e-07,0.0,0.0,0.0,0.0
1654,2.282017581884637e-07,0.0,0.0,0.0,0.0
1655,2.282017581884637e-07,0.0,0.0,0.0,0.0
1656,2.282017581884637e-07,0.0,0.0,0.0,4.530733122010133e-08
1657,2.282017581884637e-07,0.0,0.0,0.0,4.530733122010133e-08
1658,2.818173925334122e-07,0.0,0.0,0.0,4.530733122010133e-08
1659,4.5997926788134335e-07,0.0,0.0,0.0,4.530733122010133e-08
1660,3.846034896274172e-07,0.0,0.0,0.0,4.530733122010133e-08
1661,7.462327492443624e-07,0.0,0.0,0.0,4.530733122010133e-08
1662,8.680323284287234e-07,0.0,0.0,0.0,4.530733122010133e-08
1663,8.680323284287234e-07,0.0,0.0,0.0,0.0
1664,9.073353096157786e-07,0.0,0.0,0.0,0.0
1665,9.419029091921922e-07,0.0,0.0,0.0,0.0
1666,7.32295035277275e-07,0.0,0.0,0.0,0.0
1667,8.296519849539306e-07,0.0,0.0,0.0,3.245231588217783e-08
1668,4.7029275508845914e-07,0.0,0.0,0.0,3.245231588217783e-08
1669,3.4849317590409813e-07,0.0,0.0,0.0,3.245231588217783e-08
1670,3.8714234408741633e-07,0.0,0.0,0.0,3.245231588217783e-08
1671,4.260597482438503e-07,0.0,0.0,0.0,3.245231588217783e-08
1672,5.100807283854789e-07,0.0,0.0,0.0,5.705291731114162e-08
1673,5.044125462713314e-07,0.0,0.0,0.0,5.705291731114162e-08
1674,4.7211664520675966e-07,0.0,0.0,0.0,2.4600601428963794e-08
1675,4.970004283677554e-07,0.0,0.0,3.431849953423287e-08,2.4600601428963794e-08
1676,5.828934490637039e-07,0.0,0.0,3.431849953423287e-08,2.4600601428963794e-08
1677,7.1217526656905e-07,0.0,0.0,3.431849953423287e-08,2.4600601428963794e-08
1678,7.136291669342297e-07,0.0,0.0,3.431849953423287e-08,2.4600601428963794e-08
1679,6.567837991562036e-07,0.0,0.0,3.431849953423287e-08,0.0
1680,6.368609725931102e-07,0.0,0.0,3.431849953423287e-08,1.8101928844771464e-08
1681,6.389274663628644e-07,0.0,0.0,3.431849953423287e-08,1.8101928844771464e-08
1682,6.912566651148413e-07,0.0,0.0,0.0,1.8101928844771464e-08
1683,6.93632557613455e-07,0.0,0.0,0.0,1.8101928844771464e-08
1684,5.549231514935724e-07,0.0,0.0,0.0,1.8101928844771464e-08
1685,5.156605291339085e-07,0.0,0.0,0.0,1.8101928844771464e-08
1686,5.66076922479754e-07,0.0,0.0,0.0,7.336034205504152e-08
1687,5.941713153236248e-07,0.0,0.0,0.0,5.525841321027006e-08
1688,7.134100863075738e-07,0.0,0.0,0.0,5.525841321027006e-08
1689,7.502997354842072e-07,0.0,0.0,0.0,5.525841321027006e-08
1690,7.451119858257828e-07,0.0,0.0,0.0,5.525841321027006e-08
1691,7.648225123700416e-07,0.0,0.0,0.0,7.972446626679033e-08
1692,7.717469381012571e-07,0.0,0.0,0.0,7.972446626679033e-08
1693,7.000252821853792e-07,0.0,0.0,0.0,2.446605305652026e-08
1694,7.395528557805977e-07,0.0,0.0,0.0,2.446605305652026e-08
1695,5.68693345875155e-07,0.0,0.0,0.0,2.446605305652026e-08
1696,4.265834446316928e-07,0.0,0.0,0.0,2.446605305652026e-08
1697,3.728905803817335e-07,0.0,0.0,0.0,3.1813127878064865e-08
1698,3.447010154137128e-07,0.0,0.0,0.0,7.347074821544603e-09
1699,4.280603300393133e-07,0.0,0.0,0.0,7.347074821544603e-09
1700,4.5098741655432863e-07,0.0,0.0,0.0,7.347074821544603e-09
1701,3.677267008989864e-07,0.0,0.0,0.0,7.347074821544603e-09
1702,4.960418189219646e-07,0.0,0.0,0.0,7.347074821544603e-09
1703,6.348728131147904e-07,0.0,0.0,0.0,7.347074821544603e-09
1704,7.007639502327428e-07,0.0,0.0,0.0,0.0
1705,9.639133590358791e-07,0.0,0.0,0.0,9.157804673317775e-09
1706,9.439717863252943e-07,0.0,0.0,0.0,9.157804673317775e-09
1707,8.756009281439349e-07,0.0,0.0,0.0,9.157804673317775e-09
1708,8.85163225510561e-07,0.0,0.0,0.0,9.157804673317775e-09
1709,8.134914050320471e-07,0.0,0.0,0.0,9.157804673317775e-09
1710,7.105595370506177e-07,0.0,0.0,0.0,2.6372827984947174e-08
1711,7.315880452551937e-07,0.0,0.0,0.0,3.606515670233941e-08
1712,5.12876616604834e-07,0.0,0.0,0.0,2.690735202902163e-08
