ngram,Lock,Locku,Locc,Lockw
1500,2.3390675778500736e-06,0.0,0.0,0.0
1501,1.871254062280059e-06,0.0,0.0,0.0
1502,2.0865109415050633e-06,0.0,0.0,0.0
1503,1.788437949861483e-06,0.0,0.0,0.0
1504,3.5386287566195407e-06,0.0,0.0,0.0
1505,3.5386287566195407e-06,0.0,0.0,0.0
1506,3.5386287566195407e-06,0.0,0.0,0.0
1507,3.5386287566195407e-06,0.0,0.0,0.0
1508,3.5386287566195407e-06,0.0,0.0,0.0
1509,3.0868008512438142e-06,0.0,0.0,0.0
1510,3.0868008512438142e-06,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.8566114451678004e-07,0.0,0.0,0.0
1518,2.8566114451678004e-07,0.0,0.0,0.0
1519,2.8566114451678004e-07,0.0,0.0,0.0
1520,2.8566114451678004e-07,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,7.530191266726303e-07,0.0,0.0,0.0
1536,7.530191266726303e-07,0.0,0.0,0.0
1537,7.530191266726303e-07,0.0,0.0,0.0
1538,7.530191266726303e-07,0.0,0.0,0.0
1539,2.4132414182531647e-06,0.0,0.0,0.0
1540,2.4132414182531647e-06,0.0,0.0,0.0
1541,2.4132414182531647e-06,0.0,0.0,0.0
1542,1.6602222915805344e-06,0.0,0.0,0.0
1543,1.6602222915805344e-06,0.0,0.0,0.0
1544,1.6602222915805344e-06,0.0,0.0,0.0
1545,2.196062496295781e-06,0.0,0.0,0.0
1546,1.0952525956651828e-06,0.0,0.0,0.0
1547,1.0952525956651828e-06,0.0,0.0,0.0
1548,1.0952525956651828e-06,0.0,0.0,0.0
1549,1.0952525956651828e-06,0.0,0.0,0.0
1550,1.0952525956651828e-06,0.0,0.0,0.0
1551,1.0952525956651828e-06,0.0,0.0,0.0
1552,5.594123909499363e-07,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,8.991115854379521e-07,0.0,0.0,0.0
1585,8.991115854379521e-07,0.0,0.0,0.0
1586,2.3368992775171397e-06,0.0,0.0,0.0
1587,2.3368992775171397e-06,0.0,0.0,0.0
1588,2.3368992775171397e-06,0.0,0.0,0.0
1589,4.951069773336972e-06,0.0,0.0,0.0
1590,5.211045423233632e-06,0.0,0.0,0.0
1591,4.31193383779568e-06,0.0,0.0,0.0
1592,4.31193383779568e-06,0.0,0.0,0.0
1593,2.8741461457164926e-06,0.0,0.0,0.0
1594,3.2094093122785646e-06,0.0,0.0,0.0
1595,3.2094093122785646e-06,0.0,0.0,0.0
1596,1.0160752676061487e-06,0.0,0.0,0.0
1597,8.771617103775498e-07,0.0,0.0,0.0
1598,8.771617103775498e-07,0.0,0.0,0.0
1599,8.771617103775498e-07,0.0,0.0,0.0
1600,1.0901738798046218e-06,0.0,0.0,0.0
1601,7.549107132425499e-07,0.0,0.0,0.0
1602,7.549107132425499e-07,0.0,0.0,0.0
1603,3.34074262095133e-07,0.0,0.0,0.0
1604,2.1301216942707209e-07,0.0,0.0,0.0
1605,2.1301216942707209e-07,0.0,0.0,0.0
1606,2.1301216942707209e-07,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,3.99355193232103e-07,0.0,0.0,0.0
1609,3.99355193232103e-07,0.0,0.0,0.0
1610,3.99355193232103e-07,0.0,0.0,0.0
1611,3.99355193232103e-07,0.0,0.0,0.0
1612,3.99355193232103e-07,0.0,0.0,0.0
1613,3.99355193232103e-07,0.0,0.0,0.0
1614,3.99355193232103e-07,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,2.4708266924530366e-07,0.0,0.0,0.0
1618,3.4555980781598397e-07,0.0,0.0,0.0
1619,3.4555980781598397e-07,0.0,0.0,0.0
1620,3.4555980781598397e-07,0.0,0.0,0.0
1621,3.4555980781598397e-07,0.0,0.0,0.0
1622,3.4555980781598397e-07,0.0,0.0,0.0
1623,3.4555980781598397e-07,0.0,0.0,0.0
1624,9.847713857068032e-08,0.0,0.0,0.0
1625,0.0,0.0,0.0,0.0
1626,0.0,0.0,0.0,0.0
1627,0.0,0.0,0.0,0.0
1628,0.0,0.0,0.0,0.0
1629,0.0,0.0,0.0,0.0
1630,0.0,0.0,0.0,0.0
1631,0.0,0.0,0.0,0.0
1632,0.0,0.0,0.0,0.0
1633,0.0,0.0,0.0,0.0
1634,0.0,0.0,0.0,0.0
1635,0.0,0.0,0.0,0.0
1636,1.736888179948437e-07,0.0,0.0,0.0
1637,3.20009072701006e-07,0.0,0.0,0.0
1638,3.20009072701006e-07,0.0,0.0,0.0
1639,4.757495324676191e-07,0.0,0.0,0.0
1640,4.757495324676191e-07,0.0,0.0,0.0
1641,4.757495324676191e-07,0.0,0.0,0.0
1642,5.83699366935824e-07,0.0,0.0,0.0
1643,8.616227741445723e-07,0.0,0.0,0.0
1644,7.153025194384099e-07,0.0,0.0,0.0
1645,7.153025194384099e-07,0.0,0.0,4.9116830983361326e-08
1646,5.595620596717968e-07,0.0,0.0,4.9116830983361326e-08
1647,8.716987248850014e-07,0.0,0.0,4.9116830983361326e-08
1648,9.633971964311577e-07,0.0,0.0,4.9116830983361326e-08
1649,1.011902911938835e-06,0.0,0.0,4.9116830983361326e-08
1650,6.481309599491527e-07,0.0,0.0,4.9116830983361326e-08
1651,7.341311223691654e-07,0.0,0.0,4.9116830983361326e-08
1652,9.56816709926248e-07,0.0,0.0,0.0
1653,1.0321924881801742e-06,0.0,0.0,0.0
1654,7.615390091229659e-07,0.0,0.0,0.0
1655,8.441496796811927e-07,0.0,0.0,0.0
1656,1.1407674256653472e-06,0.0,0.0,0.0
1657,1.4421891957486617e-06,0.0,0.0,0.0
1658,2.1068079385193935e-06,0.0,0.0,0.0
1659,2.1092926455626833e-06,0.0,0.0,0.0
1660,2.1140916674409837e-06,0.0,0.0,0.0
1661,2.0726084812849876e-06,0.0,0.0,0.0
1662,2.54789709483053e-06,0.0,0.0,0.0
1663,3.211638467551633e-06,0.0,0.0,0.0
1664,3.569133095230167e-06,0.0,0.0,0.0
1665,3.215338746745796e-06,0.0,0.0,0.0
1666,3.4296008217487336e-06,0.0,0.0,0.0
1667,3.933567703435463e-06,0.0,0.0,0.0
1668,4.108580567065344e-06,0.0,0.0,0.0
1669,3.60875326675471e-06,0.0,0.0,0.0
1670,2.8011319435401153e-06,0.0,0.0,0.0
1671,2.171705854639835e-06,0.0,0.0,0.0
1672,1.824082500791389e-06,0.0,0.0,0.0
1673,1.7805360568802695e-06,0.0,0.0,0.0
1674,1.4241080391132397e-06,0.0,0.0,0.0
1675,1.7638726847378296e-06,0.0,0.0,0.0
1676,1.8717812914863835e-06,0.0,0.0,0.0
1677,2.469415294724188e-06,0.0,0.0,0.0
1678,2.889886145242469e-06,0.0,0.0,0.0
1679,3.1867614812394355e-06,0.0,0.0,0.0
1680,3.0443025512535575e-06,0.0,0.0,0.0
1681,3.0627232133286142e-06,0.0,0.0,0.0
1682,2.7495560256543935e-06,0.0,0.0,0.0
1683,2.8449526163447965e-06,0.0,0.0,0.0
1684,2.3472273856636354e-06,0.0,0.0,0.0
1685,2.0923075843321774e-06,0.0,0.0,0.0
1686,2.0225231277696106e-06,0.0,0.0,0.0
1687,2.2634971920914334e-06,0.0,0.0,0.0
1688,2.483278649378917e-06,0.0,0.0,0.0
1689,2.8499493964773137e-06,0.0,0.0,0.0
1690,2.8915092765860858e-06,0.0,0.0,0.0
1691,2.8493979503504567e-06,0.0,0.0,0.0
1692,2.803196756368769e-06,0.0,0.0,0.0
1693,3.059874968260244e-06,0.0,3.135119389493671e-08,0.0
1694,4.272462417377808e-06,0.0,3.135119389493671e-08,0.0
1695,4.132189522871548e-06,0.0,3.135119389493671e-08,0.0
1696,4.414189528948295e-06,0.0,3.135119389493671e-08,0.0
1697,4.739567300150936e-06,0.0,3.135119389493671e-08,0.0
1698,4.880768756265752e-06,0.0,3.135119389493671e-08,0.0
1699,1.043389469097227e-05,0.0,3.135119389493671e-08,0.0
1700,1.0290859985876263e-05,0.0,0.0,0.0
1701,9.202544073819549e-06,0.0,0.0,0.0
1702,9.69189204624854e-06,0.0,0.0,0.0
1703,9.470959931994522e-06,0.0,0.0,0.0
1704,9.417902674613288e-06,0.0,0.0,0.0
1705,9.688123814807373e-06,0.0,0.0,0.0
1706,4.396709657937338e-06,0.0,0.0,0.0
1707,4.60224428674597e-06,0.0,0.0,0.0
1708,4.321177032449798e-06,0.0,0.0,0.0
1709,3.878961674022971e-06,0.0,0.0,0.0
1710,3.6972033155637163e-06,0.0,0.0,0.0
1711,4.086711117322141e-06,0.0,0.0,0.0
1712,4.372912858993264e-06,0.0,0.0,0.0
1713,4.512783561949618e-06,0.0,0.0,0.0
1714,4.855331163915773e-06,0.0,0.0,0.0
1715,5.412191707624256e-06,0.0,0.0,0.0
1716,5.960331821240418e-06,0.0,0.0,0.0
1717,6.215750545379706e-06,0.0,0.0,0.0
1718,5.631533830247852e-06,0.0,0.0,0.0
1719,5.231990663950066e-06,0.0,0.0,0.0
1720,5.490779455742865e-06,0.0,0.0,0.0
1721,5.183485817334648e-06,0.0,0.0,0.0
1722,4.783585479474693e-06,0.0,0.0,0.0
1723,4.375209495525009e-06,0.0,0.0,0.0
1724,4.200582939769707e-06,0.0,0.0,0.0
1725,4.91216126517559e-06,0.0,0.0,0.0
1726,5.083851517286218e-06,0.0,0.0,0.0
1727,4.809486979086484e-06,0.0,0.0,0.0
1728,4.457383868482014e-06,0.0,0.0,0.0
1729,5.14163402190856e-06,0.0,0.0,0.0
1730,5.635632630531161e-06,0.0,0.0,0.0
1731,5.615821854527374e-06,0.0,0.0,0.0
1732,5.2768970947779185e-06,0.0,0.0,0.0
1733,5.030215496455119e-06,0.0,0.0,0.0
1734,4.9495101523332e-06,0.0,0.0,0.0
1735,5.11710696368287e-06,0.0,0.0,6.466926042289092e-09
1736,4.566696296543731e-06,0.0,0.0,6.466926042289092e-09
1737,3.885474565582367e-06,0.0,0.0,6.466926042289092e-09
1738,3.794280603740065e-06,0.0,0.0,6.466926042289092e-09
1739,3.598794137360528e-06,0.0,0.0,6.466926042289092e-09
1740,3.3681028851008577e-06,0.0,0.0,6.466926042289092e-09
1741,3.4143147981272444e-06,0.0,0.0,6.466926042289092e-09
1742,3.6185888997611722e-06,0.0,0.0,0.0
1743,3.404333775896313e-06,0.0,0.0,0.0
1744,3.5209592559632644e-06,0.0,0.0,0.0
1745,3.33710953067826e-06,0.0,0.0,0.0
1746,3.2153608669562217e-06,0.0,0.0,0.0
1747,3.91239604726122e-06,0.0,0.0,0.0
1748,3.950236159003648e-06,0.0,0.0,0.0
1749,3.9340200633627575e-06,0.0,0.0,0.0
1750,4.041069733570371e-06,0.0,0.0,0.0
1751,4.045270072440742e-06,0.0,0.0,0.0
1752,4.158716300090808e-06,0.0,0.0,0.0
1753,4.018310879213719e-06,0.0,0.0,0.0
1754,3.547655946281988e-06,0.0,0.0,0.0
1755,3.1913536336755248e-06,0.0,0.0,0.0
1756,2.7574188022429425e-06,0.0,0.0,0.0
1757,2.632085235226051e-06,0.0,0.0,0.0
1758,2.664510962599057e-06,0.0,0.0,0.0
1759,2.7767373467213474e-06,0.0,0.0,0.0
1760,2.6290002291976374e-06,0.0,0.0,0.0
1761,2.4345856348060934e-06,0.0,0.0,0.0
1762,2.435794872976008e-06,0.0,0.0,0.0
1763,2.67544838347281e-06,0.0,0.0,0.0
1764,2.7967474319926363e-06,0.0,0.0,0.0
1765,2.5981831705783927e-06,0.0,0.0,0.0
1766,3.3395537164843906e-06,0.0,0.0,0.0
1767,3.644763605084985e-06,0.0,0.0,0.0
1768,3.5296764703421753e-06,0.0,0.0,0.0
1769,3.721767143360921e-06,0.0,0.0,0.0
1770,3.572947662178194e-06,0.0,0.0,0.0
1771,3.276924677006069e-06,0.0,0.0,0.0
1772,3.149813632522377e-06,0.0,0.0,0.0
1773,2.3566871212616595e-06,0.0,0.0,0.0
1774,2.3063598746375646e-06,0.0,0.0,0.0
1775,2.411398944397141e-06,0.0,0.0,0.0
1776,2.40133320923113e-06,0.0,0.0,0.0
1777,2.343602156023345e-06,0.0,5.836100618645495e-09,0.0
1778,2.631409383216773e-06,0.0,5.836100618645495e-09,0.0
1779,2.8678928499305456e-06,0.0,5.836100618645495e-09,0.0
1780,2.742344739609897e-06,0.0,5.836100618645495e-09,0.0
1781,2.548204227943123e-06,0.0,5.836100618645495e-09,0.0
1782,2.704272511826795e-06,0.0,5.836100618645495e-09,0.0
1783,2.5927188614462338e-06,0.0,1.23598979939743e-08,0.0
1784,2.672195575671919e-06,0.0,6.523797375328806e-09,0.0
1785,2.660009840838029e-06,0.0,6.523797375328806e-09,0.0
1786,2.624419591614112e-06,1.3400983180287896e-09,6.523797375328806e-09,0.0
1787,2.626133891681093e-06,1.3400983180287896e-09,6.523797375328806e-09,0.0
1788,2.774016106091689e-06,1.3400983180287896e-09,6.523797375328806e-09,0.0
1789,2.520506768632913e-06,1.3400983180287896e-09,6.523797375328806e-09,0.0
1790,2.5171783103620067e-06,1.3400983180287896e-09,0.0,0.0
1791,2.569142225183896e-06,1.3400983180287896e-09,0.0,0.0
1792,2.43259338666186e-06,2.428360369931072e-09,0.0,1.0882620519022827e-09
1793,2.4258871949963838e-06,2.0742841729973603e-09,0.0,1.0882620519022827e-09
1794,2.695160024554103e-06,2.0742841729973603e-09,0.0,1.0882620519022827e-09
1795,2.783103387368361e-06,2.0742841729973603e-09,0.0,1.0882620519022827e-09
1796,2.9998668326568023e-06,2.0742841729973603e-09,0.0,1.0882620519022827e-09
1797,3.204896074748831e-06,2.0742841729973603e-09,0.0,1.0882620519022827e-09
1798,3.2722679666871305e-06,2.0742841729973603e-09,0.0,1.0882620519022827e-09
1799,3.2274572601766394e-06,9.860221210950775e-10,0.0,3.003847837135254e-09
