ngram,Network
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,1.90694845514372e-06
1527,1.90694845514372e-06
1528,1.90694845514372e-06
1529,1.90694845514372e-06
1530,1.90694845514372e-06
1531,1.90694845514372e-06
1532,1.90694845514372e-06
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,2.972419354461765e-07
1549,2.972419354461765e-07
1550,2.972419354461765e-07
1551,2.972419354461765e-07
1552,2.972419354461765e-07
1553,2.972419354461765e-07
1554,2.972419354461765e-07
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,2.9410813502701264e-06
1569,2.9410813502701264e-06
1570,2.9410813502701264e-06
1571,2.9410813502701264e-06
1572,2.9410813502701264e-06
1573,2.9410813502701264e-06
1574,2.9410813502701264e-06
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,1.0073891384568664e-07
1621,1.0073891384568664e-07
1622,1.0073891384568664e-07
1623,1.0073891384568664e-07
1624,5.487354753443339e-07
1625,5.487354753443339e-07
1626,5.487354753443339e-07
1627,4.479965614986473e-07
1628,5.135081875908197e-07
1629,5.135081875908197e-07
1630,5.135081875908197e-07
1631,6.55116260921724e-08
1632,6.55116260921724e-08
1633,6.55116260921724e-08
1634,6.55116260921724e-08
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,1.21799579184361e-07
1663,1.21799579184361e-07
1664,1.21799579184361e-07
1665,1.21799579184361e-07
1666,1.6174797679013864e-07
1667,1.6174797679013864e-07
1668,1.6174797679013864e-07
1669,9.985658217764077e-08
1670,1.3850575036095896e-07
1671,1.3850575036095896e-07
1672,1.3850575036095896e-07
1673,9.855735275518132e-08
1674,9.855735275518132e-08
1675,1.328758522894142e-07
1676,7.296766771755106e-08
1677,3.431849953423287e-08
1678,9.40742138157345e-08
1679,9.40742138157345e-08
1680,1.1217614266050597e-07
1681,2.46431227424182e-07
1682,4.540451235308345e-07
1683,4.540451235308345e-07
1684,5.124882826683981e-07
1685,4.7293840006139884e-07
1686,4.7293840006139884e-07
1687,4.548364712166274e-07
1688,3.671729647943981e-07
1689,1.2524056915351268e-07
1690,1.2524056915351268e-07
1691,6.679741001594916e-08
1692,7.025962288155694e-08
1693,1.0161081677649366e-07
1694,1.0161081677649366e-07
1695,5.50192384350469e-08
1696,5.50192384350469e-08
1697,5.50192384350469e-08
1698,7.576177958006675e-08
1699,5.209373503995656e-08
1700,2.0742541145019848e-08
1701,3.040930047453523e-08
1702,7.834993961556133e-08
1703,7.834993961556133e-08
1704,1.04335238607486e-07
1705,1.1106611249748052e-07
1706,1.1106611249748052e-07
1707,1.7182837755821572e-07
1708,1.7180748557166226e-07
1709,1.4791687874549098e-07
1710,1.6513190205712037e-07
1711,1.3914660306519571e-07
1712,1.3340002778607284e-07
1713,1.3340002778607284e-07
1714,4.172157466492925e-07
1715,4.188922326469375e-07
1716,3.948422003320827e-07
1717,3.9290998797371556e-07
1718,4.161352567929758e-07
1719,3.944084170370843e-07
1720,4.397140591955966e-07
1721,1.0389613334739676e-07
1722,1.0802895340183178e-07
1723,1.0802895340183178e-07
1724,1.0448798194927025e-07
1725,9.596861921019289e-08
1726,1.406811043531369e-07
1727,1.2274632561164773e-07
1728,1.139862675358927e-07
1729,9.853109414085079e-08
1730,1.2308080852920155e-07
1731,2.2280680208755905e-07
1732,2.0810089600737619e-07
1733,1.7041318045585285e-07
1734,1.430423170388297e-07
1735,1.4950924308111878e-07
1736,1.4950924308111878e-07
1737,1.3188115691572681e-07
1738,3.139695639983334e-08
1739,3.139695639983334e-08
1740,2.4372186808412673e-08
1741,4.219623863020518e-08
1742,6.123880171214426e-08
1743,1.4792134501411575e-07
1744,1.454637771506181e-07
1745,1.4079172063117896e-07
1746,1.9057149204724867e-07
1747,2.0720809905989362e-07
1748,1.9302377905562806e-07
1749,1.9229069181392333e-07
1750,1.418941936646791e-07
1751,1.7669065651862832e-07
1752,1.7037908049490268e-07
1753,1.2059930907883298e-07
1754,1.2906711483700356e-07
1755,1.4469392185999042e-07
1756,1.2295299051905723e-07
1757,9.27571918956411e-08
1758,5.3496668682230716e-08
1759,6.045425848810737e-08
1760,6.843835923372613e-08
1761,4.6109513921318724e-08
1762,3.489072116938782e-08
1763,3.4693925193047496e-08
1764,3.141435835272789e-08
1765,4.320399200301901e-08
1766,6.345481930379395e-08
1767,5.841522085095871e-08
1768,5.83218659398556e-08
1769,5.027411985127271e-08
1770,5.896713162201195e-08
1771,5.6156451933020435e-08
1772,4.963898194075357e-08
1773,2.243056483410198e-08
1774,2.215852568099308e-08
1775,1.9476313133688043e-08
1776,1.9476313133688043e-08
1777,1.0862677107021618e-08
1778,1.0862677107021618e-08
1779,8.152199169688044e-09
1780,8.152199169688044e-09
1781,7.39225290504107e-09
1782,1.8182920312272344e-08
1783,1.8182920312272344e-08
1784,3.523853488372554e-08
1785,3.523853488372554e-08
1786,6.585027520092776e-07
1787,6.585027520092776e-07
1788,6.670426517173058e-07
1789,6.597421387612355e-07
1790,6.608469871644778e-07
1791,6.408733222837018e-07
1792,6.430498463875065e-07
1793,1.9195987783453868e-08
1794,1.9195987783453868e-08
1795,8.743571200398037e-09
1796,2.1372163975083173e-08
1797,2.4235781001128283e-08
1798,2.539309435738752e-08
1799,2.3216570253582958e-08
1800,2.2479517802764803e-08
1801,2.3872539246992475e-08
1802,2.4306666044994685e-08
1803,9.59191865617421e-09
1804,6.843763428981171e-09
1805,6.725160079617305e-09
1806,6.725160079617305e-09
1807,6.95471689761616e-09
1808,6.0324218318998285e-09
1809,6.502919092099546e-09
1810,6.624482803577589e-09
1811,5.404172601483229e-09
1812,6.51383702532371e-09
1813,6.901795833260036e-09
1814,6.482037890569765e-09
1815,9.101562868453681e-09
1816,1.0098665966954253e-08
1817,9.60118784476549e-09
1818,1.2107676068089696e-08
1819,1.025989651967255e-08
1820,1.1493303991067755e-08
1821,1.1734055917399035e-08
1822,1.0764875879587521e-08
1823,6.153668866534393e-08
1824,6.077684327238891e-08
1825,5.915667267153424e-08
1826,6.039655499532972e-08
1827,6.22260186869791e-08
1828,6.469167252680969e-08
1829,7.444695456929448e-08
1830,2.2249937321155196e-08
1831,2.2817749213897642e-08
1832,2.6018605619222105e-08
1833,2.4972997986998687e-08
1834,2.2020529177879666e-08
1835,1.8772033166009853e-08
1836,8.17171990392345e-09
1837,9.011701194795916e-09
1838,1.1686633533918617e-08
1839,8.054148110352749e-09
1840,8.08838031472549e-09
1841,8.919593825445255e-09
1842,1.0606249148789208e-08
1843,1.2805659072816816e-08
1844,1.7232480648792555e-08
1845,1.4989532979927034e-08
1846,2.5231006553890926e-08
1847,2.615643600125038e-08
1848,2.635811619760326e-08
1849,2.744687220358953e-08
1850,2.62974477749367e-08
1851,2.2736266203082778e-08
1852,2.601877113761475e-08
1853,1.9617690075587494e-08
1854,2.0738753698472985e-08
1855,2.0940056545880126e-08
1856,2.163784909977754e-08
1857,2.1285326770989092e-08
1858,2.2674600482933523e-08
1859,2.153610470908721e-08
1860,2.3157558664317028e-08
1861,2.2276564212323332e-08
1862,2.6394425058283233e-08
1863,2.599886185704138e-08
1864,2.7698778001398035e-08
1865,2.8373109195456436e-08
1866,4.0887326667262055e-08
1867,3.868706282312522e-08
1868,4.174250253389086e-08
1869,3.846516654399628e-08
1870,3.805255996017617e-08
1871,3.9004811824838725e-08
1872,4.0041833467999565e-08
1873,2.9108690569046303e-08
1874,3.004208310691021e-08
1875,2.9664581394480853e-08
1876,3.1346349008539876e-08
1877,3.1953395104470217e-08
1878,3.7052200545823714e-08
1879,3.690176088509491e-08
1880,4.131423178169566e-08
1881,4.364056443202051e-08
1882,4.5976808645978706e-08
1883,4.6090636069655895e-08
1884,5.546605663653281e-08
1885,5.61899596058473e-08
1886,5.707194716819686e-08
1887,5.590127878057112e-08
1888,5.5540978800243986e-08
1889,6.055675732292392e-08
1890,6.094366966635789e-08
1891,5.2991294146360294e-08
1892,4.705970267439495e-08
1893,4.6118952212736986e-08
1894,4.190473212872803e-08
1895,4.231787669490521e-08
1896,3.774469270467762e-08
1897,8.095428606834178e-08
1898,8.437870465830396e-08
1899,8.527144679248977e-08
1900,9.145586510328485e-08
1901,9.437552047789463e-08
1902,9.375188320908429e-08
1903,9.350215585917405e-08
1904,5.2052859546490386e-08
1905,4.8568807642368483e-08
1906,4.717765860513217e-08
1907,4.358171347616592e-08
1908,4.677000298158873e-08
1909,5.1513636023514664e-08
1910,5.550713285832184e-08
1911,5.743391667018776e-08
1912,5.941629334569955e-08
1913,6.306159657957064e-08
1914,6.22546890229257e-08
1915,6.306000496384253e-08
1916,6.348605044844849e-08
1917,6.344227898580357e-08
1918,6.204592547679308e-08
1919,6.546602041420816e-08
1920,7.432191446404041e-08
1921,8.621722409023797e-08
1922,1.0003833799438716e-07
1923,1.072959483800722e-07
1924,1.2592135943480442e-07
1925,1.5280767635366438e-07
1926,1.8180912572266346e-07
1927,2.139496777837329e-07
1928,2.6798430902934864e-07
1929,3.176453304831739e-07
1930,3.7962374018921506e-07
1931,4.685627581173841e-07
1932,5.294395383056585e-07
1933,6.347153406035691e-07
1934,7.563616983523908e-07
1935,8.556663715353352e-07
1936,9.931580231230846e-07
1937,1.1422696875992448e-06
1938,1.3136156147603678e-06
1939,1.528687026361045e-06
1940,1.7356118340623134e-06
1941,1.9869816826810293e-06
1942,2.2031834500272192e-06
1943,2.253070631143471e-06
1944,2.301021010810343e-06
1945,2.2859309670561094e-06
1946,2.4298322581931383e-06
1947,2.4132358313571397e-06
1948,2.266835281261592e-06
1949,2.088603878291906e-06
1950,2.0925709967351783e-06
1951,2.1136078690428154e-06
1952,2.1018932687054203e-06
1953,1.9647513097100145e-06
1954,2.06903202329808e-06
1955,2.168708030174977e-06
1956,2.3053817293267846e-06
1957,2.4478266920726e-06
1958,2.527084932678138e-06
1959,2.6998818936720326e-06
1960,2.790080283635429e-06
1961,2.8103757228693993e-06
1962,2.8753542470180297e-06
1963,3.0383125054608432e-06
1964,3.4244395854849633e-06
1965,3.565594429996314e-06
1966,3.6781323810178686e-06
1967,3.824484305628825e-06
1968,4.033466146730851e-06
1969,4.275913787361267e-06
1970,4.447823032803301e-06
1971,4.4298184158313755e-06
1972,4.691372591228823e-06
1973,5.200389101186634e-06
1974,5.8284073410115e-06
1975,6.335856271886899e-06
1976,6.835629262371055e-06
1977,7.482198270736262e-06
1978,8.140359698570268e-06
1979,8.924325162037608e-06
1980,9.564982844624734e-06
1981,1.0226172110248757e-05
1982,1.1260652822134684e-05
1983,1.2576062934905557e-05
1984,1.3598399293966526e-05
1985,1.4707778063893784e-05
1986,1.6283744246590815e-05
1987,1.7380731670917677e-05
1988,1.89938772174563e-05
1989,2.0617349686550108e-05
1990,2.1806844285622772e-05
1991,2.3330169434692444e-05
1992,2.4824264463469653e-05
1993,2.603605623465098e-05
1994,2.7507279290668e-05
1995,2.8524720619316213e-05
1996,2.893774762924295e-05
1997,2.9725592477396795e-05
1998,3.054520181779351e-05
1999,3.09527682215308e-05
2000,3.094034816188339e-05
2001,3.0649020378145254e-05
2002,3.0358648863122134e-05
2003,2.989484918154111e-05
2004,2.905745870001348e-05
2005,2.757646169421995e-05
2006,2.625380355831502e-05
2007,2.474094149615017e-05
2008,2.3461728363015156e-05
2009,2.1767986514272968e-05
2010,2.0302842001131338e-05
2011,1.875284150238648e-05
2012,1.7689214733504093e-05
2013,1.6915199921641033e-05
2014,1.6111844420915338e-05
2015,1.5592512162194388e-05
2016,1.5370163834761896e-05
2017,1.5227303720166674e-05
2018,1.5350251123891213e-05
2019,1.54273834596097e-05
