ngram,Prototype
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,4.509165916845502e-07
1533,4.509165916845502e-07
1534,4.509165916845502e-07
1535,4.509165916845502e-07
1536,4.509165916845502e-07
1537,4.509165916845502e-07
1538,4.509165916845502e-07
1539,1.6602222915805344e-06
1540,1.6602222915805344e-06
1541,1.6602222915805344e-06
1542,1.6602222915805344e-06
1543,1.6602222915805344e-06
1544,1.6602222915805344e-06
1545,1.6602222915805344e-06
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,7.034840824157332e-08
1623,7.034840824157332e-08
1624,3.6901279340132274e-07
1625,3.6901279340132274e-07
1626,3.6901279340132274e-07
1627,3.6901279340132274e-07
1628,3.6901279340132274e-07
1629,3.8119372902656323e-07
1630,3.8119372902656323e-07
1631,8.252934386681382e-08
1632,8.252934386681382e-08
1633,8.252934386681382e-08
1634,8.252934386681382e-08
1635,8.252934386681382e-08
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,1.040455523642387e-07
1648,1.040455523642387e-07
1649,1.040455523642387e-07
1650,1.9188582557814827e-07
1651,1.9188582557814827e-07
1652,1.9188582557814827e-07
1653,1.9188582557814827e-07
1654,1.2932345936990585e-07
1655,1.8742650403120414e-07
1656,1.8742650403120414e-07
1657,1.5519509588557412e-07
1658,1.5519509588557412e-07
1659,1.8736228111850194e-07
1660,2.675370812507286e-07
1661,2.2605389509473233e-07
1662,1.6795085043343404e-07
1663,1.6795085043343404e-07
1664,1.1234198536515447e-07
1665,1.5643360232583552e-07
1666,1.6421481469868532e-07
1667,1.4894464633081433e-07
1668,1.4894464633081433e-07
1669,7.779806107269646e-07
1670,8.166297789102828e-07
1671,1.1686215088957397e-06
1672,1.2967341059980493e-06
1673,1.3310143214896795e-06
1674,1.3637012646735717e-06
1675,1.9814342238078098e-06
1676,1.5241843008035566e-06
1677,1.51912133057002e-06
1678,1.1870481720117304e-06
1679,1.0148439579487395e-06
1680,9.587172736961032e-07
1681,9.506290885903062e-07
1682,3.732181953962156e-07
1683,1.5696003653634501e-06
1684,1.6529004856887956e-06
1685,1.6531877459361307e-06
1686,1.7637045723566708e-06
1687,1.786802733200992e-06
1688,1.7438909216999882e-06
1689,1.7667111953707199e-06
1690,3.9854298401158825e-07
1691,4.773850901886232e-07
1692,9.778762465170336e-07
1693,8.673594200964934e-07
1694,9.237015327861238e-07
1695,8.926167579050213e-07
1696,8.609663098013698e-07
1697,8.830075342660036e-07
1698,7.080216509588613e-07
1699,2.3960282443827706e-07
1700,2.5260067713718725e-07
1701,2.5172606805361805e-07
1702,2.721747449641043e-07
1703,2.406828534568766e-07
1704,2.5328869566822375e-07
1705,4.0654444433130266e-07
1706,3.764170486419971e-07
1707,3.99876554979528e-07
1708,3.128548290273362e-07
1709,3.610744637886195e-07
1710,3.610744637886195e-07
1711,3.361197258300308e-07
1712,1.6212143602193203e-07
1713,1.3997067022890925e-07
1714,1.0351331119246815e-07
1715,1.2783450488638793e-07
1716,5.2514347917817106e-08
1717,9.836277976254288e-08
1718,1.3512098868367112e-07
1719,2.865730185216567e-07
1720,2.9563414675034695e-07
1721,3.219143209776121e-07
1722,2.8794725994073035e-07
1723,2.790923017771872e-07
1724,2.50856628675982e-07
1725,2.1175904407755297e-07
1726,7.946950729222277e-08
1727,7.040837906353253e-08
1728,8.948512381883639e-08
1729,1.0222907726691638e-07
1730,1.0222907726691638e-07
1731,9.854979765577809e-08
1732,1.0371389233146796e-07
1733,9.157616887023323e-08
1734,1.12223095324485e-07
1735,7.333310238420512e-08
1736,6.610147400871419e-08
1737,7.302310223167296e-08
1738,7.556507191403788e-08
1739,6.304802419825656e-08
1740,1.5335787294036761e-07
1741,1.4459364803899787e-07
1742,1.3812672199670877e-07
1743,1.326143969241197e-07
1744,1.346208894200832e-07
1745,1.4339174470023863e-07
1746,1.6330365326666652e-07
1747,7.844649019261851e-08
1748,1.0296110884512797e-07
1749,1.1287166959813736e-07
1750,1.425602523649364e-07
1751,1.5861610133275201e-07
1752,1.333697972378494e-07
1753,1.1345788867142151e-07
1754,1.2190077671091005e-07
1755,8.935676427362133e-08
1756,1.3712014533341842e-07
1757,1.1352180909593049e-07
1758,9.164542420186145e-08
1759,9.86030140077381e-08
1760,9.86030140077381e-08
1761,8.600937283022501e-08
1762,9.288639318023278e-08
1763,4.088980049792619e-08
1764,3.7610233657606584e-08
1765,4.629228251522883e-08
1766,5.974100503181035e-08
1767,8.32970233740785e-08
1768,8.838138398914452e-08
1769,9.288235349101472e-08
1770,9.008792594451214e-08
1771,9.780782152444902e-08
1772,9.91985972729838e-08
1773,7.879228495052562e-08
1774,6.325365628104659e-08
1775,6.428603934896923e-08
1776,6.261658873946934e-08
1777,6.556976777411754e-08
1778,6.06014798977737e-08
1779,4.742107049894782e-08
1780,5.446849117772347e-08
1781,5.410116900504493e-08
1782,4.613212364493588e-08
1783,4.3443271583295684e-08
1784,3.9271643080342396e-08
1785,3.6945600483712885e-08
1786,5.436687811055663e-08
1787,4.86085990506321e-08
1788,4.6184739842049435e-08
1789,4.087372421476435e-08
1790,3.3315274602533207e-08
1791,4.142449849808827e-08
1792,3.818825370213322e-08
1793,3.457128564373793e-08
1794,3.927005717433271e-08
1795,3.769693738117244e-08
1796,3.748171417683466e-08
1797,3.8135634269512564e-08
1798,3.009790835609546e-08
1799,4.0911760772794585e-08
1800,2.9577434787090136e-08
1801,2.6375564526099586e-08
1802,2.836612462380523e-08
1803,3.9000961698271956e-08
1804,3.8998504489232544e-08
1805,3.7781889394850054e-08
1806,3.291468941846176e-08
1807,3.546601542606506e-08
1808,3.927014170988587e-08
1809,3.85114632564917e-08
1810,2.8236090449900482e-08
1811,2.755145740123461e-08
1812,3.347722543622922e-08
1813,2.9858325716653715e-08
1814,2.7762429942259004e-08
1815,2.4648793609368828e-08
1816,2.20458961562388e-08
1817,2.7592173117747213e-08
1818,2.6101146640858782e-08
1819,2.2962567212760276e-08
1820,2.4024944065916187e-08
1821,2.2513627026147072e-08
1822,2.42773879729644e-08
1823,2.5225958972490455e-08
1824,2.320037673086972e-08
1825,2.4828681840663843e-08
1826,2.2707120628240318e-08
1827,2.1826685601768403e-08
1828,2.416378525842739e-08
1829,2.2437205490380815e-08
1830,2.473422546143768e-08
1831,2.1392219424447896e-08
1832,2.1720141748663276e-08
1833,2.2267202811779692e-08
1834,2.1086471362658747e-08
1835,2.0016343757082008e-08
1836,1.830409804678571e-08
1837,1.6416180668800606e-08
1838,1.790657019487948e-08
1839,1.7645940074219524e-08
1840,1.8181475499748752e-08
1841,2.0281415277370992e-08
1842,1.9607256009278118e-08
1843,2.1477961377667854e-08
1844,2.0910226566123972e-08
1845,1.9134820204515435e-08
1846,1.7605489130037962e-08
1847,1.7822734272548198e-08
1848,1.652665077805133e-08
1849,1.7475415781120773e-08
1850,1.574950836413791e-08
1851,1.453464066563421e-08
1852,1.5254682596475633e-08
1853,1.5421478697216377e-08
1854,1.5360744041816232e-08
1855,1.527549287061447e-08
1856,1.4456866941665275e-08
1857,1.5254251576176817e-08
1858,1.702612920492389e-08
1859,1.8273117875976042e-08
1860,2.0785342463065197e-08
1861,2.350154103071743e-08
1862,2.5799997820692104e-08
1863,2.671817357833918e-08
1864,2.623508851432429e-08
1865,2.4640488506731473e-08
1866,2.585188266631836e-08
1867,2.575355522489125e-08
1868,2.487037851852035e-08
1869,2.2859920686560794e-08
1870,2.1198499463740258e-08
1871,1.991175909868811e-08
1872,2.0211585294305223e-08
1873,1.8016352854033357e-08
1874,1.5585302572316906e-08
1875,1.353451788738929e-08
1876,1.533880514667122e-08
1877,1.705570072475991e-08
1878,1.862185034744763e-08
1879,1.7753982918731837e-08
1880,1.7772900611540924e-08
1881,1.7686840817329345e-08
1882,1.7587136953116963e-08
1883,1.5374640227605596e-08
1884,1.6321892155295766e-08
1885,1.6423035376078587e-08
1886,1.945359949319579e-08
1887,2.161635860785184e-08
1888,3.0586317859412504e-08
1889,3.392324123195424e-08
1890,4.234182122380454e-08
1891,4.570933549124285e-08
1892,4.7158045087972566e-08
1893,4.745792914206959e-08
1894,4.918909140323129e-08
1895,4.11417317991436e-08
1896,3.974869474835227e-08
1897,3.4585671977132345e-08
1898,2.8531107762067417e-08
1899,2.7592285662641254e-08
1900,2.6337295899736546e-08
1901,2.4164268173722447e-08
1902,2.5508824893652867e-08
1903,2.740361677260645e-08
1904,2.6279259276610186e-08
1905,2.8903036408678418e-08
1906,3.065476634438775e-08
1907,3.058501896191501e-08
1908,3.153289895863054e-08
1909,3.034627152739436e-08
1910,2.971769192632629e-08
1911,3.05653884424828e-08
1912,3.050576197998518e-08
1913,2.990669984675216e-08
1914,3.0088730998808644e-08
1915,2.987065680518494e-08
1916,3.006628774520388e-08
1917,2.6998049764058252e-08
1918,2.6966697065842837e-08
1919,2.68103743650272e-08
1920,2.8214307842436677e-08
1921,2.7680574023390492e-08
1922,3.4908904465526443e-08
1923,3.6302254408886777e-08
1924,4.013473236292546e-08
1925,4.114915595567124e-08
1926,4.181748230231668e-08
1927,3.992992273335208e-08
1928,4.552275838826907e-08
1929,3.690218847956268e-08
1930,3.9890605358599325e-08
1931,4.771313934424727e-08
1932,5.116289690322771e-08
1933,5.3318482073905216e-08
1934,5.453123869918792e-08
1935,5.5129172592062655e-08
1936,5.990727862987505e-08
1937,6.270976271594009e-08
1938,6.411985203109388e-08
1939,6.610755067169651e-08
1940,6.824882601920632e-08
1941,7.761203590916921e-08
1942,8.850130330171981e-08
1943,1.0150704099487484e-07
1944,1.1407658868327936e-07
1945,1.2819345483551713e-07
1946,1.4877141905701917e-07
1947,1.7663497788232364e-07
1948,1.940791634069683e-07
1949,2.0630948987283254e-07
1950,2.169379728554434e-07
1951,2.3678307822397722e-07
1952,2.5587876604861647e-07
1953,2.729087498209992e-07
1954,2.896619305049951e-07
1955,3.224516019275013e-07
1956,3.6137433921469763e-07
1957,3.982996190643462e-07
1958,4.333254943438598e-07
1959,4.7105116404314427e-07
1960,4.98264333665637e-07
1961,5.309524989830347e-07
1962,5.595768795631426e-07
1963,5.730301170712795e-07
1964,5.979880484119349e-07
1965,6.099542945646265e-07
1966,6.156780126990011e-07
1967,6.466745584735431e-07
1968,6.726167092503082e-07
1969,7.229746756820532e-07
1970,7.934408797284829e-07
1971,8.581264410167933e-07
1972,9.238614455041118e-07
1973,9.993780573885097e-07
1974,1.0684804010452353e-06
1975,1.148879212970704e-06
1976,1.1947580073215898e-06
1977,1.237665190144201e-06
1978,1.2333266405611148e-06
1979,1.2447528823551174e-06
1980,1.2619199034296408e-06
1981,1.2403596494030872e-06
1982,1.2076950010201211e-06
1983,1.1688005575446629e-06
1984,1.131414673441863e-06
1985,1.1586804313472904e-06
1986,1.2097417863645075e-06
1987,1.2043268173199197e-06
1988,1.2365388134380088e-06
1989,1.2582872191809917e-06
1990,1.277296161918327e-06
1991,1.31796168391572e-06
1992,1.345304683906891e-06
1993,1.310483574863091e-06
1994,1.3445550491399314e-06
1995,1.311120123708471e-06
1996,1.2557062762295703e-06
1997,1.2213311119272215e-06
1998,1.1422044557158578e-06
1999,1.1365748459216514e-06
2000,1.1086382707097592e-06
2001,1.034990800365319e-06
2002,1.0140767910473057e-06
2003,9.945687387309071e-07
2004,9.647455954109319e-07
2005,9.408303997458591e-07
2006,8.186965487766429e-07
2007,7.555896429169349e-07
2008,7.074518342571017e-07
2009,6.598837834254872e-07
2010,6.420837134360877e-07
2011,6.08350481862934e-07
2012,5.788648016797586e-07
2013,5.717879665618446e-07
2014,5.532183097654655e-07
2015,5.316404017971113e-07
2016,5.247835344692118e-07
2017,5.087039577726197e-07
2018,5.101011879560247e-07
2019,5.169951009520446e-07
