ngram,Quicksort
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,7.983884537614877e-09
1795,7.983884537614877e-09
1796,7.983884537614877e-09
1797,7.983884537614877e-09
1798,7.983884537614877e-09
1799,7.983884537614877e-09
1800,7.983884537614877e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,5.571827126666611e-11
1863,5.571827126666611e-11
1864,5.571827126666611e-11
1865,5.571827126666611e-11
1866,5.571827126666611e-11
1867,5.571827126666611e-11
1868,5.571827126666611e-11
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,1.671908008863251e-10
1898,1.671908008863251e-10
1899,1.8540470745977344e-10
1900,1.8540470745977344e-10
1901,1.8540470745977344e-10
1902,1.8540470745977344e-10
1903,2.0134385230503275e-10
1904,3.415305141870764e-11
1905,3.415305141870764e-11
1906,1.5939144845259332e-11
1907,1.5939144845259332e-11
1908,1.5939144845259332e-11
1909,1.5939144845259332e-11
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,2.2809486442478187e-11
1929,2.2809486442478187e-11
1930,2.2809486442478187e-11
1931,1.0150851786112319e-10
1932,1.0150851786112319e-10
1933,1.0150851786112319e-10
1934,1.0150851786112319e-10
1935,7.8699031418645e-11
1936,7.8699031418645e-11
1937,7.8699031418645e-11
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,8.274549299715415e-11
1952,1.297973395431029e-10
1953,1.297973395431029e-10
1954,1.297973395431029e-10
1955,1.297973395431029e-10
1956,1.297973395431029e-10
1957,1.297973395431029e-10
1958,4.7051846545948757e-11
1959,3.3881817986168377e-11
1960,9.740898563949583e-11
1961,9.740898563949583e-11
1962,1.28014253959157e-10
1963,1.28014253959157e-10
1964,1.9996073447841363e-10
1965,5.349338313579263e-10
1966,1.1957046662315817e-09
1967,1.2029349302381372e-09
1968,1.3003568896266922e-09
1969,1.9430180797641583e-09
1970,2.7848909369053233e-09
1971,3.455869225708698e-09
1972,7.216450754426213e-09
1973,7.446256960237057e-09
1974,9.493850356661376e-09
1975,1.2210425052014021e-08
1976,1.3803432111611106e-08
1977,1.6653708317144426e-08
1978,2.0708821324433302e-08
1979,1.940919577439867e-08
1980,2.3429774818696713e-08
1981,2.79493487401591e-08
1982,3.2191095249751404e-08
1983,4.0517807014290545e-08
1984,4.610210702082895e-08
1985,5.3688805782111815e-08
1986,5.889989194786592e-08
1987,6.132444342808543e-08
1988,6.144464340504133e-08
1989,6.217175396727725e-08
1990,5.972084490427473e-08
1991,5.640929146011331e-08
1992,5.0902251302886725e-08
1993,5.08760804913371e-08
1994,5.14077938313611e-08
1995,5.3681073300789906e-08
1996,5.2698120153341476e-08
1997,5.0889573190358665e-08
1998,4.917712916250951e-08
1999,4.757624947972415e-08
2000,4.558227623923423e-08
2001,4.459237855160479e-08
2002,4.060204616962437e-08
2003,3.788739024100453e-08
2004,3.571221489957159e-08
2005,3.59811832392357e-08
2006,3.523335020564186e-08
2007,3.387297198287342e-08
2008,3.2347885893711596e-08
2009,3.431808183661035e-08
2010,3.451095866223243e-08
2011,3.466074919141907e-08
2012,3.269178121862686e-08
2013,3.196737477903103e-08
2014,3.0260893473561216e-08
2015,2.7236916468252404e-08
2016,2.338618391003625e-08
2017,2.2292739506231857e-08
2018,2.0719885185371823e-08
2019,2.1433065544584906e-08
