ngram,Traffic Contract
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,2.6899688825616456e-10
1830,2.6899688825616456e-10
1831,2.6899688825616456e-10
1832,2.6899688825616456e-10
1833,2.6899688825616456e-10
1834,2.6899688825616456e-10
1835,2.6899688825616456e-10
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,8.23759076824209e-11
1868,1.25081314353689e-10
1869,1.6276885395072327e-10
1870,1.6276885395072327e-10
1871,2.014143177638975e-10
1872,2.014143177638975e-10
1873,2.38571979631936e-10
1874,2.69747224557193e-10
1875,2.652336168156617e-10
1876,2.275460772186274e-10
1877,2.608099648947006e-10
1878,2.91243735477715e-10
1879,3.576825066290265e-10
1880,5.70874316073246e-10
1881,4.873563893717911e-10
1882,4.800078489448317e-10
1883,5.716901614803507e-10
1884,7.996013236453794e-10
1885,8.685371806681021e-10
1886,1.0906548580935649e-09
1887,1.0506824993372632e-09
1888,1.123344847697716e-09
1889,1.4657920353679442e-09
1890,1.783119564700643e-09
1891,1.91149877672357e-09
1892,1.94436291670438e-09
1893,1.6558064681276058e-09
1894,1.487411634336157e-09
1895,3.1755060525551215e-09
1896,2.875920680172379e-09
1897,2.4669108383041608e-09
1898,3.1565589546962106e-09
1899,4.092573982087241e-09
1900,4.247042531150111e-09
1901,4.400394921460255e-09
1902,2.740408749130856e-09
1903,2.923895736639537e-09
1904,2.9690526941778775e-09
1905,1.904321783596785e-09
1906,8.710890699235665e-10
1907,7.305330398150416e-10
1908,6.133900302367807e-10
1909,5.47993342171958e-10
1910,4.0849775248938004e-10
1911,4.1641495906225805e-10
1912,5.52515585862588e-10
1913,6.146186466517354e-10
1914,6.007061276973908e-10
1915,5.225144682009995e-10
1916,4.571073361095809e-10
1917,3.3941086449321544e-10
1918,2.9999772705695856e-10
1919,1.6292403041763747e-10
1920,7.12083794707219e-11
1921,1.24575027872696e-10
1922,2.391996154720617e-10
1923,3.091681860919618e-10
1924,4.483181792073029e-10
1925,4.565005625496126e-10
1926,4.6476365216691866e-10
1927,4.854855922038175e-10
1928,4.754096917723518e-10
1929,4.088139311202761e-10
1930,3.6470662997548485e-10
1931,2.504781005623664e-10
1932,2.510998393339443e-10
1933,2.513460193944082e-10
1934,2.0791591464381602e-10
1935,1.646251666733077e-10
1936,1.1659633972601772e-10
1937,9.073507025090878e-11
1938,6.581360654868616e-11
1939,4.334845775983658e-11
1940,2.1340790246071606e-11
1941,2.6222607418802113e-11
1942,2.6222607418802113e-11
1943,2.6222607418802113e-11
1944,2.6222607418802113e-11
1945,2.6222607418802113e-11
1946,2.6222607418802113e-11
1947,2.6222607418802113e-11
1948,1.625215636672347e-11
1949,1.625215636672347e-11
1950,1.625215636672347e-11
1951,3.1988364338328015e-11
1952,4.6899489252500666e-11
1953,4.6899489252500666e-11
1954,4.6899489252500666e-11
1955,3.064733288577719e-11
1956,3.064733288577719e-11
1957,4.276992946313943e-11
1958,4.9678159403614735e-11
1959,4.5515057992392574e-11
1960,7.573122089749823e-11
1961,7.573122089749823e-11
1962,7.573122089749823e-11
1963,1.9826318959597396e-10
1964,1.9470187268000316e-10
1965,2.3916572194915275e-10
1966,2.786442753120534e-10
1967,2.4842811240694777e-10
1968,2.821542374742414e-10
1969,2.821542374742414e-10
1970,1.679681522838626e-10
1971,2.1053566429911948e-10
1972,1.5170628840456756e-10
1973,1.014797115387164e-10
1974,1.014797115387164e-10
1975,7.546463949768624e-11
1976,7.546463949768624e-11
1977,9.002700668281349e-11
1978,5.442175083596774e-11
1979,6.933415548043037e-11
1980,6.933415548043037e-11
1981,1.0562189813244162e-10
1982,1.1905696369250507e-10
1983,1.1905696369250507e-10
1984,9.614871299928091e-11
1985,8.750769702113383e-11
1986,8.402725886123643e-11
1987,8.402725886123643e-11
1988,1.0049361888277351e-10
1989,8.567731147562136e-11
1990,1.3635988865834392e-10
1991,5.92869195205546e-10
1992,9.311919048349271e-10
1993,1.058630732182962e-09
1994,1.3248903497115843e-09
1995,1.38773388167717e-09
1996,1.5194558627180348e-09
1997,1.5728326339749442e-09
1998,1.3473482091923878e-09
1999,1.2809272769460328e-09
2000,1.2030040138658445e-09
2001,1.0430112408675386e-09
2002,1.0092497551969108e-09
2003,1.0235626552684047e-09
2004,9.820112976756589e-10
2005,7.604531786022304e-10
2006,4.81668881367549e-10
2007,4.124424393284595e-10
2008,3.112070883730984e-10
2009,2.727868769163739e-10
2010,1.4380705802761818e-10
2011,8.129906718073216e-11
2012,9.213256397879098e-11
2013,1.1758613576876416e-10
2014,1.1758613576876416e-10
2015,1.1772053966550645e-10
2016,7.430460215372494e-11
2017,5.940635020943812e-11
2018,7.128762025132574e-11
2019,5.3584071207923856e-11
